,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.024999999999999994,0.024999999999999994,0.9997577475774758,0.0023822862692357686,[0.    0.975 0.975 ... 1.    1.    1.   ],4272
1,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.475,0.7,0.7,0.9507405074050741,0.0689532942035217,[0.  0.3 0.3 ... 1.  1.  1. ],4272
2,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.0,0.08928571428571427,0.08928571428571427,0.999633567764249,0.0021498235417974345,[0.         0.91071429 0.91071429 ... 1.         1.         1.        ],4272
3,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.08928571428571427,0.08928571428571427,0.08928571428571427,0.9973033658908018,0.008468900017997662,[0.         0.91071429 0.91071429 ... 1.         1.         1.        ],4272
4,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.07142857142857142,0.25,0.25,0.9901249219163902,0.05036496570801495,[0.   0.75 0.75 ... 1.   1.   1.  ],4272
5,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.01785714285714285,0.05357142857142855,0.05357142857142855,0.998065890516218,0.02000936339346091,[0.         0.94642857 0.94642857 ... 1.         1.         1.        ],4272
6,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],4272
7,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.26666666666666666,0.3500000000000001,0.3500000000000001,0.9953112864461978,0.019764733287339773,[0.   0.65 0.65 ... 1.   1.   1.  ],4272
8,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.125,0.125,0.9996549965499655,0.0006899931750682493,[0.    0.875 0.875 ... 1.    1.    1.   ],4272
9,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.34375,0.5625,0.5625,0.9749047490474905,0.08760386772925895,[0.     0.4375 0.4375 ... 1.     1.     1.    ],4272
10,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.053571428571428575,0.14285714285714285,0.14285714285714285,0.9985531998177125,0.01254087033685621,[0.         0.85714286 0.85714286 ... 1.         1.         1.        ],4272
11,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.11538461538461536,0.24999999999999997,0.24999999999999997,0.9969843929208523,0.017147942546894373,[0.   0.75 0.75 ... 1.   1.   1.  ],4272
12,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.041666666666666685,0.06250000000000003,0.06250000000000003,0.9951959936266029,0.042431582800891834,[0.     0.9375 0.9375 ... 1.     1.     1.    ],4272
13,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.125,0.22499999999999998,0.22499999999999998,0.9903169031690316,0.03564154248617691,[0.    0.775 0.775 ... 1.    1.    1.   ],4272
14,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_3,0.038461538461538436,0.05769230769230768,0.05769230769230768,0.9981626739344317,0.022467304523457184,[0.         0.94230769 0.94230769 ... 1.         1.         1.        ],4272
