,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,erpcore n400,AR+PSD+SVM,1,session_1,0.26666666666666666,0.5833333333333334,0.5833333333333334,0.9839121724550579,0.06726808246845442,[0.         0.41666667 0.41666667 ... 1.         1.         1.        ],2400
1,Single Session,Open Set,erpcore n400,AR+PSD+SVM,2,session_1,0.08333333333333331,0.11666666666666667,0.11666666666666667,0.9891625582922496,0.03833763343131961,[0.         0.88333333 0.88333333 ... 1.         1.         1.        ],2400
2,Single Session,Open Set,erpcore n400,AR+PSD+SVM,3,session_1,0.17666576665766656,0.46666666666666673,0.46666666666666673,0.9942564411693977,0.028658550423870298,[0.         0.53333333 0.53333333 ... 1.         1.         1.        ],2400
3,Single Session,Open Set,erpcore n400,AR+PSD+SVM,4,session_1,0.033333333333333326,0.04999999999999999,0.04999999999999999,0.9992729927299273,0.006256968577048791,[0.   0.95 0.95 ... 1.   1.   1.  ],2400
4,Single Session,Open Set,erpcore n400,AR+PSD+SVM,5,session_1,0.0,0.08333333333333334,0.08333333333333334,0.9996344963449635,0.0016747665826784247,[0.         0.91666667 0.91666667 ... 1.         1.         1.        ],2400
5,Single Session,Open Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],2400
6,Single Session,Open Set,erpcore n400,AR+PSD+SVM,7,session_1,0.016666666666666663,0.13333333333333333,0.13333333333333333,0.9983536502031687,0.020233667636530856,[0.         0.86666667 0.86666667 ... 1.         1.         1.        ],2400
7,Single Session,Open Set,erpcore n400,AR+PSD+SVM,8,session_1,0.13333333333333333,0.4,0.4,0.9940747740810741,0.03264161807127941,[0.  0.6 0.6 ... 1.  1.  1. ],2400
8,Single Session,Open Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],2400
9,Single Session,Open Set,erpcore n400,AR+PSD+SVM,10,session_1,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.9654551270578707,0.06958375827384242,[0.         0.46666667 0.46666667 ... 1.         1.         1.        ],2400
10,Single Session,Open Set,erpcore n400,AR+PSD+SVM,11,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.997772811061444,0.01667416666666665,[0.         0.98333333 0.98333333 ... 1.         1.         1.        ],2400
11,Single Session,Open Set,erpcore n400,AR+PSD+SVM,12,session_1,0.08333333333333334,0.25,0.25,0.9979376460431271,0.009034204630884907,[0.   0.75 0.75 ... 1.   1.   1.  ],2400
12,Single Session,Open Set,erpcore n400,AR+PSD+SVM,13,session_1,0.033333333333333326,0.04999999999999999,0.04999999999999999,0.993402767361007,0.03375327489151983,[0.   0.95 0.95 ... 1.   1.   1.  ],2400
13,Single Session,Open Set,erpcore n400,AR+PSD+SVM,14,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.9981618149514829,0.017089108224848493,[0.         0.96666667 0.96666667 ... 1.         1.         1.        ],2400
14,Single Session,Open Set,erpcore n400,AR+PSD+SVM,15,session_1,0.08333333333333334,0.18333333333333332,0.18333333333333332,0.9905795724623914,0.03458565835783456,[0.         0.81666667 0.81666667 ... 1.         1.         1.        ],2400
15,Single Session,Open Set,erpcore n400,AR+PSD+SVM,16,session_1,0.0,0.033333333333333326,0.033333333333333326,0.9999396660633273,0.0008398831163637091,[0.         0.96666667 0.96666667 ... 1.         1.         1.        ],2400
16,Single Session,Open Set,erpcore n400,AR+PSD+SVM,17,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.9980508138414718,0.028752475003499478,[0.   0.95 0.95 ... 1.   1.   1.  ],2400
17,Single Session,Open Set,erpcore n400,AR+PSD+SVM,18,session_1,0.09999999999999998,0.3,0.3,0.9908887422207556,0.05402793608895219,[0.  0.7 0.7 ... 1.  1.  1. ],2400
18,Single Session,Open Set,erpcore n400,AR+PSD+SVM,19,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.9996894968949689,0.00459185818985342,[0.         0.98333333 0.98333333 ... 1.         1.         1.        ],2400
19,Single Session,Open Set,erpcore n400,AR+PSD+SVM,20,session_1,0.11666666666666664,0.19999999999999998,0.19999999999999998,0.974758613412605,0.06768452416661666,[0.  0.8 0.8 ... 1.  1.  1. ],2400
20,Single Session,Open Set,erpcore n400,AR+PSD+SVM,21,session_1,0.13333333333333333,0.2833333333333333,0.2833333333333333,0.9936077694110275,0.032546943427920076,[0.         0.71666667 0.71666667 ... 1.         1.         1.        ],2400
21,Single Session,Open Set,erpcore n400,AR+PSD+SVM,22,session_1,0.0,0.016666666666666663,0.016666666666666663,0.9999673330066634,0.00042494155818185455,[0.         0.98333333 0.98333333 ... 1.         1.         1.        ],2400
22,Single Session,Open Set,erpcore n400,AR+PSD+SVM,23,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.9990506571732384,0.014173016827644132,[0.         0.98333333 0.98333333 ... 1.         1.         1.        ],2400
23,Single Session,Open Set,erpcore n400,AR+PSD+SVM,24,session_1,0.26666666666666666,0.43333333333333335,0.43333333333333335,0.9704698713653804,0.06851890735297987,[0.         0.56666667 0.56666667 ... 1.         1.         1.        ],2400
24,Single Session,Open Set,erpcore n400,AR+PSD+SVM,25,session_1,0.033333333333333326,0.11666666666666667,0.11666666666666667,0.9987454874548746,0.014170610399460867,[0.         0.88333333 0.88333333 ... 1.         1.         1.        ],2400
25,Single Session,Open Set,erpcore n400,AR+PSD+SVM,26,session_1,0.08333333333333334,0.4666666666666667,0.4666666666666667,0.9958461251279179,0.0262038314635951,[0.         0.53333333 0.53333333 ... 1.         1.         1.        ],2400
26,Single Session,Open Set,erpcore n400,AR+PSD+SVM,27,session_1,0.033333333333333326,0.16666666666666666,0.16666666666666666,0.9906807401407348,0.022180895024697347,[0.         0.83333333 0.83333333 ... 1.         1.         1.        ],2400
27,Single Session,Open Set,erpcore n400,AR+PSD+SVM,28,session_1,0.06666666666666665,0.2,0.2,0.997958979589796,0.013428120063191154,[0.  0.8 0.8 ... 1.  1.  1. ],2400
