,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,erpcore p300,AR+PSD+SVM,1,session_1,0.19444444444444445,0.2777777777777778,0.2777777777777778,0.992075198529763,0.03498970102391809,[0.         0.72222222 0.72222222 ... 1.         1.         1.        ],1346
1,Single Session,Open Set,erpcore p300,AR+PSD+SVM,2,session_1,0.0,0.15,0.15,0.9990642406424064,0.0062044418252357285,[0.   0.85 0.85 ... 1.   1.   1.  ],1346
2,Single Session,Open Set,erpcore p300,AR+PSD+SVM,3,session_1,0.19444444444444445,0.33333333333333337,0.33333333333333337,0.993869938699387,0.03345732341412687,[0.         0.66666667 0.66666667 ... 1.         1.         1.        ],1346
3,Single Session,Open Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.03125,0.03125,0.9998990614906149,0.000777446103772736,[0.      0.96875 0.96875 ... 1.      1.      1.     ],1346
4,Single Session,Open Set,erpcore p300,AR+PSD+SVM,5,session_1,0.024999999999999994,0.25,0.25,0.9984537345373453,0.0077443032377086055,[0.   0.75 0.75 ... 1.   1.   1.  ],1346
5,Single Session,Open Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],1346
6,Single Session,Open Set,erpcore p300,AR+PSD+SVM,7,session_1,0.02777777777777779,0.02777777777777779,0.02777777777777779,0.9978249782497824,0.019538437524998,[0.         0.97222222 0.97222222 ... 1.         1.         1.        ],1346
7,Single Session,Open Set,erpcore p300,AR+PSD+SVM,8,session_1,0.19444444444444445,0.3055555555555556,0.3055555555555556,0.9690341347857924,0.09492990560755141,[0.         0.69444444 0.69444444 ... 1.         1.         1.        ],1346
8,Single Session,Open Set,erpcore p300,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],1346
9,Single Session,Open Set,erpcore p300,AR+PSD+SVM,10,session_1,0.625,0.625,0.625,0.9505520055200553,0.06737182630673694,[0.    0.375 0.375 ... 1.    1.    1.   ],1346
10,Single Session,Open Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],1346
11,Single Session,Open Set,erpcore p300,AR+PSD+SVM,12,session_1,0.03125,0.03125,0.03125,0.9990337403374033,0.0076994615626906114,[0.      0.96875 0.96875 ... 1.      1.      1.     ],1346
12,Single Session,Open Set,erpcore p300,AR+PSD+SVM,13,session_1,0.0625,0.09375,0.09375,0.9975256002560026,0.010619622865422751,[0.      0.90625 0.90625 ... 1.      1.      1.     ],1346
13,Single Session,Open Set,erpcore p300,AR+PSD+SVM,14,session_1,0.03125,0.125,0.125,0.9982871703717037,0.012149149734518585,[0.    0.875 0.875 ... 1.    1.    1.   ],1346
14,Single Session,Open Set,erpcore p300,AR+PSD+SVM,15,session_1,0.15,0.175,0.175,0.9667161671616716,0.05608445239928407,[0.    0.825 0.825 ... 1.    1.    1.   ],1346
15,Single Session,Open Set,erpcore p300,AR+PSD+SVM,16,session_1,0.024999999999999994,0.04999999999999999,0.04999999999999999,0.999609496094961,0.0030947221500064992,[0.   0.95 0.95 ... 1.   1.   1.  ],1346
16,Single Session,Open Set,erpcore p300,AR+PSD+SVM,17,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.997330723307233,0.021165595771380573,[0.   0.95 0.95 ... 1.   1.   1.  ],1346
17,Single Session,Open Set,erpcore p300,AR+PSD+SVM,18,session_1,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.9858756920902544,0.03159514434494822,[0.         0.88888889 0.88888889 ... 1.         1.         1.        ],1346
18,Single Session,Open Set,erpcore p300,AR+PSD+SVM,19,session_1,0.04999999999999999,0.49999999999999994,0.49999999999999994,0.9973157231572316,0.012898964248435233,[0.  0.5 0.5 ... 1.  1.  1. ],1346
19,Single Session,Open Set,erpcore p300,AR+PSD+SVM,20,session_1,0.30000000000000004,0.32499999999999996,0.32499999999999996,0.9795375453754537,0.055404513818758584,[0.    0.675 0.675 ... 1.    1.    1.   ],1346
20,Single Session,Open Set,erpcore p300,AR+PSD+SVM,21,session_1,0.16666666666666666,0.3055555555555556,0.3055555555555556,0.9864937538264271,0.04953103751699867,[0.         0.69444444 0.69444444 ... 1.         1.         1.        ],1346
