,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,1,session_1,0.010869565217391297,0.06521739130434784,0.06521739130434784,0.9986805302835636,0.014293811883124894,[0.         0.93478261 0.93478261 ... 1.         1.         1.        ],2789
1,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,2,session_1,0.010869565217391297,0.010869565217391297,0.010869565217391297,0.9996327137184415,0.00834066670332527,[0.         0.98913043 0.98913043 ... 1.         1.         1.        ],2789
2,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,3,session_1,0.021739130434782594,0.09782608695652176,0.09782608695652176,0.9962600712963652,0.021744130434782596,[0.         0.90217391 0.90217391 ... 1.         1.         1.        ],2789
3,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,4,session_1,0.2065217391304348,0.25,0.25,0.9634250690332989,0.08188372471100148,[0.   0.75 0.75 ... 1.   1.   1.  ],2789
4,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,5,session_1,0.1847826086956522,0.2934782608695652,0.2934782608695652,0.9815570981796774,0.07046677991711549,[0.         0.70652174 0.70652174 ... 1.         1.         1.        ],2789
5,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,6,session_1,0.1739130434782609,0.32608695652173914,0.32608695652173914,0.9849140882713175,0.04912109056521698,[0.         0.67391304 0.67391304 ... 1.         1.         1.        ],2789
6,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,7,session_1,0.3804347826086957,0.532608695652174,0.532608695652174,0.9642500772833814,0.10563208702781043,[0.        0.4673913 0.4673913 ... 1.        1.        1.       ],2789
7,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,8,session_1,0.010869565217391297,0.06521739130434781,0.06521739130434781,0.9996588009358355,0.0057612330787226804,[0.         0.93478261 0.93478261 ... 1.         1.         1.        ],2789
8,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,9,session_1,0.15217391304347827,0.358695652173913,0.358695652173913,0.9904730569044821,0.04352116032983076,[0.         0.64130435 0.64130435 ... 1.         1.         1.        ],2789
9,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,10,session_1,0.48913043478260876,0.6304347826086956,0.6304347826086956,0.9602793854025496,0.08918233640772949,[0.         0.36956522 0.36956522 ... 1.         1.         1.        ],2789
10,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,11,session_1,0.10869565217391305,0.33695652173913043,0.33695652173913043,0.9943525522211744,0.03574050720363207,[0.         0.66304348 0.66304348 ... 1.         1.         1.        ],2789
11,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,12,session_1,0.34782608695652173,0.5869565217391304,0.5869565217391304,0.984208320344073,0.053332179963889316,[0.         0.41304348 0.41304348 ... 1.         1.         1.        ],2789
12,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,13,session_1,0.08695652173913043,0.10869565217391305,0.10869565217391305,0.9955179986582475,0.022441557204971225,[0.         0.89130435 0.89130435 ... 1.         1.         1.        ],2789
13,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,14,session_1,0.26086956521739135,0.4891304347826087,0.4891304347826087,0.9863449721453735,0.04858322473396385,[0.         0.51086957 0.51086957 ... 1.         1.         1.        ],2789
14,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,15,session_1,0.31521739130434784,0.532608695652174,0.532608695652174,0.9792400097914022,0.07608695652173915,[0.        0.4673913 0.4673913 ... 1.        1.        1.       ],2789
15,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,16,session_1,0.043478260869565216,0.14130434782608695,0.14130434782608695,0.9978653047400039,0.02728845306206553,[0.         0.85869565 0.85869565 ... 1.         1.         1.        ],2789
16,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,17,session_1,0.08695652173913043,0.31521739130434784,0.31521739130434784,0.996166048617008,0.026700538924914495,[0.         0.68478261 0.68478261 ... 1.         1.         1.        ],2789
17,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,18,session_1,0.2479340010791412,0.6630434782608695,0.6630434782608695,0.9658669842191846,0.07513770883449741,[0.         0.33695652 0.33695652 ... 1.         1.         1.        ],2789
18,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,19,session_1,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.995458432845198,0.016488872997940454,[0.         0.91304348 0.91304348 ... 1.         1.         1.        ],2789
19,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,20,session_1,0.06521739130434784,0.47826086956521735,0.47826086956521735,0.9962850715463677,0.028005863797196936,[0.         0.52173913 0.52173913 ... 1.         1.         1.        ],2789
20,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,21,session_1,0.08695652173913043,0.3804347826086957,0.3804347826086957,0.9972982338519037,0.013647089605688133,[0.         0.61956522 0.61956522 ... 1.         1.         1.        ],2789
21,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,22,session_1,0.09782608695652176,0.3913043478260869,0.3913043478260869,0.9935531964015293,0.04173668749396879,[0.         0.60869565 0.60869565 ... 1.         1.         1.        ],2789
22,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,23,session_1,0.06521739130434784,0.1847826086956522,0.1847826086956522,0.995462237231068,0.0307757293395453,[0.         0.81521739 0.81521739 ... 1.         1.         1.        ],2789
23,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,24,session_1,0.14130434782608697,0.3152173913043478,0.3152173913043478,0.9948720139375307,0.041442295738415125,[0.         0.68478261 0.68478261 ... 1.         1.         1.        ],2789
24,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,25,session_1,0.05434782608695654,0.1739130434782609,0.1739130434782609,0.9911492593186801,0.05514278832625011,[0.         0.82608696 0.82608696 ... 1.         1.         1.        ],2789
25,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,26,session_1,0.010869565217391297,0.043478260869565216,0.043478260869565216,0.9997036926891009,0.003581713123112915,[0.         0.95652174 0.95652174 ... 1.         1.         1.        ],2789
26,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,27,session_1,0.11956521739130438,0.2826086956521739,0.2826086956521739,0.9966558361235786,0.017618081093898525,[0.        0.7173913 0.7173913 ... 1.        1.        1.       ],2789
27,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,28,session_1,0.15217391304347827,0.2717391304347826,0.2717391304347826,0.9917656785263504,0.03295861921898875,[0.         0.72826087 0.72826087 ... 1.         1.         1.        ],2789
28,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,29,session_1,0.14130434782608697,0.34782608695652173,0.34782608695652173,0.9952844093658327,0.03181603500584632,[0.         0.65217391 0.65217391 ... 1.         1.         1.        ],2789
29,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,30,session_1,0.18478260869565216,0.44565217391304357,0.44565217391304357,0.9828543937613289,0.07220389775120857,[0.         0.55434783 0.55434783 ... 1.         1.         1.        ],2789
30,Single Session,Open Set,mantegna 2019,AR+PSD+SVM,31,session_1,0.2608695652173913,0.3695652173913043,0.3695652173913043,0.9854675720670251,0.048318826379935266,[0.         0.63043478 0.63043478 ... 1.         1.         1.        ],2789
31,Single Session,Open Set,mantegna 2019,AR+PSD+LR,1,session_1,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.991167629067595,0.01816716170284289,[0.         0.30434783 0.30434783 ... 1.         1.         1.        ],2789
32,Single Session,Open Set,mantegna 2019,AR+PSD+LR,2,session_1,0.0,0.021739130434782594,0.021739130434782594,0.9999304340869496,0.0014946722721001378,[0.         0.97826087 0.97826087 ... 1.         1.         1.        ],2789
33,Single Session,Open Set,mantegna 2019,AR+PSD+LR,3,session_1,0.03260869565217392,0.09782608695652176,0.09782608695652176,0.9987456396303094,0.016430842286436168,[0.         0.90217391 0.90217391 ... 1.         1.         1.        ],2789
