,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,1,session_1,0.0,0.00416666666666668,0.011666666666666659,0.9999709497094971,0.002502500000013045,[0.         0.98833333 0.98833333 ... 1.         1.         1.        ],12000
1,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,2,session_1,0.004444444444444445,0.006666666666666682,0.007777777777777772,0.9998341316746501,0.004449444444439091,[0.         0.99222222 0.99222222 ... 1.         1.         1.        ],12000
2,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,3,session_1,0.005555555555555564,0.007777777777777772,0.007777777777777772,0.999651440958854,0.005560555555555299,[0.         0.99222222 0.99222222 ... 1.         1.         1.        ],12000
3,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,4,session_1,0.0011111111111111183,0.004444444444444473,0.009999999999999981,0.9999616996169961,0.0035267999680823822,[0.   0.99 0.99 ... 1.   1.   1.  ],12000
4,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,5,session_1,0.007777777777777772,0.016666666666666663,0.02888888888888888,0.9980528249726941,0.008962623722861362,[0.         0.97111111 0.97111111 ... 1.         1.         1.        ],12000
5,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,6,session_1,0.0044444444444444176,0.010000000000000009,0.01999999999999999,0.9997085970859708,0.005048092273316687,[0.   0.98 0.98 ... 1.   1.   1.  ],12000
6,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,7,session_1,0.1588888888888889,0.2577777777777778,0.35,0.9804545045450453,0.05555555555553528,[0.   0.65 0.65 ... 1.   1.   1.  ],12000
7,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,8,session_1,0.0188888888888889,0.03777777777777777,0.0522222222222222,0.9977046659355483,0.016390086206896637,[0.         0.94777778 0.94777778 ... 1.         1.         1.        ],12000
8,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,9,session_1,0.0,0.0,0.003333333333333327,0.999993533268666,0.0001746256385696041,[0.         0.99666667 0.99666667 ... 1.         1.         1.        ],12000
9,Single Session,Open Set,Spot Pilot P300 dataset,AR+PSD+SVM,10,session_1,0.0,0.0,0.0011111111111111183,0.9999945888347772,0.00010228767560664115,[0.         0.99888889 0.99888889 ... 1.         1.         1.        ],12000
