,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,auc,eer,tpr,n_samples
0,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.008426417728206792,0.008454106280193247,0.008454106280193247,0.9988356391958575,0.008443372138406893,[0.         0.99154589 0.99154589 ... 1.         1.         1.        ],11913
1,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.003968253968253982,0.003968253968253982,0.003968253968253982,0.9999538487448366,0.0026008920968999217,[0.         0.99603175 0.99603175 ... 1.         1.         1.        ],11913
2,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.005681818181818177,0.011363636363636354,0.011363636363636354,0.9997444292624744,0.005689318181818166,[0.         0.98863636 0.98863636 ... 1.         1.         1.        ],11913
3,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.012500000000000039,0.012500000000000039,0.012500000000000039,0.9962241236656674,0.012502500000022943,[0.     0.9875 0.9875 ... 1.     1.     1.    ],11913
4,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.9998384983849838,0.005007500000000014,[0.    0.995 0.995 ... 1.    1.    1.   ],11913
5,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],11913
6,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.004718135416648284,0.0048835782475472045,0.004900122530637069,0.9993414296885861,0.004573710045671367,[0.         0.99509822 0.99509841 ... 1.         1.         1.        ],11913
7,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.04365079365079369,0.06746031746031747,0.07539682539682543,0.9961995651702549,0.036872496195216126,[0.         0.92460317 0.92460317 ... 1.         1.         1.        ],11913
8,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],11913
9,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.015957446808510634,0.015957446808510634,0.015957446808510634,0.9986834974732726,0.015962446808510673,[0.         0.98404255 0.98404255 ... 1.         1.         1.        ],11913
10,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],11913
11,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.0026881720430107503,0.0026881720430107503,0.0026881720430107503,0.9992619592813782,0.002695672043010758,[0.         0.99731183 0.99731183 ... 1.         1.         1.        ],11913
12,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],11913
13,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.0,0.0,0.0,0.9999949999499995,1e-05,[0. 1. 1. ... 1. 1. 1.],11913
14,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.042452830188679236,0.12264150943396226,0.21226415094339623,0.9980737543224489,0.016912573386199115,[0.         0.78773585 0.78773585 ... 1.         1.         1.        ],11913
15,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.15566037735849056,0.3584905660377358,0.43867924528301894,0.9927228989271025,0.03075650661655939,[0.         0.56132075 0.56132075 ... 1.         1.         1.        ],11913
16,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.32352941176470584,0.40441176470588236,0.4595588235294117,0.9736851030424626,0.04677863131134237,[0.         0.54044118 0.54044118 ... 0.99999983 0.99999991 1.        ],11913
17,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.007352941176470562,0.007352941176470562,0.007352941176470562,0.99987055017609,0.006387157777818266,[0.         0.99264706 0.99264706 ... 1.         1.         1.        ],11913
18,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,19,session_1,0.013333333333333308,0.013333333333333308,0.013333333333333308,0.9975990819099808,0.013332895493978335,[0.         0.98666667 0.98666667 ... 1.         1.         1.        ],11913
