,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,Brain Invaders 2015a,siamese,1,session_1,0.0,0.0,0.0,0.0001,11913,1.2
1,Single Session,Open Set,Brain Invaders 2015a,siamese,6,session_1,0.0,0.0,0.0,0.0001,11913,1.2
2,Single Session,Open Set,Brain Invaders 2015a,siamese,7,session_1,0.0,0.0,0.0,0.0001,11913,1.2
3,Single Session,Open Set,Brain Invaders 2015a,siamese,8,session_1,0.0,0.0,0.007936507936507908,0.005827160493827161,11913,1.2
4,Single Session,Open Set,Brain Invaders 2015a,siamese,14,session_1,0.0,0.0,0.0,0.0001,11913,1.2
5,Single Session,Open Set,Brain Invaders 2015a,siamese,15,session_1,0.0,0.042857142857142816,0.2761904761904762,0.028571428571440596,11913,1.2
6,Single Session,Open Set,Brain Invaders 2015a,siamese,24,session_1,0.03240740740740744,0.2592592592592593,0.5462962962962963,0.06944444444444502,11913,1.2
7,Single Session,Open Set,Brain Invaders 2015a,siamese,28,session_1,0.030000000000000027,0.20666666666666667,0.3766666666666667,0.05729628534831018,11913,1.2
8,Single Session,Open Set,Brain Invaders 2015a,siamese,29,session_1,0.0,0.0,0.0,0.0001,11913,1.2
9,Single Session,Open Set,Brain Invaders 2015a,siamese,30,session_1,0.0,0.0,0.0,0.0001,11913,1.2
10,Single Session,Open Set,Brain Invaders 2015a,siamese,3,session_1,0.0,0.0,0.0,0.0001,11913,1.2
11,Single Session,Open Set,Brain Invaders 2015a,siamese,13,session_1,0.0,0.0,0.0,0.0001,11913,1.2
12,Single Session,Open Set,Brain Invaders 2015a,siamese,20,session_1,0.0,0.0,0.0,0.0001,11913,1.2
13,Single Session,Open Set,Brain Invaders 2015a,siamese,21,session_1,0.0,0.0,0.0,0.0001,11913,1.2
14,Single Session,Open Set,Brain Invaders 2015a,siamese,22,session_1,0.0,0.0,0.0,0.0001,11913,1.2
15,Single Session,Open Set,Brain Invaders 2015a,siamese,23,session_1,0.0,0.0,0.0,0.0001,11913,1.2
16,Single Session,Open Set,Brain Invaders 2015a,siamese,25,session_1,0.0,0.0,0.0,0.0001,11913,1.2
17,Single Session,Open Set,Brain Invaders 2015a,siamese,27,session_1,0.0,0.0,0.0,0.0001,11913,1.2
18,Single Session,Open Set,Brain Invaders 2015a,siamese,32,session_1,0.0,0.0,0.0,0.0001,11913,1.2
19,Single Session,Open Set,Brain Invaders 2015a,siamese,33,session_1,0.0,0.0,0.0,0.0001,11913,1.2
20,Single Session,Open Set,Brain Invaders 2015a,siamese,42,session_1,0.0,0.0,0.0,0.0001,11913,1.2
21,Single Session,Open Set,Brain Invaders 2015a,siamese,2,session_1,0.0,0.0,0.019841269841269882,0.005827160493827161,11913,1.2
22,Single Session,Open Set,Brain Invaders 2015a,siamese,4,session_1,0.0,0.0,0.0,0.0001,11913,1.2
23,Single Session,Open Set,Brain Invaders 2015a,siamese,5,session_1,0.0,0.0,0.0,0.0001,11913,1.2
24,Single Session,Open Set,Brain Invaders 2015a,siamese,12,session_1,0.0,0.0,0.0,0.0001,11913,1.2
25,Single Session,Open Set,Brain Invaders 2015a,siamese,16,session_1,0.0,0.0,0.004761904761904745,0.0010774806543246153,11913,1.2
26,Single Session,Open Set,Brain Invaders 2015a,siamese,18,session_1,0.0,0.0,0.0,0.0001,11913,1.2
27,Single Session,Open Set,Brain Invaders 2015a,siamese,31,session_1,0.0,0.0,0.0,0.0001,11913,1.2
28,Single Session,Open Set,Brain Invaders 2015a,siamese,38,session_1,0.0,0.0,0.009009009009009028,0.0018589179140984249,11913,1.2
29,Single Session,Open Set,Brain Invaders 2015a,siamese,40,session_1,0.0,0.0,0.0,0.0001,11913,1.2
30,Single Session,Open Set,Brain Invaders 2015a,siamese,41,session_1,0.0,0.0,0.0,0.0001,11913,1.2
31,Single Session,Open Set,Brain Invaders 2015a,siamese,43,session_1,0.0,0.0,0.0,0.0001,11913,1.2
32,Single Session,Open Set,Brain Invaders 2015a,siamese,9,session_1,0.0,0.0,0.0,0.0001,11913,1.2
33,Single Session,Open Set,Brain Invaders 2015a,siamese,10,session_1,0.0,0.0,0.0,0.0001,11913,1.2
34,Single Session,Open Set,Brain Invaders 2015a,siamese,11,session_1,0.0,0.0,0.0,0.0001,11913,1.2
35,Single Session,Open Set,Brain Invaders 2015a,siamese,17,session_1,0.0,0.0,0.0,0.0001,11913,1.2
36,Single Session,Open Set,Brain Invaders 2015a,siamese,19,session_1,0.0,0.0,0.0,0.0001,11913,1.2
37,Single Session,Open Set,Brain Invaders 2015a,siamese,26,session_1,0.0,0.0,0.0,0.0001,11913,1.2
38,Single Session,Open Set,Brain Invaders 2015a,siamese,34,session_1,0.0,0.0,0.0,0.0001,11913,1.2
39,Single Session,Open Set,Brain Invaders 2015a,siamese,35,session_1,0.0,0.0,0.0,0.0001,11913,1.2
40,Single Session,Open Set,Brain Invaders 2015a,siamese,36,session_1,0.0,0.0,0.0,0.0001,11913,1.2
41,Single Session,Open Set,Brain Invaders 2015a,siamese,37,session_1,0.0,0.0,0.0,0.0001,11913,1.2
42,Single Session,Open Set,Brain Invaders 2015a,siamese,39,session_1,0.0,0.0,0.0,0.0001,11913,1.2
