,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,Brain Invaders 2015a,siamese,2,session_1,0.0,0.0,0.0,0.0001,3563,150
1,Single Session,Open Set,Brain Invaders 2015a,siamese,19,session_1,0.0,0.0,0.0,0.0001,3563,150
2,Single Session,Open Set,Brain Invaders 2015a,siamese,21,session_1,0.0,0.0,0.0,0.0001,3563,150
3,Single Session,Open Set,Brain Invaders 2015a,siamese,23,session_1,0.0,0.0,0.0,0.0001,3563,150
4,Single Session,Open Set,Brain Invaders 2015a,siamese,27,session_1,0.0,0.0,0.0,0.0001,3563,150
5,Single Session,Open Set,Brain Invaders 2015a,siamese,4,session_1,0.0,0.0,0.0,0.0001,3563,150
6,Single Session,Open Set,Brain Invaders 2015a,siamese,24,session_1,0.0,0.009345794392523366,0.01869158878504673,0.009345794392421562,3563,150
7,Single Session,Open Set,Brain Invaders 2015a,siamese,38,session_1,0.00520833333333337,0.015625,0.03125,0.010416666666813722,3563,150
8,Single Session,Open Set,Brain Invaders 2015a,siamese,40,session_1,0.0,0.0,0.0,0.0001,3563,150
9,Single Session,Open Set,Brain Invaders 2015a,siamese,13,session_1,0.0,0.0,0.0,0.0001,3563,150
10,Single Session,Open Set,Brain Invaders 2015a,siamese,16,session_1,0.004950495049504955,0.08415841584158412,0.1633663366336634,0.024752475247524355,3563,150
11,Single Session,Open Set,Brain Invaders 2015a,siamese,28,session_1,0.014440433212996373,0.1407942238267148,0.223826714801444,0.05314791570324371,3563,150
12,Single Session,Open Set,Brain Invaders 2015a,siamese,33,session_1,0.0,0.004149377593360981,0.024896265560165998,0.006275013587627847,3563,150
13,Single Session,Open Set,Brain Invaders 2015a,siamese,8,session_1,0.0,0.008064516129032251,0.012096774193548376,0.008064516129001794,3563,150
14,Single Session,Open Set,Brain Invaders 2015a,siamese,15,session_1,0.0,0.0,0.009756097560975618,0.002969855961985844,3563,150
15,Single Session,Open Set,Brain Invaders 2015a,siamese,17,session_1,0.0038910505836575737,0.04280155642023342,0.11284046692607008,0.019455252918293642,3563,150
16,Single Session,Open Set,Brain Invaders 2015a,siamese,43,session_1,0.0,0.0,0.0,0.0001,3563,150
