,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,1,session_1,0.0,0.0,0.0,1e-05,11913,1
1,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,2,session_1,0.007936507936507964,0.007936507936507964,0.011904761904761918,0.007941507936523684,11913,1
2,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,3,session_1,0.0,0.0,0.0,1e-05,11913,1
3,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,4,session_1,0.0,0.0,0.0,1e-05,11913,1
4,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,5,session_1,0.0,0.0,0.0,1e-05,11913,1
5,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,6,session_1,0.0,0.0,0.0,1e-05,11913,1
6,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,7,session_1,0.0,0.0,0.0,1e-05,11913,1
7,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,8,session_1,0.051587301587301626,0.126984126984127,0.2142857142857143,0.017723655740583707,11913,1
8,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,9,session_1,0.0,0.0,0.0,1e-05,11913,1
9,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,10,session_1,0.0,0.0,0.0,1e-05,11913,1
10,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913,1
11,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,12,session_1,0.0,0.0,0.0,1e-05,11913,1
12,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,13,session_1,0.0,0.0,0.0,1e-05,11913,1
13,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,14,session_1,0.0,0.0,0.0,1e-05,11913,1
14,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,15,session_1,0.07075471698113209,0.16037735849056603,0.2688679245283019,0.015029865261793477,11913,1
15,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,16,session_1,0.18867924528301888,0.24528301886792453,0.2641509433962264,0.020644267580857953,11913,1
16,Single Session,Open Set,Brain Invaders 2015a,AR+SVM,17,session_1,0.1838235294117647,0.26102941176470584,0.30147058823529405,0.02494228027667632,11913,1
