,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,1,session_1,0.002378409012629701,0.004830917874396129,0.006038647342995168,0.0031310461251401974,11913,1
1,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,2,session_1,0.08730158730158732,0.22222222222222224,0.2777777777777778,0.016238148183838282,11913,1
2,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,3,session_1,0.0,0.005681818181818177,0.005681818181818177,0.002029130698799516,11913,1
3,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,4,session_1,0.2,0.30833333333333335,0.3291666666666666,0.025542431440450132,11913,1
4,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,5,session_1,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.00500750000000001,11913,1
5,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,6,session_1,0.0036186637649416875,0.011363636363636354,0.011363636363636354,0.004139918512117445,11913,1
6,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,7,session_1,0.009454736387971091,0.00978553903186094,0.01470404409926454,0.009131132993907,11913,1
7,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,8,session_1,0.1428571428571429,0.3293650793650794,0.5714285714285714,0.054303474702813305,11913,1
8,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,9,session_1,0.017857142857142877,0.09375,0.11607142857142858,0.012129312396053187,11913,1
9,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,10,session_1,0.2606382978723404,0.26595744680851063,0.3085106382978724,0.038537093460478004,11913,1
10,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913,1
11,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,12,session_1,0.002670084467324335,0.0026881720430107503,0.0026881720430107503,0.00267197405599068,11913,1
12,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,13,session_1,0.06140350877192982,0.13596491228070176,0.14473684210526316,0.012910274446310066,11913,1
13,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,14,session_1,0.0,0.0,0.008474576271186446,9.247578190215791e-05,11913,1
14,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,15,session_1,0.042452830188679236,0.4716981132075472,0.5330188679245282,0.02444115852217854,11913,1
15,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,16,session_1,0.11792452830188677,0.49056603773584906,0.7358490566037736,0.025077366951175323,11913,1
16,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,17,session_1,0.15808823529411767,0.4375,0.6985294117647058,0.04399519233867587,11913,1
17,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,18,session_1,0.011029411764705871,0.011029411764705871,0.014705882352941152,0.011116854852839031,11913,1
18,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,19,session_1,0.1933333333333333,0.30333333333333334,0.31333333333333335,0.021905204600337007,11913,1
19,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,20,session_1,0.0,0.0,0.0,1e-05,11913,1
20,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,21,session_1,0.004716981132075471,0.16037735849056603,0.23113207547169812,0.007088312928942872,11913,1
21,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,11913,1
22,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,23,session_1,0.11403508771929827,0.1754385964912281,0.30263157894736836,0.03392534391267206,11913,1
23,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,24,session_1,0.05555555555555558,0.32407407407407407,0.4305555555555556,0.02127289203388552,11913,1
24,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,25,session_1,0.0,0.0,0.0,1e-05,11913,1
25,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,26,session_1,0.0,0.0,0.0,1e-05,11913,1
26,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,27,session_1,0.19117647058823528,0.3529411764705882,0.4117647058823529,0.021522755826507846,11913,1
27,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,28,session_1,0.36333333333333334,0.74,0.9133333333333333,0.04962827507644343,11913,1
28,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,29,session_1,0.0,0.0,0.0,1e-05,11913,1
29,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,30,session_1,0.0548780487804878,0.1402439024390244,0.20731707317073172,0.025017622051126443,11913,1
30,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,31,session_1,0.004424778761061954,0.008849557522123908,0.013274336283185834,0.004429778760996856,11913,1
31,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,32,session_1,0.0,0.0,0.0,1e-05,11913,1
32,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,33,session_1,0.1111111111111111,0.3055555555555556,0.5357142857142858,0.054934512031111375,11913,1
33,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,34,session_1,0.25471698113207547,0.3584905660377359,0.37735849056603776,0.02568108110009211,11913,1
34,Single Session,Open Set,Brain Invaders 2015a,PSD+SVM,35,session_1,0.007211538461538436,0.03865617983102909,0.08894230769230771,0.007214038461546425,11913,1
