,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.0,0.0013760474895448266,0.003972129896478366,0.0005669748777825626,11913
1,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,11913
2,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.0,0.0,0.0005813953488372104,1.8496326542852004e-05,11913
3,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.0,0.00416666666666668,0.004583333333333347,0.0010150520367967042,11913
4,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.0,0.002010204081632655,0.007561224489795926,0.0002993574869164101,11913
5,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.0,0.004118566185661854,0.006439393939393934,0.0005682912918738377,11913
6,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.0,0.0006693808768153092,0.0038976214925548008,0.0002400729596504711,11913
7,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.0007936507936507964,0.01269841269841272,0.024206349206349224,0.0022286945633515484,11913
8,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.0,0.004504870129870137,0.004504870129870137,0.0011194804913280392,11913
9,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.004529793650156666,0.012881591119333952,0.012881591119333952,0.004457837801022173,11913
10,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913
11,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.0,0.0,0.0,1e-05,11913
12,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.0,0.003947368421052644,0.004385964912280715,0.0007955586871352043,11913
13,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.0,0.0016949152542372892,0.0072106954997077696,0.00016344998142528872,11913
14,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.005224963715529757,0.015720246734397682,0.05333817126269956,0.005830462001238562,11913
15,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.00475326560232221,0.00475326560232221,0.028555878084179965,0.004820256379026696,11913
16,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.012587796312554874,0.016308165057067607,0.01889815627743635,0.01265235275621679,11913
17,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.0,0.003583823554068144,0.012500700017974719,0.0005595368537091666,11913
18,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,19,session_1,0.0006666666666666655,0.012566330107745504,0.014666666666666647,0.0036032092243547865,11913
19,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,20,session_1,0.0,0.0,0.0,1e-05,11913
20,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,21,session_1,0.0,0.00047169811320754707,0.0009433962264150941,4.398206932395155e-05,11913
21,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,11913
22,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,23,session_1,0.0013157894736842146,0.005263157894736853,0.011403508771929843,0.0019391981509553464,11913
23,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,24,session_1,0.017129629629629623,0.023148148148148143,0.03564814814814815,0.01623681575762957,11913
24,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,25,session_1,0.0,0.0,0.0,1e-05,11913
25,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,26,session_1,0.0,0.0,0.0,1e-05,11913
26,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,27,session_1,0.0,0.0008438968807862101,0.0014741489816265442,0.0003141397492778093,11913
27,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,28,session_1,0.014333333333333318,0.14733333333333334,0.352,0.01270015327406287,11913
28,Single Session,Close Set,Brain Invaders 2015a,AR+PSD+SVM,29,session_1,0.0,0.0,0.0,1e-05,11913
