,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.004827674495907347,0.004830917874396157,0.004830917874396157,0.004830917874399594,11913
1,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,11913
2,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,11913
3,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.00833333333333336,0.00833333333333336,0.00833333333333336,0.008338333333356263,11913
4,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.005007500000006377,11913
5,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.01131075649921226,0.015151515151515138,0.015151515151515138,0.007469290353382185,11913
6,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.0,0.0,0.0,1e-05,11913
7,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.035714285714285726,0.09126984126984128,0.14285714285714285,0.01109144620640875,11913
8,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.008842334985018019,0.00891994778421612,0.008927709064135925,0.008735459459183338,11913
9,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.0053191489361702204,0.0053191489361702204,0.0053191489361702204,0.005326648936176051,11913
10,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913
11,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.0,0.0,0.0,1e-05,11913
12,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.00877192982456143,0.00877192982456143,0.00877192982456143,0.008776929824568565,11913
13,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.004237288135593209,0.004237288135593209,0.004237288135593209,0.0026209841791760774,11913
14,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.028301886792452824,0.10849056603773585,0.22641509433962265,0.01693199854762969,11913
15,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.07075471698113206,0.2688679245283019,0.36792452830188677,0.02092492092783455,11913
16,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.3161764705882353,0.3529411764705882,0.3786764705882353,0.05528878060573192,11913
17,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.011029411764705871,0.011029411764705871,0.011029411764705871,0.011034411764754814,11913
18,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,19,session_1,0.006666666666666654,0.009999999999999981,0.009999999999999981,0.006926476257569396,11913
19,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,20,session_1,0.0,0.0,0.0,1e-05,11913
20,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,21,session_1,0.0,0.009433962264150941,0.009433962264150941,0.0009595036580977892,11913
21,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,22,session_1,0.0037878787878787845,0.0037878787878787845,0.0037878787878787845,0.003795378787899458,11913
22,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,23,session_1,0.013157894736842118,0.02192982456140352,0.02192982456140352,0.009876971695850325,11913
23,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,24,session_1,0.04629629629629631,0.22222222222222224,0.2870370370370371,0.024917626991038812,11913
24,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,25,session_1,0.0,0.002873563218390801,0.002873563218390801,0.0006069844433786943,11913
25,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,26,session_1,0.0,0.0,0.0,1e-05,11913
26,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,27,session_1,0.0021008403361344463,0.004201680672268893,0.004201680672268893,0.002365533897731804,11913
27,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,28,session_1,0.24,0.6833333333333333,0.8733333333333334,0.0473738433560124,11913
28,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,29,session_1,0.0,0.0,0.0,1e-05,11913
29,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,30,session_1,0.018292682926829285,0.024390243902439046,0.024390243902439046,0.017674759769651986,11913
30,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,31,session_1,0.004424778761061954,0.004424778761061954,0.004424778761061954,0.004432278761061771,11913
31,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,32,session_1,0.0,0.0,0.0,1e-05,11913
32,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,33,session_1,0.007936507936507964,0.011904761904761946,0.011904761904761946,0.00865606336217551,11913
33,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,34,session_1,0.009433962264150941,0.009433962264150941,0.009433962264150941,0.009438962264157755,11913
34,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,35,session_1,0.0,0.0,0.0,1e-05,11913
35,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,36,session_1,0.0,0.00416666666666668,0.00416666666666668,0.0013492083920486912,11913
36,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,37,session_1,0.0,0.0,0.0,1e-05,11913
37,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,38,session_1,0.004464285714285726,0.03125,0.11160714285714285,0.004816593320109448,11913
38,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,39,session_1,0.0,0.0,0.0033783783783783716,9.243799526345772e-05,11913
39,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,40,session_1,0.0,0.0,0.0,1e-05,11913
40,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,41,session_1,0.00735294117647059,0.011029411764705871,0.011029411764705871,0.007212670860523449,11913
41,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,42,session_1,0.0029069767441860517,0.0029069767441860517,0.0029069767441860517,0.002914476744186065,11913
42,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,43,session_1,0.0,0.0,0.0,1e-05,11913
43,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,1,session_1,0.2546563797412947,0.49983289125598807,0.7482586341978901,0.03918311226017983,11913
44,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,2,session_1,0.25396825396825395,0.5833333333333333,1.0,0.027297295732501694,11913
45,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,3,session_1,0.0,0.0,0.4602272727272727,0.000344999392858437,11913
46,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,4,session_1,0.25,0.75,0.75,0.08459332023677163,11913
47,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,5,session_1,0.325,0.5,0.5,0.03383665208654775,11913
48,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,6,session_1,0.0,0.24242424242424243,0.7272727272727273,0.001964426528654608,11913
49,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,7,session_1,0.05882352941176472,0.25,0.25,0.00404797976011994,11913
50,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,8,session_1,0.8095238095238095,0.9841269841269842,0.9920634920634921,0.17970338461232355,11913
51,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,9,session_1,0.5,0.5,0.5,0.0707999407143704,11913
52,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,10,session_1,0.5,0.5,0.5037393459040974,0.03357615186482431,11913
53,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,11,session_1,0.33333333333333337,0.5,0.75,0.033876691859360784,11913
54,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,12,session_1,0.25,0.25,0.25,0.03587,11913
55,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,13,session_1,0.4692982456140351,0.5,0.7543859649122807,0.038721754687811076,11913
56,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,14,session_1,0.0,0.0,0.0,1e-05,11913
57,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,15,session_1,0.5801886792452831,0.9009433962264151,0.9952830188679245,0.026302705028364334,11913
58,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,16,session_1,0.8584905660377359,0.9669811320754718,1.0,0.07556650730302823,11913
59,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,17,session_1,0.7536764705882353,0.875,0.9852941176470589,0.0516382971948172,11913
60,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,18,session_1,0.24954778959554302,0.4999547789595543,0.49999547789595544,0.026684966122697794,11913
61,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,19,session_1,1.0,1.0,1.0,0.23694844566891426,11913
62,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,20,session_1,0.75,0.75,1.0,0.024293395835522556,11913
63,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,21,session_1,0.25471698113207547,0.32547169811320753,0.6320754716981132,0.022777768024916215,11913
64,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,22,session_1,0.5,0.75,0.75,0.02297159437578735,11913
65,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,23,session_1,0.25,0.33771929824561403,0.8245614035087719,0.008962720624603427,11913
66,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,24,session_1,0.837962962962963,0.9212962962962963,1.0,0.13115548759157647,11913
67,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,25,session_1,0.25,0.25,0.25,0.0032597967314542836,11913
68,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,26,session_1,0.25,0.25,0.25,0.05152273629138537,11913
69,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,27,session_1,0.25,0.4096638655462185,0.5,0.025394859693435006,11913
70,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,28,session_1,0.7633333333333333,0.9966666666666667,1.0,0.10593400883346332,11913
71,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,29,session_1,0.42207792207792205,0.75,0.75,0.08012518935590564,11913
72,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,30,session_1,0.4994282041301775,0.49994282041301774,0.5914576966754481,0.08964162041095436,11913
73,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,31,session_1,0.8761061946902655,1.0,1.0,0.06799937118784344,11913
74,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,32,session_1,0.5,0.75,0.75,0.07620954545454546,11913
75,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,33,session_1,0.25396825396825395,0.75,1.0,0.036783197532729225,11913
76,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,34,session_1,0.5,0.5,0.5,0.01990645530943532,11913
77,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,35,session_1,0.25,0.25,0.5,0.011609702270630932,11913
78,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,36,session_1,0.5,0.6375,1.0,0.016594671897806133,11913
79,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,37,session_1,1.0,1.0,1.0,0.17551949257142416,11913
80,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,38,session_1,1.0,1.0,1.0,0.0903944139010083,11913
81,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,39,session_1,0.25,0.25,0.25,0.03350036568285608,11913
82,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,40,session_1,0.25,0.5,0.75,0.01055302110846072,11913
83,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,41,session_1,0.003676470588235281,0.24632352941176472,0.6943113916433282,0.0038539703476699297,11913
84,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,42,session_1,0.2761627906976744,0.75,1.0,0.03735265863683632,11913
85,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,43,session_1,0.5227272727272727,1.0,1.0,0.0644880617980104,11913
86,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,1,session_1,0.4069345532164999,0.49069345532165,0.499069345532165,0.03846167299177736,11913
87,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,2,session_1,0.7429122220413921,0.9988943968073138,0.9998894396807314,0.16485308590634357,11913
88,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,3,session_1,0.7020381787869603,0.9582166059013131,0.9958216605901313,0.11130979494436698,11913
89,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,4,session_1,0.35771682370251956,0.5507073317267455,0.9059699921652644,0.08582846349507979,11913
90,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,5,session_1,0.48197089549845107,0.7046084183690157,0.7454608418369015,0.1286717023914697,11913
91,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,6,session_1,0.5642816937935767,0.7314281693793576,0.9242670781805482,0.059063133601514085,11913
92,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,7,session_1,0.4568097815124493,0.6838053593950574,0.7433805359395057,0.06625082787537127,11913
93,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,8,session_1,1.0,1.0,1.0,0.1937297564955206,11913
94,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,9,session_1,0.9291408320835933,0.9929140832083594,0.999291408320836,0.13221888465438011,11913
95,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,10,session_1,0.6875825023798995,0.7437582502379899,0.749375825023799,0.0970968763047511,11913
96,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,11,session_1,0.4641435766123604,0.6935388289059485,0.7443538828905949,0.06877313136638886,11913
97,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,12,session_1,0.4590506109142724,0.49590506109142724,0.6766147763518452,0.05547149983769894,11913
98,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,13,session_1,0.7800293166929081,0.9780029316692909,0.9978002931669291,0.10589285826889877,11913
99,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,14,session_1,0.6871967374000335,0.7437196737400034,0.7493719673740004,0.09952610823839697,11913
100,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,15,session_1,1.0,1.0,1.0,0.2999195501226879,11913
101,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,16,session_1,1.0,1.0,1.0,0.3144501340645661,11913
102,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,17,session_1,0.7610294117647058,0.7867647058823529,0.9154411764705882,0.15914752772495108,11913
103,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,18,session_1,0.22489770816075508,0.4238390343087104,0.7054460340521773,0.023661323681674038,11913
104,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,19,session_1,0.9552537630917713,0.9955253763091771,0.9995525376309178,0.20363872714347855,11913
105,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,20,session_1,0.6297478821746763,0.7379747882174676,0.9281809638330675,0.09488130420732907,11913
106,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,21,session_1,1.0,1.0,1.0,0.3592856007211215,11913
107,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,22,session_1,0.8679604556113365,0.9867960455611337,0.9986796045561134,0.10299568997852196,11913
108,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,23,session_1,0.9510231004837053,0.9951023100483706,0.999510231004837,0.16626994015842195,11913
109,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,24,session_1,1.0,1.0,1.0,0.2817231867110431,11913
110,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,25,session_1,0.6791407690443538,0.7429140769044353,0.7492914076904436,0.0729552187147127,11913
111,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,26,session_1,0.7029934390588306,0.745299343905883,0.7495299343905883,0.11595215750383944,11913
112,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,27,session_1,0.5235845578855731,0.7273584557885573,0.7477358455788558,0.03758617890663615,11913
113,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,28,session_1,0.9299999999999999,0.9966666666666667,1.0,0.32052351260075446,11913
114,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,29,session_1,0.5879747899172404,0.7337974789917241,0.9275985206063802,0.13229963413554888,11913
115,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,30,session_1,0.6765740684716146,0.7426574068471615,0.7492657406847161,0.09795857001861508,11913
116,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,31,session_1,0.7855710215272362,0.9785571021527236,0.9978557102152724,0.09067747486009382,11913
117,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,32,session_1,0.2830335446211605,0.478303354462116,0.4978303354462116,0.0502963092733452,11913
118,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,33,session_1,0.9854918045312504,0.998549180453125,0.9998549180453125,0.1180240942881285,11913
119,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,34,session_1,0.9375700800601582,0.9937570080060157,0.9993757008006017,0.16456611989964592,11913
120,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,35,session_1,0.9389781376417277,0.9938978137641727,0.9993897813764172,0.15123532282416158,11913
121,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,36,session_1,0.8596222715804364,0.9859622271580437,0.9985962227158044,0.14389716773041117,11913
122,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,37,session_1,0.8978043069532897,0.989780430695329,0.998978043069533,0.14933692216238997,11913
123,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,38,session_1,0.9837599688589074,0.9983759968858906,0.9998375996885891,0.14261418070029447,11913
124,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,39,session_1,0.21621325436555336,0.3123069822931239,0.8340792267145973,0.017733645824244363,11913
125,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LDA,40,session_1,0.4423182087608352,0.7859797383552584,0.9785979738355258,0.04245569679855186,11913
