,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,Brain Invaders 2015a,siamese,1,session_1,0.0,0.0,0.0,1e-05,11913
1,Single Session,Close Set,Brain Invaders 2015a,siamese,2,session_1,0.0,0.015873015873015928,0.015873015873015928,0.00926425616118007,11913
2,Single Session,Close Set,Brain Invaders 2015a,siamese,3,session_1,0.0,0.0,0.0,1e-05,11913
3,Single Session,Close Set,Brain Invaders 2015a,siamese,4,session_1,0.0,0.0,0.0,1e-05,11913
4,Single Session,Close Set,Brain Invaders 2015a,siamese,5,session_1,0.0,0.0,0.0,1e-05,11913
5,Single Session,Close Set,Brain Invaders 2015a,siamese,6,session_1,0.0,0.0,0.0,1e-05,11913
6,Single Session,Close Set,Brain Invaders 2015a,siamese,7,session_1,0.0,0.0,0.0,1e-05,11913
7,Single Session,Close Set,Brain Invaders 2015a,siamese,8,session_1,0.0,0.015873015873015928,0.015873015873015928,0.004117447182746697,11913
8,Single Session,Close Set,Brain Invaders 2015a,siamese,9,session_1,0.0,0.0,0.0,1e-05,11913
9,Single Session,Close Set,Brain Invaders 2015a,siamese,10,session_1,0.0,0.0,0.0,1e-05,11913
10,Single Session,Close Set,Brain Invaders 2015a,siamese,11,session_1,0.0,0.0,0.0,1e-05,11913
11,Single Session,Close Set,Brain Invaders 2015a,siamese,12,session_1,0.0,0.0,0.0,1e-05,11913
12,Single Session,Close Set,Brain Invaders 2015a,siamese,13,session_1,0.0,0.0,0.0,1e-05,11913
13,Single Session,Close Set,Brain Invaders 2015a,siamese,14,session_1,0.0,0.0,0.0,1e-05,11913
14,Single Session,Close Set,Brain Invaders 2015a,siamese,15,session_1,0.0,0.0,0.0,1e-05,11913
15,Single Session,Close Set,Brain Invaders 2015a,siamese,16,session_1,0.0,0.0,0.0,1e-05,11913
16,Single Session,Close Set,Brain Invaders 2015a,siamese,17,session_1,0.0,0.0,0.0,1e-05,11913
17,Single Session,Close Set,Brain Invaders 2015a,siamese,18,session_1,0.0,0.0,0.0,1e-05,11913
18,Single Session,Close Set,Brain Invaders 2015a,siamese,19,session_1,0.0,0.0,0.0,1e-05,11913
19,Single Session,Close Set,Brain Invaders 2015a,siamese,20,session_1,0.0,0.0,0.0,1e-05,11913
20,Single Session,Close Set,Brain Invaders 2015a,siamese,21,session_1,0.0,0.0,0.0,1e-05,11913
21,Single Session,Close Set,Brain Invaders 2015a,siamese,22,session_1,0.0,0.0,0.0,1e-05,11913
22,Single Session,Close Set,Brain Invaders 2015a,siamese,23,session_1,0.0,0.0,0.0,1e-05,11913
23,Single Session,Close Set,Brain Invaders 2015a,siamese,24,session_1,0.0,0.0,0.01851851851851849,0.0006896344937183293,11913
24,Single Session,Close Set,Brain Invaders 2015a,siamese,25,session_1,0.0,0.0,0.0,1e-05,11913
25,Single Session,Close Set,Brain Invaders 2015a,siamese,26,session_1,0.0,0.0,0.0,1e-05,11913
26,Single Session,Close Set,Brain Invaders 2015a,siamese,27,session_1,0.0,0.0,0.0,1e-05,11913
27,Single Session,Close Set,Brain Invaders 2015a,siamese,28,session_1,0.013333333333333308,0.026666666666666616,0.19999999999999996,0.013333333333333306,11913
28,Single Session,Close Set,Brain Invaders 2015a,siamese,29,session_1,0.0,0.0,0.0,1e-05,11913
29,Single Session,Close Set,Brain Invaders 2015a,siamese,30,session_1,0.0,0.0,0.0,1e-05,11913
30,Single Session,Close Set,Brain Invaders 2015a,siamese,31,session_1,0.0,0.0,0.0,1e-05,11913
31,Single Session,Close Set,Brain Invaders 2015a,siamese,32,session_1,0.0,0.0,0.0,1e-05,11913
32,Single Session,Close Set,Brain Invaders 2015a,siamese,33,session_1,0.0,0.0,0.0,1e-05,11913
33,Single Session,Close Set,Brain Invaders 2015a,siamese,34,session_1,0.0,0.0,0.0,1e-05,11913
34,Single Session,Close Set,Brain Invaders 2015a,siamese,35,session_1,0.0,0.0,0.0,1e-05,11913
35,Single Session,Close Set,Brain Invaders 2015a,siamese,36,session_1,0.0,0.0,0.0,1e-05,11913
36,Single Session,Close Set,Brain Invaders 2015a,siamese,37,session_1,0.0,0.0,0.0,1e-05,11913
37,Single Session,Close Set,Brain Invaders 2015a,siamese,38,session_1,0.0,0.017857142857142905,0.0357142857142857,0.0013692469141971914,11913
38,Single Session,Close Set,Brain Invaders 2015a,siamese,39,session_1,0.0,0.0,0.0,1e-05,11913
39,Single Session,Close Set,Brain Invaders 2015a,siamese,40,session_1,0.0,0.0,0.0,1e-05,11913
40,Single Session,Close Set,Brain Invaders 2015a,siamese,41,session_1,0.0,0.0,0.0,1e-05,11913
41,Single Session,Close Set,Brain Invaders 2015a,siamese,42,session_1,0.0,0.0,0.0,1e-05,11913
42,Single Session,Close Set,Brain Invaders 2015a,siamese,43,session_1,0.0,0.0,0.0,1e-05,11913
