,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,Brain Invaders 2015a,siamese,1,session_1,0.0,0.0,0.0,1e-05,11913
1,Single Session,Open Set,Brain Invaders 2015a,siamese,6,session_1,0.0,0.0,0.0,1e-05,11913
2,Single Session,Open Set,Brain Invaders 2015a,siamese,7,session_1,0.0,0.0,0.0,1e-05,11913
3,Single Session,Open Set,Brain Invaders 2015a,siamese,8,session_1,0.0,0.011904761904761862,0.011904761904761862,0.005143570536828964,11913
4,Single Session,Open Set,Brain Invaders 2015a,siamese,14,session_1,0.0,0.0,0.0,1e-05,11913
5,Single Session,Open Set,Brain Invaders 2015a,siamese,15,session_1,0.07619047619047614,0.2142857142857143,0.32380952380952377,0.01904761904767787,11913
6,Single Session,Open Set,Brain Invaders 2015a,siamese,24,session_1,0.5462962962962963,0.6898148148148149,0.8657407407407407,0.07870370370370373,11913
7,Single Session,Open Set,Brain Invaders 2015a,siamese,28,session_1,0.29000000000000004,0.62,0.89,0.06999999999999995,11913
8,Single Session,Open Set,Brain Invaders 2015a,siamese,29,session_1,0.0,0.0,0.0,1e-05,11913
9,Single Session,Open Set,Brain Invaders 2015a,siamese,30,session_1,0.0,0.0,0.0,1e-05,11913
10,Single Session,Open Set,Brain Invaders 2015a,siamese,3,session_1,0.0,0.0,0.0,1e-05,11913
11,Single Session,Open Set,Brain Invaders 2015a,siamese,13,session_1,0.0,0.0,0.0,1e-05,11913
12,Single Session,Open Set,Brain Invaders 2015a,siamese,20,session_1,0.0,0.0,0.0,1e-05,11913
13,Single Session,Open Set,Brain Invaders 2015a,siamese,21,session_1,0.0,0.0,0.0,1e-05,11913
14,Single Session,Open Set,Brain Invaders 2015a,siamese,22,session_1,0.0,0.0,0.0,1e-05,11913
15,Single Session,Open Set,Brain Invaders 2015a,siamese,23,session_1,0.0,0.0,0.0,1e-05,11913
16,Single Session,Open Set,Brain Invaders 2015a,siamese,25,session_1,0.0,0.0,0.0,1e-05,11913
17,Single Session,Open Set,Brain Invaders 2015a,siamese,27,session_1,0.0,0.0,0.0,1e-05,11913
18,Single Session,Open Set,Brain Invaders 2015a,siamese,32,session_1,0.0,0.0,0.0,1e-05,11913
19,Single Session,Open Set,Brain Invaders 2015a,siamese,33,session_1,0.0,0.0,0.003968253968253954,0.0007381472504014922,11913
20,Single Session,Open Set,Brain Invaders 2015a,siamese,42,session_1,0.0,0.0,0.0,1e-05,11913
21,Single Session,Open Set,Brain Invaders 2015a,siamese,2,session_1,0.0,0.015873015873015928,0.0357142857142857,0.003968253968251919,11913
22,Single Session,Open Set,Brain Invaders 2015a,siamese,4,session_1,0.0,0.0,0.0,1e-05,11913
23,Single Session,Open Set,Brain Invaders 2015a,siamese,5,session_1,0.0,0.0,0.0,1e-05,11913
24,Single Session,Open Set,Brain Invaders 2015a,siamese,12,session_1,0.0,0.0,0.0,1e-05,11913
25,Single Session,Open Set,Brain Invaders 2015a,siamese,16,session_1,0.0,0.004761904761904745,0.004761904761904745,0.0046802183436617465,11913
26,Single Session,Open Set,Brain Invaders 2015a,siamese,18,session_1,0.0,0.0,0.0,1e-05,11913
27,Single Session,Open Set,Brain Invaders 2015a,siamese,31,session_1,0.0,0.0,0.0,1e-05,11913
28,Single Session,Open Set,Brain Invaders 2015a,siamese,38,session_1,0.0,0.036036036036036,0.058558558558558516,0.00253439897825805,11913
29,Single Session,Open Set,Brain Invaders 2015a,siamese,40,session_1,0.0,0.0,0.0,1e-05,11913
30,Single Session,Open Set,Brain Invaders 2015a,siamese,41,session_1,0.0,0.0,0.0037037037037036535,0.0003690073701742312,11913
31,Single Session,Open Set,Brain Invaders 2015a,siamese,43,session_1,0.0,0.0,0.0,1e-05,11913
32,Single Session,Open Set,Brain Invaders 2015a,siamese,9,session_1,0.0,0.0,0.0,1e-05,11913
33,Single Session,Open Set,Brain Invaders 2015a,siamese,10,session_1,0.0,0.0,0.0,1e-05,11913
34,Single Session,Open Set,Brain Invaders 2015a,siamese,11,session_1,0.0,0.0,0.0,1e-05,11913
35,Single Session,Open Set,Brain Invaders 2015a,siamese,17,session_1,0.0,0.0,0.0,1e-05,11913
36,Single Session,Open Set,Brain Invaders 2015a,siamese,19,session_1,0.0,0.0,0.0,1e-05,11913
37,Single Session,Open Set,Brain Invaders 2015a,siamese,26,session_1,0.0,0.0,0.0,1e-05,11913
38,Single Session,Open Set,Brain Invaders 2015a,siamese,34,session_1,0.0,0.0,0.0,1e-05,11913
39,Single Session,Open Set,Brain Invaders 2015a,siamese,35,session_1,0.0,0.0,0.0,1e-05,11913
40,Single Session,Open Set,Brain Invaders 2015a,siamese,36,session_1,0.0,0.0,0.0,1e-05,11913
41,Single Session,Open Set,Brain Invaders 2015a,siamese,37,session_1,0.0,0.0,0.0,1e-05,11913
42,Single Session,Open Set,Brain Invaders 2015a,siamese,39,session_1,0.0,0.0,0.0,1e-05,11913
