,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.04999999999999999,0.04999999999999999,0.0031372181003709665,4272,1
1,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.225,0.32499999999999996,0.32499999999999996,0.06360388439605585,4272,1
2,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.0357142857142857,0.07142857142857142,0.07142857142857142,0.01829012260906082,4272,1
3,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.01785714285714285,0.035714285714285726,0.035714285714285726,0.0030845999770029893,4272,1
4,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.01785714285714285,0.053571428571428575,0.053571428571428575,0.006274185005949227,4272,1
5,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.01785714285714285,0.07142857142857142,0.07142857142857142,0.018544617833048182,4272,1
6,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272,1
7,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.23333333333333334,0.3833333333333333,0.3833333333333333,0.04359415729855164,4272,1
8,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.0,0.0,1e-05,4272,1
9,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.125,0.28125,0.28125,0.042106740203185784,4272,1
10,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.07142857142857145,0.14285714285714288,0.14285714285714288,0.02134443391966688,4272,1
11,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.0769230769230769,0.17307692307692307,0.17307692307692307,0.035108864159380575,4272,1
12,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.0,0.0,0.0,1e-05,4272,1
13,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.2,0.275,0.275,0.050005000000001326,4272,1
14,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_3,0.019230769230769218,0.05769230769230768,0.05769230769230768,0.006169260288765349,4272,1
15,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_1,0.035714285714285726,0.035714285714285726,0.035714285714285726,0.03572178571428574,4272,1
16,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_2,0.07142857142857145,0.10714285714285718,0.10714285714285718,0.07212103003105531,4272,1
17,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_3,0.16666666666666669,0.22222222222222224,0.22222222222222224,0.06399238060955183,4272,1
18,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_1,0.04999999999999999,0.06666666666666665,0.06666666666666665,0.012848201951726758,4272,1
19,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_2,0.04999999999999999,0.06666666666666668,0.06666666666666668,0.018793778891872025,4272,1
20,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_3,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.03402323709680805,4272,1
21,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_1,0.0,0.020833333333333343,0.020833333333333343,0.002389737953825079,4272,1
22,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_2,0.10714285714285715,0.1607142857142857,0.1607142857142857,0.018587048619394107,4272,1
23,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_3,0.18333333333333335,0.25,0.25,0.01667416666666664,4272,1
24,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_1,0.21428571428571427,0.3214285714285714,0.3214285714285714,0.06711127585913831,4272,1
25,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_2,0.125,0.23214285714285715,0.23214285714285715,0.024991851503277936,4272,1
26,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_3,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.033696420554801515,4272,1
27,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_1,0.08333333333333334,0.16666666666666666,0.16666666666666666,0.030184805221455203,4272,1
28,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_2,0.0,0.0,0.0,1e-05,4272,1
29,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_3,0.19999999999999998,0.35,0.35,0.02530727962742563,4272,1
30,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_1,0.0,0.07500000000000001,0.07500000000000001,0.002412283569478747,4272,1
31,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_2,0.04166666666666666,0.10416666666666666,0.10416666666666666,0.0034721188919218885,4272,1
32,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_3,0.10416666666666669,0.125,0.125,0.09417214106454194,4272,1
33,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_1,0.09999999999999998,0.29999999999999993,0.29999999999999993,0.06112705491788097,4272,1
34,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_2,0.5416666666666667,0.7083333333333334,0.7083333333333334,0.06114702382740852,4272,1
35,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_3,0.22727272727272727,0.2727272727272727,0.2727272727272727,0.04545954545455234,4272,1
