,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.07499999999999998,0.07499999999999998,0.0031372181003709665,4272,1.0
1,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.19999999999999998,0.375,0.375,0.02054565089141977,4272,1.0
2,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.01785714285714285,0.07142857142857142,0.07142857142857142,0.01740023861897953,4272,1.0
3,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.0,0.01785714285714285,0.01785714285714285,0.0007773999130113086,4272,1.0
4,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.05357142857142855,0.125,0.125,0.014908061951946248,4272,1.0
5,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.01785714285714285,0.01785714285714285,0.01785714285714285,0.017864642857062015,4272,1.0
6,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272,1.0
7,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.2833333333333333,0.35,0.35,0.02343172025916372,4272,1.0
8,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.0,0.0,1e-05,4272,1.0
9,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.1875,0.28125,0.28125,0.09454494452888361,4272,1.0
10,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.009058823003009609,4272,1.0
11,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.09615384615384612,0.13461538461538458,0.13461538461538458,0.031683697956245246,4272,1.0
12,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.020833333333333343,0.06250000000000003,0.06250000000000003,0.013808481342052375,4272,1.0
13,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.125,0.175,0.175,0.07463778282454711,4272,1.0
14,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_3,0.038461538461538464,0.0769230769230769,0.0769230769230769,0.004764649667394518,4272,1.0
15,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_1,0.07142857142857145,0.07142857142857145,0.07142857142857145,0.07143357142857147,4272,1.0
16,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_2,0.10714285714285718,0.1785714285714286,0.1785714285714286,0.10714535714285721,4272,1.0
17,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_3,0.08333333333333334,0.13888888888888892,0.13888888888888892,0.024700524158067356,4272,1.0
18,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_1,0.04999999999999999,0.11666666666666667,0.11666666666666667,0.006381664663193647,4272,1.0
19,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_2,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.01667416666666665,4272,1.0
20,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_3,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.01667416666666747,4272,1.0
21,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_1,0.0625,0.10416666666666669,0.10416666666666669,0.024013174591272394,4272,1.0
22,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_2,0.08928571428571427,0.14285714285714285,0.14285714285714285,0.0178646428571432,4272,1.0
23,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_3,0.11666666666666667,0.25,0.25,0.017356570780090758,4272,1.0
24,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_1,0.2678571428571429,0.3214285714285714,0.3214285714285714,0.06749971263381489,4272,1.0
25,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_2,0.053571428571428575,0.14285714285714285,0.14285714285714285,0.022707048733664623,4272,1.0
26,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_3,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.04223785776510834,4272,1.0
27,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_1,0.10416666666666666,0.125,0.125,0.03868324539300677,4272,1.0
28,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_2,0.0,0.016666666666666663,0.016666666666666663,0.0007099016637670726,4272,1.0
29,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_3,0.16666666666666669,0.35,0.35,0.061827844451776734,4272,1.0
30,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_1,0.024999999999999994,0.07500000000000001,0.07500000000000001,0.003214711350978412,4272,1.0
31,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_2,0.0625,0.125,0.125,0.020840833333333298,4272,1.0
32,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_3,0.10416666666666666,0.10416666666666666,0.10416666666666666,0.0979873466668666,4272,1.0
33,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_1,0.1,0.19999999999999998,0.19999999999999998,0.005574777208911643,4272,1.0
34,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_2,0.47916666666666674,0.6666666666666666,0.6666666666666666,0.08432697403285631,4272,1.0
35,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_3,0.2727272727272727,0.43181818181818177,0.43181818181818177,0.051523938515239356,4272,1.0
36,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_1,0.041666666666666685,0.25,0.25,0.011271260436352001,4272,1.0
37,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_2,0.019230769230769218,0.19230769230769232,0.19230769230769232,0.019537735424989877,4272,1.0
38,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_3,0.05769230769230768,0.11538461538461539,0.11538461538461539,0.01991573183290707,4272,1.0
39,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.010228569050332955,4272,1.0
40,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_2,0.0,0.0,0.0,1e-05,4272,1.0
41,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_3,0.35000000000000003,0.5,0.5,0.07849201111844337,4272,1.0
42,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,session_1,0.08333333333333334,0.10416666666666669,0.10416666666666669,0.0779108048114727,4272,1.0
43,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,session_2,0.1590909090909091,0.22727272727272727,0.22727272727272727,0.029044141290411017,4272,1.0
