,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_1,0.021276595744680882,0.17021276595744683,0.44680851063829785,0.050536293339985036,1317,1.0
1,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_1,0.0,0.31999999999999995,0.31999999999999995,0.04000000000008023,1317,1.0
2,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_1,0.32499999999999996,0.85,1.0,0.15000000000000324,1317,1.0
3,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_1,0.0,0.9333333333333333,0.9666666666666667,0.06666666666666987,1317,1.0
4,Single Session,Open Set,COG-BCI Flanker,siamese,17,session_1,0.0,0.0,0.0,0.0001,1317,1.0
5,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_1,0.4444444444444444,1.0,1.0,0.15053763440860216,1317,1.0
6,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_1,0.5490196078431373,0.9215686274509804,1.0,0.23073469998503668,1317,1.0
7,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_1,0.8723404255319149,1.0,1.0,0.38297872340425515,1317,1.0
8,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_1,0.0,0.0847457627118644,0.288135593220339,0.050847457627118606,1317,1.0
9,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_1,0.7234042553191489,1.0,1.0,0.3274935297630898,1317,1.0
10,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_1,0.2321428571428571,1.0,1.0,0.12590750870213824,1317,1.0
11,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_1,0.5263157894736843,1.0,1.0,0.2769751917903756,1317,1.0
12,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_1,0.9166666666666666,1.0,1.0,0.3121193970250574,1317,1.0
13,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_1,0.6666666666666667,0.9607843137254902,0.9607843137254902,0.31800743316149144,1317,1.0
14,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_1,0.631578947368421,0.8947368421052632,1.0,0.19866493972302482,1317,1.0
15,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_1,0.53125,1.0,1.0,0.13423690432581836,1317,1.0
16,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_1,0.543859649122807,0.9298245614035088,0.9649122807017544,0.2087758663674894,1317,1.0
17,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_1,0.2857142857142857,0.7678571428571428,0.8571428571428572,0.16059123139918108,1317,1.0
18,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_1,0.1063829787234043,0.276595744680851,0.6595744680851063,0.10638297872340427,1317,1.0
19,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_1,0.05769230769230771,0.8846153846153846,0.9230769230769231,0.09717549878426539,1317,1.0
20,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_1,0.0,0.45833333333333337,0.8333333333333334,0.0319498357718722,1317,1.0
21,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_1,0.0892857142857143,0.5,0.5,0.0988562904027847,1317,1.0
22,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_1,0.19148936170212771,0.8085106382978724,0.9574468085106383,0.1276595744677973,1317,1.0
23,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_1,0.0,0.6,0.7777777777777778,0.05632889288030734,1317,1.0
24,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_1,0.0,0.8823529411764706,0.8823529411764706,0.04802316293929713,1317,1.0
25,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_1,0.0,0.0,0.0,0.0001,1317,1.0
26,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_1,0.0,0.0,0.4772727272727273,0.003599605757464659,1317,1.0
27,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_1,0.6666666666666667,1.0,1.0,0.1673149810492719,1317,1.0
28,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_1,0.017857142857142905,0.2321428571428571,0.7678571428571428,0.025658876181004476,1317,1.0
29,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_2,0.02631578947368418,0.5,0.9473684210526316,0.05263157894736845,1459,1.0
30,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_2,0.018181818181818188,0.4181818181818182,0.4363636363636364,0.05848418539884623,1459,1.0
31,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_2,0.1568627450980392,0.6470588235294117,0.7254901960784313,0.12494388747568458,1459,1.0
32,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_2,0.0,0.0,0.0,0.0001,1459,1.0
33,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_2,0.0,0.8409090909090909,0.9090909090909091,0.0344987412867049,1459,1.0
34,Single Session,Open Set,COG-BCI Flanker,siamese,17,session_2,0.01754385964912286,0.5263157894736843,0.7894736842105263,0.0556013282400819,1459,1.0
35,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_2,0.01666666666666672,0.25,0.9166666666666666,0.06594137804837476,1459,1.0
36,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_2,0.0,0.09259259259259256,0.12962962962962965,0.03703703703703892,1459,1.0
37,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_2,0.0,0.01851851851851849,0.03703703703703709,0.01611459265890779,1459,1.0
38,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_2,0.0,0.0,0.05128205128205132,0.009264793783622235,1459,1.0
39,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_2,0.0,0.051724137931034475,0.08620689655172409,0.02296907626528786,1459,1.0
40,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_2,0.0,0.0,0.0,0.0001,1459,1.0
41,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_2,0.0,0.0,0.0,0.0001,1459,1.0
42,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_2,0.052631578947368474,0.29824561403508776,0.42105263157894735,0.07017543859648977,1459,1.0
43,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_2,0.36,0.92,1.0,0.1600000000000394,1459,1.0
44,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_2,0.30188679245283023,0.9622641509433962,1.0,0.13207547169811315,1459,1.0
45,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_2,0.016949152542372836,0.18644067796610164,0.6610169491525424,0.050847457627118675,1459,1.0
46,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_2,0.0,0.016949152542372836,0.05084745762711862,0.01694915254237268,1459,1.0
47,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_2,0.0,0.21052631578947367,0.26315789473684215,0.07406667997604312,1459,1.0
48,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_2,0.12962962962962965,0.7407407407407407,0.8518518518518519,0.11071321993434796,1459,1.0
49,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_2,0.045454545454545414,0.5227272727272727,0.6818181818181819,0.07975704470775664,1459,1.0
50,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_2,0.4385964912280702,0.9649122807017544,1.0,0.22046539379474941,1459,1.0
51,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_2,0.0,0.03389830508474578,0.06779661016949157,0.01694915254237268,1459,1.0
52,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_2,0.06666666666666665,0.4,0.8666666666666667,0.08486753480017963,1459,1.0
53,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_2,0.0,0.04255319148936165,0.1063829787234043,0.021276595744704207,1459,1.0
54,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_2,0.052631578947368474,0.14035087719298245,0.14035087719298245,0.05263157894736842,1459,1.0
55,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_2,0.0,0.0,0.0,0.0001,1459,1.0
56,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_2,0.0,0.0,0.0,0.0001,1459,1.0
57,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_2,0.32499999999999996,0.7,0.9,0.17499999999992774,1459,1.0
58,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_3,0.0,0.0,0.0,0.0001,1496,1.0
59,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_3,0.0,0.040000000000000036,0.56,0.031047865459249677,1496,1.0
60,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_3,0.06779661016949157,0.1694915254237288,0.2033898305084746,0.07347385166036986,1496,1.0
61,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_3,0.18918918918918914,0.6756756756756757,0.8918918918918919,0.11937026703866083,1496,1.0
62,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_3,0.0,0.0,0.16981132075471694,0.009450855551134103,1496,1.0
63,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_3,0.1333333333333333,0.8333333333333334,0.9166666666666666,0.10895715279848892,1496,1.0
64,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_3,0.0,0.0,0.0,0.0001,1496,1.0
65,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_3,0.0,0.8653846153846154,0.9615384615384616,0.07386533665835412,1496,1.0
66,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_3,0.02941176470588236,0.02941176470588236,0.02941176470588236,0.029411764705882342,1496,1.0
67,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_3,0.09999999999999998,0.25,0.4,0.09999999999999715,1496,1.0
68,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_3,0.0,0.6949152542372881,0.8305084745762712,0.07541854796819435,1496,1.0
69,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_3,0.019607843137254943,0.196078431372549,0.6274509803921569,0.05882352941180851,1496,1.0
70,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_3,0.0,0.01754385964912286,0.1228070175438597,0.01754385964911964,1496,1.0
71,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_3,0.0,0.625,0.75,0.021696383936010664,1496,1.0
72,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_3,0.6607142857142857,1.0,1.0,0.25,1496,1.0
73,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_3,0.07407407407407407,0.7037037037037037,0.9259259259259259,0.09435467783762218,1496,1.0
74,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_3,0.5666666666666667,0.8,1.0,0.1538743054862428,1496,1.0
75,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_3,0.0,0.0,0.3392857142857143,0.0031993769634334366,1496,1.0
76,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_3,0.2222222222222222,0.4222222222222223,0.4222222222222223,0.11929351893429128,1496,1.0
77,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_3,0.0,0.016949152542372836,0.11864406779661019,0.012726188108967985,1496,1.0
78,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_3,0.3571428571428571,0.9464285714285714,1.0,0.1614122327200398,1496,1.0
79,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_3,0.8809523809523809,1.0,1.0,0.3969724131062643,1496,1.0
80,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_3,0.1964285714285714,0.6964285714285714,0.8035714285714286,0.1285927399303829,1496,1.0
81,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_3,0.0,0.020000000000000018,0.06000000000000005,0.020000000000000042,1496,1.0
82,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_3,0.0,0.0,0.0,0.0001,1496,1.0
83,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_3,0.06779661016949157,0.864406779661017,0.8983050847457628,0.08859749713317047,1496,1.0
84,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_3,0.711864406779661,0.8983050847457628,0.8983050847457628,0.22033898305084743,1496,1.0
