,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.04999999999999999,0.04999999999999999,0.0023172918937295643,4272,0
1,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.19999999999999998,0.4,0.4,0.07928711415972761,4272,0
2,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.01785714285714285,0.08928571428571427,0.08928571428571427,0.009411276859008331,4272,0
3,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.0,0.053571428571428575,0.053571428571428575,0.0007774717677018509,4272,0
4,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.053571428571428575,0.07142857142857142,0.07142857142857142,0.02948063212845673,4272,0
5,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.0,0.0,0.0,1e-05,4272,0
6,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272,0
7,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.2666666666666667,0.31666666666666665,0.31666666666666665,0.034879117623537376,4272,0
8,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.0,0.0,1e-05,4272,0
9,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.0625,0.25,0.25,0.013231573964822463,4272,0
10,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.0357142857142857,0.08928571428571427,0.08928571428571427,0.022146683186029227,4272,0
11,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.0769230769230769,0.21153846153846154,0.21153846153846154,0.01270847498300204,4272,0
12,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.041666666666666685,0.08333333333333331,0.08333333333333331,0.029366770205277417,4272,0
13,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.15,0.2,0.2,0.027862242848137573,4272,0
