,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_1,0.12,0.4,0.64,0.12000000000000058,674,250
1,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_1,0.2272727272727273,0.8863636363636364,0.9545454545454546,0.1818181818181805,674,250
2,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_1,0.0535714285714286,0.0714285714285714,0.0714285714285714,0.05357142857142858,674,250
3,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_1,0.0,0.0,0.0,0.0001,674,250
4,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_1,0.0,0.033333333333333326,0.033333333333333326,0.03333333333333333,674,250
5,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_1,0.05555555555555558,0.16666666666666663,0.2222222222222222,0.05555555555555562,674,250
6,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_1,0.050000000000000044,0.19999999999999996,0.30000000000000004,0.07499999999957094,674,250
7,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_1,0.0,0.0,0.0,0.0001,674,250
8,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_1,0.0,0.0,0.0,0.0001,674,250
9,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_1,0.0,0.5277777777777778,0.6388888888888888,0.08263389288569145,674,250
10,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_1,0.2702702702702703,0.8918918918918919,0.8918918918918919,0.13634547512818807,674,250
11,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_1,0.33333333333333337,1.0,1.0,0.13493253373313344,674,250
12,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_1,0.5,1.0,1.0,0.21428571428568985,674,250
13,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_1,0.5,0.7916666666666666,0.8125,0.2083333333333507,674,250
14,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_1,0.7045454545454546,0.9090909090909091,0.9545454545454546,0.2719949402483273,674,250
15,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_1,0.16666666666666663,0.5,0.5,0.1666666666666666,674,250
16,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_1,0.4642857142857143,0.9285714285714286,0.9285714285714286,0.21428571428571427,674,250
17,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_1,0.6222222222222222,0.9555555555555556,0.9555555555555556,0.3111111111111111,674,250
18,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_1,0.5384615384615384,0.9487179487179487,1.0,0.15999203028491732,674,250
19,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_1,0.375,0.75,0.75,0.25,674,250
20,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_1,0.6136363636363636,0.9545454545454546,0.9545454545454546,0.2727272727269674,674,250
