,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_1,0.08510638297872342,0.5319148936170213,0.8297872340425532,0.08510638297872344,1317,0
1,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_1,0.12,0.72,0.84,0.12000000000019677,1317,0
2,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_1,0.22499999999999998,0.625,0.85,0.13738896097414913,1317,0
3,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_1,0.0,0.75,0.8333333333333334,0.056835177983846845,1317,0
4,Single Session,Open Set,COG-BCI Flanker,siamese,17,session_1,0.0,0.0,0.0,0.0001,1317,0
5,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_1,0.7111111111111111,0.9555555555555556,1.0,0.20067677546474771,1317,0
6,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_1,0.7058823529411764,0.9607843137254902,1.0,0.22709362062945784,1317,0
7,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_1,0.8936170212765957,1.0,1.0,0.3065896874377862,1317,0
8,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_1,0.016949152542372836,0.0847457627118644,0.10169491525423724,0.036388944124080336,1317,0
9,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_1,0.851063829787234,0.9574468085106383,0.9574468085106383,0.32751309553504615,1317,0
10,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_1,0.1607142857142857,0.8928571428571429,0.9642857142857143,0.1043682058442206,1317,0
11,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_1,0.6052631578947368,0.9473684210526316,1.0,0.23303776028693832,1317,0
12,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_1,0.8055555555555556,1.0,1.0,0.28192073475092344,1317,0
13,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_1,0.803921568627451,0.9607843137254902,0.9607843137254902,0.38159203980099504,1317,0
14,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_1,0.39473684210526316,0.7631578947368421,0.9473684210526316,0.15062886803753245,1317,0
15,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_1,0.40625,0.9375,1.0,0.130883381632857,1317,0
16,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_1,0.5263157894736843,0.8771929824561404,0.9649122807017544,0.18676382511479336,1317,0
17,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_1,0.4821428571428571,0.9285714285714286,0.9642857142857143,0.17512715667697218,1317,0
18,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_1,0.021276595744680882,0.23404255319148937,0.4042553191489362,0.06382978723404342,1317,0
19,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_1,0.038461538461538436,0.7307692307692308,0.7692307692307692,0.07919609989055816,1317,0
20,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_1,0.0,0.10416666666666663,0.6041666666666667,0.041666666666666664,1317,0
21,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_1,0.2142857142857143,0.4107142857142857,0.5357142857142857,0.14285714285709,1317,0
22,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_1,0.04255319148936165,0.8723404255319149,0.9574468085106383,0.07807433275130955,1317,0
23,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_1,0.0,0.7333333333333334,1.0,0.049264363224818586,1317,0
24,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_1,0.05882352941176472,0.6470588235294117,1.0,0.08017172523961662,1317,0
25,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_1,0.30000000000000004,0.6,0.7,0.15675891697472275,1317,0
26,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_1,0.0,0.022727272727272707,0.2727272727272727,0.02272727272729325,1317,0
27,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_1,0.7407407407407407,1.0,1.0,0.19277827514174875,1317,0
28,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_1,0.0,0.3214285714285714,0.6428571428571428,0.03666855222440356,1317,0
29,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_2,0.2894736842105263,0.8947368421052632,1.0,0.13848859752563308,1459,0
30,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_2,0.054545454545454564,0.38181818181818183,0.9636363636363636,0.05454545454545461,1459,0
31,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_2,0.27450980392156865,0.803921568627451,1.0,0.14109452736318406,1459,0
32,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_2,0.0,0.0,0.0,0.0001,1459,0
33,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_2,0.0,0.8636363636363636,0.8636363636363636,0.034495860496740395,1459,0
