,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,1,0.4226770630279402,0.6517218973359324,0.7319688109161794,0.12076809358311162,4272
1,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,2,0.5182980599647267,0.5612874779541447,0.5612874779541447,0.1400584991306023,4272
2,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,3,0.7965092816787732,0.936642453591606,0.9541969330104924,0.10890735277194326,4272
3,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,4,0.8784425451092117,0.9166666666666666,0.923076923076923,0.4448266136896162,4272
4,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,5,0.3517948717948718,0.5153846153846153,0.5762393162393162,0.09222385988146138,4272
5,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,6,0.6792156862745098,0.8396078431372548,0.8690196078431373,0.1581495544579412,4272
6,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,7,0.8637931034482759,0.9655172413793104,0.9712643678160919,0.25730566189481124,4272
7,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,8,0.7687631027253669,0.8176100628930817,0.8176100628930817,0.565100055251478,4272
8,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,9,0.8484848484848485,0.9515151515151515,0.9818181818181818,0.5386412111481766,4272
9,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,10,0.9604519774011299,1.0,1.0,0.16193331031843186,4272
10,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,11,0.6962962962962963,0.7777777777777778,0.7999999999999999,0.39371543187664093,4272
11,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,12,0.8780487804878049,0.9024390243902438,0.9430894308943089,0.30397846035421716,4272
12,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,13,0.869281045751634,0.9869281045751634,0.9869281045751634,0.37871403555104505,4272
13,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,14,0.8687901811805961,0.9943502824858758,0.9943502824858758,0.11784552713096076,4272
14,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,15,0.7830303030303031,0.8636363636363636,0.8939393939393939,0.29135641794003125,4272
15,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,16,0.9887005649717514,1.0,1.0,0.4935968320653738,4272
16,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,17,0.9684786906348596,1.0,1.0,0.4561780562893034,4272
17,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,18,0.8830409356725145,0.9707602339181287,0.9707602339181287,0.30463850511284707,4272
18,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,19,0.28728813559322036,0.6078154425612053,0.658662900188324,0.11176925388031972,4272
19,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,20,1.0,1.0,1.0,0.3984271320305824,4272
20,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,21,0.5785714285714286,0.7043650793650794,0.9047619047619048,0.1269189382358829,4272
21,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,22,0.7449257166771291,0.9141033689056289,0.9141033689056289,0.11541562935517428,4272
22,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,23,0.975839475839476,1.0,1.0,0.4621912577591952,4272
23,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,24,1.0,1.0,1.0,0.5029713228567797,4272
24,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,25,0.8811612364243943,0.9405806182121972,0.9465329991645781,0.29135298029406825,4272
25,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,26,0.3804597701149426,0.7726053639846744,0.8215697156971569,0.08148732477711092,4272
26,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,27,0.9684786906348596,1.0,1.0,0.4561780562893034,4272
27,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,28,0.9444444444444445,0.9603174603174603,0.9682539682539683,0.6071428571428591,4272
28,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,29,0.5606311375924087,0.6792452830188679,0.6855345911949685,0.1474788027596912,4272
29,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+LR,1,0.4366471734892788,0.8395061728395062,1.0,0.09486679662119202,4272
30,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+LR,2,0.34722222222222215,0.5861992945326279,0.6955612788050279,0.059964726631441624,4272
31,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+LR,3,0.6721146085552864,0.9532889426957224,0.9813518887811962,0.08260027440661079,4272
32,Multi Session,Close Set,COG-BCI Flanker,AR+PSD+LR,4,0.8717948717948718,0.9935897435897436,1.0,0.34930925199296986,4272
