,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,0.5097465886939571,0.6455490578297596,0.6455490578297596,0.15138222356186307,4272
1,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,0.48148148148148145,0.5123456790123456,0.5123456790123456,0.10753203205519989,4272
2,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,0.8848870056497175,0.9247376916868443,0.9247376916868443,0.15772024830028666,4272
3,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,0.8848528015194681,0.8910256410256411,0.8910256410256411,0.4732041548014112,4272
4,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,0.4649572649572649,0.502051282051282,0.502051282051282,0.12017966676163679,4272
5,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,0.6658823529411765,0.8333333333333334,0.8333333333333334,0.1684648625506345,4272
6,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,0.9367816091954023,0.9770114942528735,0.9770114942528735,0.3353400224806277,4272
7,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,0.8002096436058701,0.8127882599580714,0.8127882599580714,0.6052228799108382,4272
8,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,0.7333333333333334,0.7575757575757575,0.7575757575757575,0.6053918588574007,4272
9,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,0.9943502824858758,1.0,1.0,0.182661892437344,4272
10,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,0.7333333333333334,0.8962962962962964,0.8962962962962964,0.4165940319592712,4272
11,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,0.7073170731707318,0.7317073170731708,0.7317073170731708,0.3630054744433582,4272
12,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,0.7712418300653594,0.8823529411764706,0.8823529411764706,0.4235092931171845,4272
13,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,0.7991428014806156,0.9886031560490941,0.9886031560490941,0.15865526450794576,4272
14,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,0.7224242424242423,0.7651515151515151,0.7651515151515151,0.2690941561794911,4272
15,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,16,0.9943502824858758,1.0,1.0,0.5288212497768211,4272
16,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,17,0.8596491228070176,0.9532163742690059,0.9532163742690059,0.4585620350006421,4272
17,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,18,0.9473684210526315,1.0,1.0,0.3600044250144315,4272
18,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,19,0.31516007532956686,0.4877909400562932,0.489626551632748,0.10190844865533544,4272
19,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,20,0.9166666666666666,1.0,1.0,0.4736842105263584,4272
20,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,21,0.6805555555555557,0.8333333333333334,0.8333333333333334,0.16746504816956467,4272
21,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,22,0.7198158610587989,0.8616865453023644,0.8616865453023644,0.16853870701792553,4272
22,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,23,0.9696969696969697,1.0,1.0,0.44727636319564573,4272
23,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,24,1.0,1.0,1.0,0.4667249940889145,4272
24,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,25,0.9172932330827068,0.9644945697577277,0.9644945697577277,0.3393125528791001,4272
25,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,26,0.5306513409961685,0.7254789272030652,0.7254789272030652,0.11414960139395475,4272
26,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,27,0.7777777777777778,0.7836257309941521,0.7836257309941521,0.47919354837334494,4272
27,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,28,0.9523809523809524,0.9603174603174603,0.9603174603174603,0.6226190476190476,4272
28,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,29,0.6540880503144654,0.6918238993710691,0.6918238993710691,0.12561262365472356,4272
29,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+LR,1,0.9171539961013645,0.9753086419753086,0.9753086419753086,0.14635802878387266,4272
30,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+LR,2,0.6664462081128747,0.6664462081128747,0.6664462081128747,0.048116301893657336,4272
31,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+LR,3,0.5335956416464892,0.9428974979822438,0.9428974979822438,0.0911455196816892,4272
32,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+LR,4,0.9358974358974358,0.9935897435897436,0.9935897435897436,0.37559363971677845,4272
33,Multi Session,Open Set,COG-BCI Flanker,AR+PSD+LR,5,0.8020512820512821,0.8733333333333334,0.8733333333333334,0.16834812517546546,4272
