,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Open Set,COG-BCI Flanker,siamese,8,0.8554913294797688,0.9884393063583815,0.9884393063583815,0.13872832369947238,4272
1,Multi Session,Open Set,COG-BCI Flanker,siamese,10,0.9322033898305084,1.0,1.0,0.22844793164031305,4272
2,Multi Session,Open Set,COG-BCI Flanker,siamese,12,0.813953488372093,0.9767441860465116,0.9767441860465116,0.1475411473314158,4272
3,Multi Session,Open Set,COG-BCI Flanker,siamese,13,0.934640522875817,1.0,1.0,0.2825666621700616,4272
4,Multi Session,Open Set,COG-BCI Flanker,siamese,16,0.9830508474576272,1.0,1.0,0.4463276836158192,4272
5,Multi Session,Open Set,COG-BCI Flanker,siamese,21,0.07558139534883723,0.19767441860465118,0.19767441860465118,0.04069767441857756,4272
6,Multi Session,Open Set,COG-BCI Flanker,siamese,28,0.8790322580645161,0.9919354838709677,0.9919354838709677,0.5851180779724369,4272
7,Multi Session,Open Set,COG-BCI Flanker,siamese,6,0.9247311827956989,0.989247311827957,1.0,0.31949606362146826,4272
8,Multi Session,Open Set,COG-BCI Flanker,siamese,11,1.0,1.0,1.0,0.5362214632392593,4272
9,Multi Session,Open Set,COG-BCI Flanker,siamese,14,0.6647727272727273,0.9715909090909091,0.9715909090909091,0.15340909090909252,4272
10,Multi Session,Open Set,COG-BCI Flanker,siamese,18,0.8830409356725146,1.0,1.0,0.1617949485874014,4272
11,Multi Session,Open Set,COG-BCI Flanker,siamese,19,0.8426966292134832,0.9775280898876404,0.9775280898876404,0.19138169401182642,4272
12,Multi Session,Open Set,COG-BCI Flanker,siamese,20,0.8857142857142857,1.0,1.0,0.28571428571428564,4272
13,Multi Session,Open Set,COG-BCI Flanker,siamese,22,0.06976744186046513,0.40116279069767447,0.40116279069767447,0.03761567719200168,4272
14,Multi Session,Open Set,COG-BCI Flanker,siamese,25,0.9940828402366864,1.0,1.0,0.40938223784042804,4272
15,Multi Session,Open Set,COG-BCI Flanker,siamese,1,0.8767123287671232,0.9794520547945206,0.9794520547945206,0.3860602126915972,4272
16,Multi Session,Open Set,COG-BCI Flanker,siamese,2,0.9457831325301205,1.0,1.0,0.31880857696688714,4272
17,Multi Session,Open Set,COG-BCI Flanker,siamese,5,0.841726618705036,0.9712230215827338,0.9712230215827338,0.3915278593474702,4272
18,Multi Session,Open Set,COG-BCI Flanker,siamese,7,1.0,1.0,1.0,0.5449438202247191,4272
19,Multi Session,Open Set,COG-BCI Flanker,siamese,15,0.9652777777777778,0.9930555555555556,0.9930555555555556,0.5694444444444443,4272
20,Multi Session,Open Set,COG-BCI Flanker,siamese,17,0.9883040935672515,1.0,1.0,0.16959064327481033,4272
21,Multi Session,Open Set,COG-BCI Flanker,siamese,29,0.9938650306748467,1.0,1.0,0.4205487110880374,4272
22,Multi Session,Open Set,COG-BCI Flanker,siamese,3,0.9473684210526316,1.0,1.0,0.2046783625730958,4272
23,Multi Session,Open Set,COG-BCI Flanker,siamese,4,1.0,1.0,1.0,0.20253164556962022,4272
24,Multi Session,Open Set,COG-BCI Flanker,siamese,9,0.9401197604790419,1.0,1.0,0.31736526946125415,4272
25,Multi Session,Open Set,COG-BCI Flanker,siamese,23,0.9745762711864406,1.0,1.0,0.5338983050847459,4272
26,Multi Session,Open Set,COG-BCI Flanker,siamese,24,0.9931972789115646,1.0,1.0,0.46832624368422104,4272
27,Multi Session,Open Set,COG-BCI Flanker,siamese,26,0.7752808988764045,0.9606741573033708,0.9606741573033708,0.2274648309487651,4272
28,Multi Session,Open Set,COG-BCI Flanker,siamese,27,0.5029239766081872,0.8771929824561404,0.8771929824561404,0.08771929824561406,4272
