,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,1,session_1,0.024999999999999994,0.04999999999999999,0.04999999999999999,0.0076293140367366934,4272,1
1,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,1,session_2,0.14999999999999997,0.375,0.375,0.05462008419242268,4272,1
2,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,1,session_3,0.01785714285714285,0.0357142857142857,0.0357142857142857,0.004291942697449331,4272,1
3,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,4272,1
4,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,2,session_2,0.053571428571428575,0.3571428571428571,0.3571428571428571,0.010681477226074772,4272,1
5,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,2,session_3,0.0,0.07142857142857142,0.07142857142857142,0.002157322916857678,4272,1
6,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272,1
7,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,3,session_2,0.35,0.3833333333333333,0.3833333333333333,0.07101955796188535,4272,1
8,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,3,session_3,0.0,0.01785714285714285,0.01785714285714285,0.0006899112865327507,4272,1
9,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,4,session_1,0.28125,0.5625,0.5625,0.10768152479326457,4272,1
10,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,4,session_2,0.07142857142857145,0.19642857142857142,0.19642857142857142,0.01492571621907925,4272,1
11,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,4,session_3,0.05769230769230768,0.1346153846153846,0.1346153846153846,0.01923826923076923,4272,1
12,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,5,session_1,0.0,0.020833333333333343,0.020833333333333343,0.0016048242943276238,4272,1
13,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,5,session_2,0.175,0.22499999999999998,0.22499999999999998,0.0575423211910928,4272,1
14,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,5,session_3,0.11538461538461539,0.17307692307692304,0.17307692307692304,0.03282400277037677,4272,1
15,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,6,session_1,0.0,0.035714285714285726,0.035714285714285726,0.0007999524528528288,4272,1
16,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,6,session_2,0.035714285714285726,0.10714285714285715,0.10714285714285715,0.036409268464716975,4272,1
17,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,6,session_3,0.05555555555555558,0.08333333333333337,0.08333333333333337,0.025312975161987036,4272,1
18,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,7,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.010458536854840323,4272,1
19,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,7,session_2,0.11666666666666667,0.4,0.4,0.029042434409182687,4272,1
20,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,7,session_3,0.04999999999999999,0.08333333333333331,0.08333333333333331,0.051374807526948646,4272,1
21,Single Session,Open Set,COG-BCI Flanker,PSD+SVM,8,session_1,0.020833333333333343,0.020833333333333343,0.020833333333333343,0.02084083333333337,4272,1
