,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.013333333333333336,0.013333333333333336,0.0005562046362701607,4272
1,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.10472222222222223,0.2655555555555556,0.2655555555555556,0.05683567099353235,4272
2,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.016620879120879114,0.02582417582417581,0.02582417582417581,0.004656910759771449,4272
3,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,4272
4,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.039010989010989,0.09285714285714283,0.09285714285714283,0.022642694486044713,4272
5,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.01785714285714285,0.01785714285714285,0.01785714285714285,0.007552749064145725,4272
6,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272
7,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.0863095238095238,0.21749999999999997,0.21749999999999997,0.0306443775965812,4272
8,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.001785714285714285,0.001785714285714285,7.924096617439733e-05,4272
9,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.090625,0.253125,0.253125,0.04963793195536479,4272
10,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.022390109890109883,0.09958791208791208,0.09958791208791208,0.0064832442027236824,4272
11,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.05576923076923075,0.1173076923076923,0.1173076923076923,0.028879084118033315,4272
12,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.016856060606060614,0.025189393939393945,0.025189393939393945,0.0036331043282094287,4272
13,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.03555555555555555,0.11694444444444443,0.11694444444444443,0.029367924586167014,4272
14,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,5,session_3,0.002083333333333334,0.03846153846153846,0.03846153846153846,0.002359249800017493,4272
15,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,6,session_1,0.039285714285714285,0.039285714285714285,0.039285714285714285,0.039293214285714285,4272
16,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,6,session_2,0.08035714285714286,0.13571428571428573,0.13571428571428573,0.08064163028276838,4272
17,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,6,session_3,0.039930555555555566,0.09479166666666669,0.09479166666666669,0.030671816408846087,4272
18,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,7,session_1,0.024880952380952382,0.09892857142857144,0.09892857142857144,0.007782902162252284,4272
19,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,7,session_2,0.024047619047619043,0.029166666666666664,0.029166666666666664,0.01981570028018205,4272
20,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,7,session_3,0.016666666666666663,0.05666666666666666,0.05666666666666666,0.01799551079566218,4272
21,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,8,session_1,0.02196969696969698,0.02632575757575758,0.02632575757575758,0.021977196969696997,4272
22,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,8,session_2,0.020879120879120867,0.06085164835164834,0.06085164835164834,0.02045638155469868,4272
23,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,8,session_3,0.04999999999999999,0.1433333333333333,0.1433333333333333,0.019293079698998607,4272
24,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,9,session_1,0.13214285714285715,0.3071428571428571,0.3071428571428571,0.029656419110113484,4272
25,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,9,session_2,0.047527472527472525,0.13681318681318683,0.13681318681318683,0.012609447099386797,4272
26,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,9,session_3,0.06964285714285715,0.25892857142857145,0.25892857142857145,0.022968019466027657,4272
27,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,10,session_1,0.025757575757575767,0.034280303030303036,0.034280303030303036,0.02317473639982804,4272
28,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,10,session_2,0.0016666666666666663,0.008333333333333331,0.008333333333333331,0.0007948899404083429,4272
29,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,10,session_3,0.032261904761904756,0.062380952380952384,0.062380952380952384,0.019415667364670024,4272
30,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,11,session_1,0.0,0.019999999999999997,0.019999999999999997,0.0007134365107140356,4272
31,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,11,session_2,0.008901515151515155,0.03996212121212123,0.03996212121212123,0.003330659353964584,4272
32,Single Session,Close Set,COG-BCI Flanker,AR+PSD+SVM,11,session_3,0.08825757575757576,0.10587121212121212,0.10587121212121212,0.04562272786430769,4272
