,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_1,0.0,0.0,0.0,1e-05,4272
1,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_2,0.24999999999999997,0.32499999999999996,0.32499999999999996,0.09338862952196439,4272
2,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,1,session_3,0.053571428571428575,0.10714285714285712,0.10714285714285712,0.022631522187817645,4272
3,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_1,0.0,0.035714285714285726,0.035714285714285726,0.0007774538027718337,4272
4,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_2,0.07142857142857142,0.23214285714285712,0.23214285714285712,0.039251460976386446,4272
5,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,2,session_3,0.0,0.01785714285714285,0.01785714285714285,0.0006899112865327507,4272
6,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,4272
7,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_2,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.05956286784007533,4272
8,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,3,session_3,0.0,0.01785714285714285,0.01785714285714285,0.0006899112865327507,4272
9,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_1,0.09375,0.375,0.375,0.0960724612923119,4272
10,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_2,0.10714285714285715,0.12500000000000003,0.12500000000000003,0.026323737313144552,4272
11,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,4,session_3,0.19230769230769226,0.2692307692307692,0.2692307692307692,0.043710331683355884,4272
12,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_1,0.020833333333333343,0.020833333333333343,0.020833333333333343,0.009153993885672578,4272
13,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_2,0.15,0.15,0.15,0.05000499999999457,4272
14,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,5,session_3,0.019230769230769218,0.019230769230769218,0.019230769230769218,0.00476442916849978,4272
15,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_1,0.035714285714285726,0.035714285714285726,0.035714285714285726,0.03572178571428574,4272
16,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_2,0.07142857142857145,0.1785714285714286,0.1785714285714286,0.041261477032202926,4272
17,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,6,session_3,0.16666666666666669,0.19444444444444445,0.19444444444444445,0.08733301335893182,4272
18,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_1,0.15,0.15,0.15,0.01667416666666664,4272
19,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_2,0.016666666666666663,0.06666666666666665,0.06666666666666665,0.01811907258528194,4272
20,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,7,session_3,0.0,0.016666666666666663,0.016666666666666663,0.0013823075269462275,4272
21,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_1,0.10416666666666669,0.125,0.125,0.027187634910159922,4272
22,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_2,0.05357142857142855,0.10714285714285712,0.10714285714285712,0.03989624238491921,4272
23,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,8,session_3,0.19999999999999998,0.3,0.3,0.034808289021517905,4272
24,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_1,0.25,0.26785714285714285,0.26785714285714285,0.04307332968856906,4272
25,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_2,0.16071428571428573,0.25,0.25,0.027023451562011216,4272
26,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,9,session_3,0.25,0.2857142857142857,0.2857142857142857,0.03134592535470389,4272
27,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_1,0.1875,0.27083333333333337,0.27083333333333337,0.0622537773594905,4272
28,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_2,0.033333333333333326,0.04999999999999999,0.04999999999999999,0.005666707360969464,4272
29,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,10,session_3,0.016666666666666663,0.21666666666666667,0.21666666666666667,0.013798068620393147,4272
30,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_1,0.024999999999999994,0.15,0.15,0.0072193509334159914,4272
31,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_2,0.08333333333333334,0.16666666666666669,0.16666666666666669,0.020840833333362896,4272
32,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,11,session_3,0.125,0.18750000000000003,0.18750000000000003,0.07608600553945175,4272
33,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_1,0.09999999999999998,0.14999999999999997,0.14999999999999997,0.08944092246317915,4272
34,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_2,0.41666666666666663,0.6458333333333333,0.6458333333333333,0.0690911499735325,4272
35,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,12,session_3,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.054073362378245324,4272
36,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_1,0.08333333333333334,0.3125,0.3125,0.03029166791652918,4272
37,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_2,0.1346153846153846,0.21153846153846154,0.21153846153846154,0.044029780207592385,4272
38,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,13,session_3,0.038461538461538436,0.15384615384615383,0.15384615384615383,0.023102228332600085,4272
39,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.005746696512488251,4272
40,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_2,0.0,0.016666666666666663,0.016666666666666663,0.0007323985142080109,4272
41,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,14,session_3,0.3666666666666667,0.5333333333333333,0.5333333333333333,0.08736652208793655,4272
42,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,session_1,0.14583333333333334,0.14583333333333334,0.14583333333333334,0.06935924548305597,4272
43,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,session_2,0.04545454545454544,0.20454545454545456,0.20454545454545456,0.016653388259751396,4272
44,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,15,session_3,0.09615384615384615,0.17307692307692307,0.17307692307692307,0.021952943169896533,4272
45,Single Session,Open Set,COG-BCI Flanker,AR+PSD+SVM,16,session_1,0.0,0.0,0.0,1e-05,4272
