,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,COG-BCI Flanker,siamese,1,session_1,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.11111111111111123,1317
1,Single Session,Close Set,COG-BCI Flanker,siamese,2,session_1,0.2857142857142857,0.3571428571428571,0.3571428571428571,0.07142857142824806,1317
2,Single Session,Close Set,COG-BCI Flanker,siamese,3,session_1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.14510774461276937,1317
3,Single Session,Close Set,COG-BCI Flanker,siamese,4,session_1,0.75,1.0,1.0,0.15264931454798164,1317
4,Single Session,Close Set,COG-BCI Flanker,siamese,5,session_1,0.08333333333333337,0.16666666666666663,0.16666666666666663,0.08333333333345158,1317
5,Single Session,Close Set,COG-BCI Flanker,siamese,6,session_1,0.5,0.5,0.5,0.0247695046099078,1317
6,Single Session,Close Set,COG-BCI Flanker,siamese,7,session_1,0.3571428571428571,0.8571428571428572,0.8571428571428572,0.06666133402657655,1317
7,Single Session,Close Set,COG-BCI Flanker,siamese,8,session_1,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.09090909090906933,1317
8,Single Session,Close Set,COG-BCI Flanker,siamese,9,session_1,0.2142857142857143,0.3571428571428571,0.3571428571428571,0.03492871928029306,1317
9,Single Session,Close Set,COG-BCI Flanker,siamese,10,session_1,0.9166666666666666,1.0,1.0,0.16666666666666666,1317
10,Single Session,Close Set,COG-BCI Flanker,siamese,11,session_1,0.7,0.9,0.9,0.065834074933256,1317
11,Single Session,Close Set,COG-BCI Flanker,siamese,12,session_1,1.0,1.0,1.0,0.06461935380646193,1317
12,Single Session,Close Set,COG-BCI Flanker,siamese,13,session_1,0.33333333333333337,0.9166666666666666,0.9166666666666666,0.08333333333333319,1317
13,Single Session,Close Set,COG-BCI Flanker,siamese,14,session_1,0.0,0.0,0.0,1e-05,1317
14,Single Session,Close Set,COG-BCI Flanker,siamese,15,session_1,1.0,1.0,1.0,0.19558848526662068,1317
15,Single Session,Close Set,COG-BCI Flanker,siamese,16,session_1,1.0,1.0,1.0,0.1333333333333331,1317
16,Single Session,Close Set,COG-BCI Flanker,siamese,17,session_1,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.044444222251107356,1317
17,Single Session,Close Set,COG-BCI Flanker,siamese,18,session_1,0.5,0.5714285714285714,0.5714285714285714,0.04761381020467339,1317
18,Single Session,Close Set,COG-BCI Flanker,siamese,19,session_1,0.4444444444444444,0.8888888888888888,0.8888888888888888,0.1125009999200064,1317
19,Single Session,Close Set,COG-BCI Flanker,siamese,20,session_1,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.02760944781104378,1317
20,Single Session,Close Set,COG-BCI Flanker,siamese,21,session_1,0.46153846153846156,0.9230769230769231,0.9230769230769231,0.12341519017717874,1317
21,Single Session,Close Set,COG-BCI Flanker,siamese,22,session_1,0.6363636363636364,0.8181818181818181,0.8181818181818181,0.10062731660489053,1317
22,Single Session,Close Set,COG-BCI Flanker,siamese,23,session_1,1.0,1.0,1.0,0.0999920006399488,1317
23,Single Session,Close Set,COG-BCI Flanker,siamese,24,session_1,0.0,0.4545454545454546,0.4545454545454546,0.0031499622004535948,1317
24,Single Session,Close Set,COG-BCI Flanker,siamese,25,session_1,0.8461538461538461,0.9756920646129538,0.9975692064612954,0.15384615384615621,1317
25,Single Session,Close Set,COG-BCI Flanker,siamese,26,session_1,1.0,1.0,1.0,0.19936903470309134,1317
26,Single Session,Close Set,COG-BCI Flanker,siamese,27,session_1,0.7142857142857143,1.0,1.0,0.041268486822149855,1317
27,Single Session,Close Set,COG-BCI Flanker,siamese,28,session_1,0.9230769230769231,0.9756920646129538,0.9975692064612954,0.23076923076923084,1317
28,Single Session,Close Set,COG-BCI Flanker,siamese,29,session_1,0.8333333333333334,1.0,1.0,0.17035126136125026,1317
29,Single Session,Close Set,COG-BCI Flanker,siamese,1,session_2,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.22222222222229424,1459
30,Single Session,Close Set,COG-BCI Flanker,siamese,2,session_2,0.0714285714285714,0.1428571428571429,0.1428571428571429,0.05714257146570945,1459
31,Single Session,Close Set,COG-BCI Flanker,siamese,3,session_2,0.0,0.5,0.5,0.0028599714002859973,1459
32,Single Session,Close Set,COG-BCI Flanker,siamese,4,session_2,0.1428571428571429,0.2142857142857143,0.2142857142857143,0.042854428924239844,1459
33,Single Session,Close Set,COG-BCI Flanker,siamese,5,session_2,0.5,1.0,1.0,0.10000000000000266,1459
34,Single Session,Close Set,COG-BCI Flanker,siamese,6,session_2,0.16666666666666663,0.8333333333333334,0.8333333333333334,0.08659567021648917,1459
35,Single Session,Close Set,COG-BCI Flanker,siamese,7,session_2,0.0,0.1428571428571429,0.1428571428571429,0.0057192564966554345,1459
36,Single Session,Close Set,COG-BCI Flanker,siamese,8,session_2,0.5714285714285714,0.8571428571428572,0.8571428571428572,0.08285922830032096,1459
37,Single Session,Close Set,COG-BCI Flanker,siamese,9,session_2,0.46153846153846156,0.6923076923076923,0.6923076923076923,0.07693076830780306,1459
38,Single Session,Close Set,COG-BCI Flanker,siamese,10,session_2,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.07449957006019158,1459
39,Single Session,Close Set,COG-BCI Flanker,siamese,11,session_2,0.5454545454545454,0.9090909090909091,0.9090909090909091,0.08498150184981502,1459
40,Single Session,Close Set,COG-BCI Flanker,siamese,12,session_2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.08333333333333319,1459
41,Single Session,Close Set,COG-BCI Flanker,siamese,13,session_2,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.07693076830780306,1459
42,Single Session,Close Set,COG-BCI Flanker,siamese,14,session_2,0.0,0.0,0.0,1e-05,1459
43,Single Session,Close Set,COG-BCI Flanker,siamese,15,session_2,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.09090909090909101,1459
44,Single Session,Close Set,COG-BCI Flanker,siamese,16,session_2,0.4666666666666667,0.6,0.6,0.06666666666666655,1459
45,Single Session,Close Set,COG-BCI Flanker,siamese,17,session_2,0.7142857142857143,1.0,1.0,0.08571885654864868,1459
46,Single Session,Close Set,COG-BCI Flanker,siamese,18,session_2,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.04871318015477833,1459
47,Single Session,Close Set,COG-BCI Flanker,siamese,19,session_2,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.1999999999999999,1459
48,Single Session,Close Set,COG-BCI Flanker,siamese,20,session_2,0.0,0.0,0.0,1e-05,1459
49,Single Session,Close Set,COG-BCI Flanker,siamese,21,session_2,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.11747863418796582,1459
50,Single Session,Close Set,COG-BCI Flanker,siamese,22,session_2,0.5,0.7142857142857143,0.7142857142857143,0.04857368542089528,1459
51,Single Session,Close Set,COG-BCI Flanker,siamese,23,session_2,1.0,1.0,1.0,0.32577742225777423,1459
52,Single Session,Close Set,COG-BCI Flanker,siamese,24,session_2,0.19999999999999996,0.4,0.4,0.011299548018079277,1459
53,Single Session,Close Set,COG-BCI Flanker,siamese,25,session_2,0.3571428571428571,0.6428571428571428,0.6428571428571428,0.05999220101386819,1459
