,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_1,0.7659574468085106,1.0,1.0,0.1227473818390862,1317
1,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_1,0.6,0.6,0.6,0.079999999999963,1317
2,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_1,0.65,0.8,0.8,0.1500000000001422,1317
3,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_1,0.75,0.9333333333333333,0.9333333333333333,0.0833308348074636,1317
4,Single Session,Open Set,COG-BCI Flanker,siamese,17,session_1,0.0,0.0,0.0,1e-05,1317
5,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_1,1.0,1.0,1.0,0.20429607634358612,1317
6,Single Session,Open Set,COG-BCI Flanker,siamese,28,session_1,1.0,1.0,1.0,0.24908897320156562,1317
7,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_1,0.8723404255319149,1.0,1.0,0.34042553191489366,1317
8,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_1,0.0,0.0,0.0,1e-05,1317
9,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_1,1.0,1.0,1.0,0.41462670899047716,1317
10,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_1,1.0,1.0,1.0,0.20143881295431593,1317
11,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_1,1.0,1.0,1.0,0.34121685803322943,1317
12,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_1,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.2315506363918134,1317
13,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_1,0.9607843137254902,1.0,1.0,0.45229918669925867,1317
14,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_1,1.0,1.0,1.0,0.2637025680337294,1317
15,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_1,1.0,1.0,1.0,0.1476442302886105,1317
16,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_1,1.0,1.0,1.0,0.1831474374350364,1317
17,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.18247963620008995,1317
18,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_1,0.3191489361702128,0.4042553191489362,0.4042553191489362,0.08510638297912763,1317
19,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_1,0.5769230769230769,0.8653846153846154,0.8653846153846154,0.09712746918003393,1317
20,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_1,0.7708333333333334,0.875,0.875,0.10639085038686673,1317
21,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_1,0.8035714285714286,1.0,1.0,0.10622631889389865,1317
22,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_1,0.7872340425531915,0.8297872340425532,0.8297872340425532,0.0851108500587368,1317
23,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_1,0.6222222222222222,0.9111111111111111,0.9111111111111111,0.04225140937987285,1317
24,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_1,1.0,1.0,1.0,0.09935410334346503,1317
25,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_1,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.07209351158395744,1317
26,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_1,0.0,0.0,0.0,1e-05,1317
27,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_1,1.0,1.0,1.0,0.20727909011373577,1317
28,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_1,0.017857142857142905,0.0714285714285714,0.0714285714285714,0.01785714285713068,1317
29,Single Session,Open Set,COG-BCI Flanker,siamese,1,session_2,0.5,0.8421052631578947,0.8421052631578947,0.10526315789467,1459
30,Single Session,Open Set,COG-BCI Flanker,siamese,9,session_2,0.8,0.8909090909090909,0.8909090909090909,0.07468047823902452,1459
31,Single Session,Open Set,COG-BCI Flanker,siamese,13,session_2,0.9607843137254902,1.0,1.0,0.16345686842541327,1459
32,Single Session,Open Set,COG-BCI Flanker,siamese,14,session_2,0.0,0.0,0.0,1e-05,1459
33,Single Session,Open Set,COG-BCI Flanker,siamese,15,session_2,0.36363636363636365,0.43181818181818177,0.43181818181818177,0.04075247643513289,1459
34,Single Session,Open Set,COG-BCI Flanker,siamese,17,session_2,0.01754385964912286,0.08771929824561409,0.08771929824561409,0.01754385964911964,1459
35,Single Session,Open Set,COG-BCI Flanker,siamese,19,session_2,0.43333333333333335,0.75,0.75,0.0891074266182952,1459
36,Single Session,Open Set,COG-BCI Flanker,siamese,2,session_2,0.8148148148148149,0.8148148148148149,0.8148148148148149,0.2006478315637934,1459
37,Single Session,Open Set,COG-BCI Flanker,siamese,4,session_2,0.35185185185185186,0.40740740740740744,0.40740740740740744,0.0711922680979081,1459
38,Single Session,Open Set,COG-BCI Flanker,siamese,5,session_2,0.23076923076923073,0.2564102564102564,0.2564102564102564,0.05128205128205133,1459
39,Single Session,Open Set,COG-BCI Flanker,siamese,7,session_2,0.4137931034482759,0.6379310344827587,0.6379310344827587,0.05901998568675711,1459
40,Single Session,Open Set,COG-BCI Flanker,siamese,21,session_2,0.0,0.0,0.0,1e-05,1459
41,Single Session,Open Set,COG-BCI Flanker,siamese,24,session_2,0.0,0.0,0.0,1e-05,1459
42,Single Session,Open Set,COG-BCI Flanker,siamese,29,session_2,0.14035087719298245,0.21052631578947367,0.21052631578947367,0.05882705684816503,1459
43,Single Session,Open Set,COG-BCI Flanker,siamese,6,session_2,0.92,1.0,1.0,0.1739139129797148,1459
44,Single Session,Open Set,COG-BCI Flanker,siamese,8,session_2,0.8679245283018868,1.0,1.0,0.1320754716981127,1459
45,Single Session,Open Set,COG-BCI Flanker,siamese,10,session_2,0.03389830508474578,0.06779661016949157,0.06779661016949157,0.03389830508474575,1459
46,Single Session,Open Set,COG-BCI Flanker,siamese,16,session_2,0.0,0.03389830508474578,0.03389830508474578,0.003219082561469981,1459
47,Single Session,Open Set,COG-BCI Flanker,siamese,20,session_2,0.26315789473684215,0.3157894736842105,0.3157894736842105,0.06267871783079046,1459
48,Single Session,Open Set,COG-BCI Flanker,siamese,22,session_2,0.6296296296296297,0.7407407407407407,0.7407407407407407,0.11111111111113751,1459
49,Single Session,Open Set,COG-BCI Flanker,siamese,23,session_2,0.7045454545454546,0.9545454545454546,0.9545454545454546,0.15030536869146266,1459
50,Single Session,Open Set,COG-BCI Flanker,siamese,25,session_2,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.23002952108845579,1459
51,Single Session,Open Set,COG-BCI Flanker,siamese,3,session_2,0.016949152542372836,0.11864406779661019,0.11864406779661019,0.01694915254237268,1459
52,Single Session,Open Set,COG-BCI Flanker,siamese,11,session_2,0.3555555555555555,0.8222222222222222,0.8222222222222222,0.13207188836911757,1459
53,Single Session,Open Set,COG-BCI Flanker,siamese,12,session_2,0.46808510638297873,0.6382978723404256,0.6382978723404256,0.08510638297881,1459
54,Single Session,Open Set,COG-BCI Flanker,siamese,18,session_2,0.21052631578947367,0.5964912280701755,0.5964912280701755,0.05263157894736845,1459
55,Single Session,Open Set,COG-BCI Flanker,siamese,26,session_2,0.017241379310344862,0.051724137931034475,0.051724137931034475,0.017241379310344092,1459
56,Single Session,Open Set,COG-BCI Flanker,siamese,27,session_2,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.026145358599184456,1459
