,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,erpcore n400,AR+PSD+SVM,1,session_1,0.2833333333333333,0.6,0.6,0.051575020217540714,2400,1
1,Single Session,Open Set,erpcore n400,AR+PSD+SVM,2,session_1,0.033333333333333326,0.2,0.2,0.017506612395194295,2400,1
2,Single Session,Open Set,erpcore n400,AR+PSD+SVM,3,session_1,0.08333333333333331,0.30000000000000004,0.30000000000000004,0.050834883116363624,2400,1
3,Single Session,Open Set,erpcore n400,AR+PSD+SVM,4,session_1,0.04999999999999999,0.1,0.1,0.005421741656168136,2400,1
4,Single Session,Open Set,erpcore n400,AR+PSD+SVM,5,session_1,0.0,0.06666666666666665,0.06666666666666665,0.002507149699042134,2400,1
5,Single Session,Open Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400,1
6,Single Session,Open Set,erpcore n400,AR+PSD+SVM,7,session_1,0.06666666666666665,0.13333333333333333,0.13333333333333333,0.017687523746675465,2400,1
7,Single Session,Open Set,erpcore n400,AR+PSD+SVM,8,session_1,0.09999999999999998,0.41666666666666663,0.41666666666666663,0.054584358189853396,2400,1
8,Single Session,Open Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.016666666666666663,0.016666666666666663,0.0008423831163637091,2400,1
9,Single Session,Open Set,erpcore n400,AR+PSD+SVM,10,session_1,0.18333333333333332,0.3666666666666667,0.3666666666666667,0.09041684164217476,2400,1
10,Single Session,Open Set,erpcore n400,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,2400,1
11,Single Session,Open Set,erpcore n400,AR+PSD+SVM,12,session_1,0.04999999999999999,0.18333333333333335,0.18333333333333335,0.005469287310837929,2400,1
12,Single Session,Open Set,erpcore n400,AR+PSD+SVM,13,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04500170011198427,2400,1
13,Single Session,Open Set,erpcore n400,AR+PSD+SVM,14,session_1,0.033333333333333326,0.04999999999999999,0.04999999999999999,0.033338333333333296,2400,1
14,Single Session,Open Set,erpcore n400,AR+PSD+SVM,15,session_1,0.08333333333333331,0.31666666666666665,0.31666666666666665,0.04541514188014145,2400,1
15,Single Session,Open Set,erpcore n400,AR+PSD+SVM,16,session_1,0.016666666666666663,0.04999999999999999,0.04999999999999999,0.012640730647709321,2400,1
16,Single Session,Open Set,erpcore n400,AR+PSD+SVM,17,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.05000250000000463,2400,1
17,Single Session,Open Set,erpcore n400,AR+PSD+SVM,18,session_1,0.1,0.25,0.25,0.02296928465014898,2400,1
18,Single Session,Open Set,erpcore n400,AR+PSD+SVM,19,session_1,0.0,0.016666666666666663,0.016666666666666663,0.0008423831163637091,2400,1
19,Single Session,Open Set,erpcore n400,AR+PSD+SVM,20,session_1,0.016666666666666663,0.18333333333333332,0.18333333333333332,0.006254124772531846,2400,1
20,Single Session,Open Set,erpcore n400,AR+PSD+SVM,21,session_1,0.14999999999999997,0.35000000000000003,0.35000000000000003,0.06814636582487398,2400,1
21,Single Session,Open Set,erpcore n400,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,2400,1
22,Single Session,Open Set,erpcore n400,AR+PSD+SVM,23,session_1,0.04999999999999999,0.11666666666666664,0.11666666666666664,0.05083488311636612,2400,1
23,Single Session,Open Set,erpcore n400,AR+PSD+SVM,24,session_1,0.19999999999999998,0.33333333333333337,0.33333333333333337,0.06393761124286375,2400,1
24,Single Session,Open Set,erpcore n400,AR+PSD+SVM,25,session_1,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.019913712780210757,2400,1
25,Single Session,Open Set,erpcore n400,AR+PSD+SVM,26,session_1,0.26666666666666666,0.4833333333333334,0.4833333333333334,0.05074039634451177,2400,1
