,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,erpcore n400,AR+PSD+SVM,1,session_1,0.2833333333333333,0.4666666666666667,0.4666666666666667,0.05166707915110358,2400,1.0
1,Single Session,Open Set,erpcore n400,AR+PSD+SVM,2,session_1,0.06666666666666665,0.19999999999999998,0.19999999999999998,0.02255084323194751,2400,1.0
2,Single Session,Open Set,erpcore n400,AR+PSD+SVM,3,session_1,0.08333333333333331,0.3333333333333333,0.3333333333333333,0.037363883863384045,2400,1.0
3,Single Session,Open Set,erpcore n400,AR+PSD+SVM,4,session_1,0.033333333333333326,0.16666666666666666,0.16666666666666666,0.011948514883217454,2400,1.0
4,Single Session,Open Set,erpcore n400,AR+PSD+SVM,5,session_1,0.06666666666666665,0.15,0.15,0.02167096641470191,2400,1.0
5,Single Session,Open Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400,1.0
6,Single Session,Open Set,erpcore n400,AR+PSD+SVM,7,session_1,0.0,0.04999999999999999,0.04999999999999999,0.0012573246745455635,2400,1.0
7,Single Session,Open Set,erpcore n400,AR+PSD+SVM,8,session_1,0.06666666666666665,0.30000000000000004,0.30000000000000004,0.04879722418749775,2400,1.0
8,Single Session,Open Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,2400,1.0
9,Single Session,Open Set,erpcore n400,AR+PSD+SVM,10,session_1,0.13333333333333333,0.4666666666666666,0.4666666666666666,0.08083187102587432,2400,1.0
10,Single Session,Open Set,erpcore n400,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,2400,1.0
11,Single Session,Open Set,erpcore n400,AR+PSD+SVM,12,session_1,0.06666666666666668,0.13333333333333333,0.13333333333333333,0.007136501589777431,2400,1.0
12,Single Session,Open Set,erpcore n400,AR+PSD+SVM,13,session_1,0.016666666666666663,0.06666666666666665,0.06666666666666665,0.01833643324934508,2400,1.0
13,Single Session,Open Set,erpcore n400,AR+PSD+SVM,14,session_1,0.0,0.016666666666666663,0.016666666666666663,0.0008423831163637091,2400,1.0
14,Single Session,Open Set,erpcore n400,AR+PSD+SVM,15,session_1,0.1,0.35,0.35,0.04328959582142207,2400,1.0
15,Single Session,Open Set,erpcore n400,AR+PSD+SVM,16,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.05000249999999992,2400,1.0
16,Single Session,Open Set,erpcore n400,AR+PSD+SVM,17,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.007506450146979422,2400,1.0
17,Single Session,Open Set,erpcore n400,AR+PSD+SVM,18,session_1,0.1333333333333333,0.31666666666666665,0.31666666666666665,0.06768602395664769,2400,1.0
18,Single Session,Open Set,erpcore n400,AR+PSD+SVM,19,session_1,0.0,0.033333333333333326,0.033333333333333326,0.0018122469854220408,2400,1.0
19,Single Session,Open Set,erpcore n400,AR+PSD+SVM,20,session_1,0.08333333333333331,0.16666666666666666,0.16666666666666666,0.06666666666667129,2400,1.0
20,Single Session,Open Set,erpcore n400,AR+PSD+SVM,21,session_1,0.06666666666666665,0.3833333333333333,0.3833333333333333,0.01926071675279316,2400,1.0
21,Single Session,Open Set,erpcore n400,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,2400,1.0
22,Single Session,Open Set,erpcore n400,AR+PSD+SVM,23,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.03333833333333881,2400,1.0
23,Single Session,Open Set,erpcore n400,AR+PSD+SVM,24,session_1,0.09999999999999998,0.2833333333333333,0.2833333333333333,0.06666516687663718,2400,1.0
24,Single Session,Open Set,erpcore n400,AR+PSD+SVM,25,session_1,0.04999999999999999,0.08333333333333331,0.08333333333333331,0.02088207685923971,2400,1.0
25,Single Session,Open Set,erpcore n400,AR+PSD+SVM,26,session_1,0.33333333333333337,0.5333333333333334,0.5333333333333334,0.08250044993700878,2400,1.0
26,Single Session,Open Set,erpcore n400,AR+PSD+SVM,27,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.0037119813726078353,2400,1.0
27,Single Session,Open Set,erpcore n400,AR+PSD+SVM,28,session_1,0.033333333333333326,0.18333333333333335,0.18333333333333335,0.017177689217416206,2400,1.0
28,Single Session,Open Set,erpcore n400,AR+PSD+SVM,29,session_1,0.08333333333333331,0.11666666666666667,0.11666666666666667,0.05324454611354876,2400,1.0
29,Single Session,Open Set,erpcore n400,AR+PSD+SVM,30,session_1,0.06666666666666665,0.1,0.1,0.0237531749055132,2400,1.0
30,Single Session,Open Set,erpcore n400,AR+PSD+SVM,31,session_1,0.033333333333333326,0.04999999999999999,0.04999999999999999,0.03380326824244605,2400,1.0
31,Single Session,Open Set,erpcore n400,AR+PSD+SVM,32,session_1,0.2833333333333333,0.41666666666666663,0.41666666666666663,0.035417541894134826,2400,1.0
32,Single Session,Open Set,erpcore n400,AR+PSD+SVM,33,session_1,0.0,0.0,0.0,1e-05,2400,1.0
33,Single Session,Open Set,erpcore n400,AR+PSD+SVM,34,session_1,0.0,0.0,0.0,1e-05,2400,1.0
34,Single Session,Open Set,erpcore n400,AR+PSD+SVM,35,session_1,0.3833333333333333,0.55,0.55,0.05833083368328433,2400,1.0
35,Single Session,Open Set,erpcore n400,AR+PSD+SVM,36,session_1,0.0,0.0,0.0,1e-05,2400,1.0
