,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,erpcore n400,siamese,4,session_1,0.0,0.01666666666666672,0.033333333333333326,0.016602047917288,2400,1.0
1,Single Session,Open Set,erpcore n400,siamese,8,session_1,0.0,0.06666666666666665,0.55,0.04075951883885078,2400,1.0
2,Single Session,Open Set,erpcore n400,siamese,12,session_1,0.0,0.01666666666666672,0.01666666666666672,0.016666666666712526,2400,1.0
3,Single Session,Open Set,erpcore n400,siamese,16,session_1,0.0,0.01666666666666672,0.09999999999999998,0.011134307585247043,2400,1.0
4,Single Session,Open Set,erpcore n400,siamese,20,session_1,0.0,0.01666666666666672,0.01666666666666672,0.016666666666712526,2400,1.0
5,Single Session,Open Set,erpcore n400,siamese,25,session_1,0.0,0.01666666666666672,0.1166666666666667,0.016666666666712526,2400,1.0
6,Single Session,Open Set,erpcore n400,siamese,29,session_1,0.0,0.06666666666666665,0.15000000000000002,0.03333333333333333,2400,1.0
7,Single Session,Open Set,erpcore n400,siamese,33,session_1,0.0,0.0,0.0,0.0001,2400,1.0
8,Single Session,Open Set,erpcore n400,siamese,37,session_1,0.0,0.01666666666666672,0.43333333333333335,0.01666666666666666,2400,1.0
9,Single Session,Open Set,erpcore n400,siamese,40,session_1,0.0,0.01666666666666672,0.050000000000000044,0.016666666666712526,2400,1.0
10,Single Session,Open Set,erpcore n400,siamese,3,session_1,0.0,0.0,0.1166666666666667,0.007456009543692217,2400,1.0
11,Single Session,Open Set,erpcore n400,siamese,7,session_1,0.0,0.0,0.01666666666666672,0.0018888557510686951,2400,1.0
12,Single Session,Open Set,erpcore n400,siamese,11,session_1,0.01666666666666672,0.050000000000000044,0.08333333333333337,0.033333333333334006,2400,1.0
13,Single Session,Open Set,erpcore n400,siamese,15,session_1,0.0,0.01666666666666672,0.050000000000000044,0.011134307585247043,2400,1.0
14,Single Session,Open Set,erpcore n400,siamese,21,session_1,0.033333333333333326,0.16666666666666663,0.35,0.03708122079729595,2400,1.0
15,Single Session,Open Set,erpcore n400,siamese,24,session_1,0.0,0.033333333333333326,0.1333333333333333,0.01854621597367634,2400,1.0
16,Single Session,Open Set,erpcore n400,siamese,28,session_1,0.0,0.01666666666666672,0.033333333333333326,0.016666666666666753,2400,1.0
17,Single Session,Open Set,erpcore n400,siamese,32,session_1,0.01666666666666672,0.050000000000000044,0.09999999999999998,0.025946913212048915,2400,1.0
18,Single Session,Open Set,erpcore n400,siamese,36,session_1,0.0,0.0,0.0,0.0001,2400,1.0
19,Single Session,Open Set,erpcore n400,siamese,39,session_1,0.0,0.0,0.01666666666666672,0.00377771150213739,2400,1.0
20,Single Session,Open Set,erpcore n400,siamese,2,session_1,0.0,0.01666666666666672,0.09999999999999998,0.012923749875733175,2400,1.0
21,Single Session,Open Set,erpcore n400,siamese,6,session_1,0.0,0.0,0.0,0.0001,2400,1.0
22,Single Session,Open Set,erpcore n400,siamese,10,session_1,0.01666666666666672,0.050000000000000044,0.18333333333333335,0.016666666666712526,2400,1.0
23,Single Session,Open Set,erpcore n400,siamese,14,session_1,0.0,0.0,0.0,0.0001,2400,1.0
24,Single Session,Open Set,erpcore n400,siamese,18,session_1,0.0,0.0,0.01666666666666672,0.00377771150213739,2400,1.0
25,Single Session,Open Set,erpcore n400,siamese,23,session_1,0.0,0.01666666666666672,0.21666666666666667,0.016666666666666753,2400,1.0
26,Single Session,Open Set,erpcore n400,siamese,27,session_1,0.0,0.0,0.0,0.0001,2400,1.0
27,Single Session,Open Set,erpcore n400,siamese,30,session_1,0.0,0.01666666666666672,0.15000000000000002,0.01666666666666666,2400,1.0
28,Single Session,Open Set,erpcore n400,siamese,31,session_1,0.0,0.0,0.0,0.0001,2400,1.0
29,Single Session,Open Set,erpcore n400,siamese,35,session_1,0.0,0.0,0.16666666666666663,0.005589380177662441,2400,1.0
30,Single Session,Open Set,erpcore n400,siamese,1,session_1,0.08333333333333337,0.44999999999999996,0.8,0.08889221258350784,2400,1.0
31,Single Session,Open Set,erpcore n400,siamese,5,session_1,0.0,0.0,0.033333333333333326,0.009245451834178348,2400,1.0
32,Single Session,Open Set,erpcore n400,siamese,9,session_1,0.0,0.0,0.0,0.0001,2400,1.0
33,Single Session,Open Set,erpcore n400,siamese,13,session_1,0.0,0.09999999999999998,0.25,0.05000000000000002,2400,1.0
34,Single Session,Open Set,erpcore n400,siamese,17,session_1,0.0,0.0,0.0,0.0001,2400,1.0
35,Single Session,Open Set,erpcore n400,siamese,19,session_1,0.0,0.08333333333333337,0.43333333333333335,0.01666666666666666,2400,1.0
36,Single Session,Open Set,erpcore n400,siamese,22,session_1,0.0,0.0,0.0,0.0001,2400,1.0
37,Single Session,Open Set,erpcore n400,siamese,26,session_1,0.0,0.4,0.65,0.08333333333328756,2400,1.0
38,Single Session,Open Set,erpcore n400,siamese,34,session_1,0.0,0.0,0.01666666666666672,0.0018888557510686951,2400,1.0
39,Single Session,Open Set,erpcore n400,siamese,38,session_1,0.0,0.050000000000000044,0.33333333333333337,0.016651710040881444,2400,1.0
