,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,erpcore n400,AR+PSD+SVM,1,session_1,0.18333333333333332,0.33333333333333337,0.33333333333333337,0.05365576932652054,2400,0
1,Single Session,Open Set,erpcore n400,AR+PSD+SVM,2,session_1,0.15,0.25,0.25,0.03588297638331159,2400,0
2,Single Session,Open Set,erpcore n400,AR+PSD+SVM,3,session_1,0.04999999999999999,0.26666666666666666,0.26666666666666666,0.019772231887535744,2400,0
3,Single Session,Open Set,erpcore n400,AR+PSD+SVM,4,session_1,0.04999999999999999,0.09999999999999998,0.09999999999999998,0.011250925220469136,2400,0
4,Single Session,Open Set,erpcore n400,AR+PSD+SVM,5,session_1,0.0,0.08333333333333331,0.08333333333333331,0.00542174130621713,2400,0
5,Single Session,Open Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400,0
6,Single Session,Open Set,erpcore n400,AR+PSD+SVM,7,session_1,0.016666666666666663,0.11666666666666664,0.11666666666666664,0.011670866078748975,2400,0
7,Single Session,Open Set,erpcore n400,AR+PSD+SVM,8,session_1,0.06666666666666665,0.4,0.4,0.016575273205657853,2400,0
8,Single Session,Open Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,2400,0
9,Single Session,Open Set,erpcore n400,AR+PSD+SVM,10,session_1,0.2333333333333333,0.5,0.5,0.07541544183814256,2400,0
10,Single Session,Open Set,erpcore n400,AR+PSD+SVM,11,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.03843012013318131,2400,0
11,Single Session,Open Set,erpcore n400,AR+PSD+SVM,12,session_1,0.1,0.18333333333333335,0.18333333333333335,0.01171836012958186,2400,0
12,Single Session,Open Set,erpcore n400,AR+PSD+SVM,13,session_1,0.0,0.13333333333333333,0.13333333333333333,0.005234597134952501,2400,0
13,Single Session,Open Set,erpcore n400,AR+PSD+SVM,14,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.017136601575779373,2400,0
14,Single Session,Open Set,erpcore n400,AR+PSD+SVM,15,session_1,0.09999999999999998,0.31666666666666665,0.31666666666666665,0.0487521750454983,2400,0
15,Single Session,Open Set,erpcore n400,AR+PSD+SVM,16,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.015422841852140703,2400,0
16,Single Session,Open Set,erpcore n400,AR+PSD+SVM,17,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.023755674905513214,2400,0
17,Single Session,Open Set,erpcore n400,AR+PSD+SVM,18,session_1,0.06666666666666665,0.2666666666666667,0.2666666666666667,0.043334433179356494,2400,0
18,Single Session,Open Set,erpcore n400,AR+PSD+SVM,19,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.012088308336832844,2400,0
19,Single Session,Open Set,erpcore n400,AR+PSD+SVM,20,session_1,0.08333333333333331,0.18333333333333335,0.18333333333333335,0.0433344335292163,2400,0
20,Single Session,Open Set,erpcore n400,AR+PSD+SVM,21,session_1,0.13333333333333333,0.21666666666666667,0.21666666666666667,0.046022557191993094,2400,0
21,Single Session,Open Set,erpcore n400,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,2400,0
22,Single Session,Open Set,erpcore n400,AR+PSD+SVM,23,session_1,0.04999999999999999,0.08333333333333331,0.08333333333333331,0.04458675855380245,2400,0
23,Single Session,Open Set,erpcore n400,AR+PSD+SVM,24,session_1,0.11666666666666664,0.2833333333333333,0.2833333333333333,0.0391685167576539,2400,0
24,Single Session,Open Set,erpcore n400,AR+PSD+SVM,25,session_1,0.0,0.1,0.1,0.005976663617093607,2400,0
25,Single Session,Open Set,erpcore n400,AR+PSD+SVM,26,session_1,0.21666666666666667,0.31666666666666665,0.31666666666666665,0.042873997990281354,2400,0
26,Single Session,Open Set,erpcore n400,AR+PSD+SVM,27,session_1,0.016666666666666663,0.08333333333333334,0.08333333333333334,0.018061472093911523,2400,0
27,Single Session,Open Set,erpcore n400,AR+PSD+SVM,28,session_1,0.04999999999999999,0.19999999999999998,0.19999999999999998,0.01171592239179479,2400,0
28,Single Session,Open Set,erpcore n400,AR+PSD+SVM,29,session_1,0.04999999999999999,0.2,0.2,0.022783310686503862,2400,0
29,Single Session,Open Set,erpcore n400,AR+PSD+SVM,30,session_1,0.016666666666666663,0.11666666666666667,0.11666666666666667,0.008756274821524988,2400,0
30,Single Session,Open Set,erpcore n400,AR+PSD+SVM,31,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.007921391705161278,2400,0
31,Single Session,Open Set,erpcore n400,AR+PSD+SVM,32,session_1,0.21666666666666665,0.38333333333333336,0.38333333333333336,0.04953956446097543,2400,0
32,Single Session,Open Set,erpcore n400,AR+PSD+SVM,33,session_1,0.0,0.0,0.0,1e-05,2400,0
33,Single Session,Open Set,erpcore n400,AR+PSD+SVM,34,session_1,0.0,0.0,0.0,1e-05,2400,0
34,Single Session,Open Set,erpcore n400,AR+PSD+SVM,35,session_1,0.3666666666666667,0.5833333333333333,0.5833333333333333,0.08083268342432057,2400,0
35,Single Session,Open Set,erpcore n400,AR+PSD+SVM,36,session_1,0.0,0.0,0.0,1e-05,2400,0
36,Single Session,Open Set,erpcore n400,AR+PSD+SVM,37,session_1,0.08333333333333334,0.13333333333333333,0.13333333333333333,0.026253824814525963,2400,0
37,Single Session,Open Set,erpcore n400,AR+PSD+SVM,38,session_1,0.11666666666666667,0.30000000000000004,0.30000000000000004,0.05000250000000933,2400,0
38,Single Session,Open Set,erpcore n400,AR+PSD+SVM,39,session_1,0.033333333333333326,0.13333333333333333,0.13333333333333333,0.005051824405048114,2400,0
39,Single Session,Open Set,erpcore n400,AR+PSD+SVM,40,session_1,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.00458935818985342,2400,0
40,Single Session,Open Set,erpcore n400,AR+PSD+LR,1,session_1,0.31666666666666665,0.6333333333333333,0.6333333333333333,0.029630886548616467,2400,0
41,Single Session,Open Set,erpcore n400,AR+PSD+LR,2,session_1,0.25,0.3333333333333333,0.3333333333333333,0.04319545298658191,2400,0
42,Single Session,Open Set,erpcore n400,AR+PSD+LR,3,session_1,0.6333333333333334,0.9833333333333334,0.9833333333333334,0.04541514188013677,2400,0
43,Single Session,Open Set,erpcore n400,AR+PSD+LR,4,session_1,0.0,0.31666666666666665,0.31666666666666665,0.002922150048993141,2400,0
44,Single Session,Open Set,erpcore n400,AR+PSD+LR,5,session_1,0.08333333333333334,0.5,0.5,0.01171596428801587,2400,0
45,Single Session,Open Set,erpcore n400,AR+PSD+LR,6,session_1,0.0,0.3,0.3,0.0012574833006679732,2400,0
46,Single Session,Open Set,erpcore n400,AR+PSD+LR,7,session_1,0.43333333333333335,0.7333333333333333,0.7333333333333333,0.04254554362389262,2400,0
47,Single Session,Open Set,erpcore n400,AR+PSD+LR,8,session_1,0.2,0.7333333333333334,0.7333333333333334,0.03981442598036275,2400,0
48,Single Session,Open Set,erpcore n400,AR+PSD+LR,9,session_1,0.0,0.48333333333333334,0.48333333333333334,0.0017198250244965705,2400,0
49,Single Session,Open Set,erpcore n400,AR+PSD+LR,10,session_1,0.7000000000000001,0.9333333333333333,0.9333333333333333,0.07680574719539263,2400,0
50,Single Session,Open Set,erpcore n400,AR+PSD+LR,11,session_1,0.016666666666666663,0.33333333333333337,0.33333333333333337,0.018061576322539838,2400,0
51,Single Session,Open Set,erpcore n400,AR+PSD+LR,12,session_1,0.33333333333333337,1.0,1.0,0.03291579409147677,2400,0
52,Single Session,Open Set,erpcore n400,AR+PSD+LR,13,session_1,0.0,0.26666666666666666,0.26666666666666666,0.0008399415581818546,2400,0
53,Single Session,Open Set,erpcore n400,AR+PSD+LR,14,session_1,0.13333333333333333,0.8999999999999999,0.8999999999999999,0.0145388303711077,2400,0
54,Single Session,Open Set,erpcore n400,AR+PSD+LR,15,session_1,0.43333333333333335,0.9166666666666667,0.9166666666666667,0.0335196451604384,2400,0
55,Single Session,Open Set,erpcore n400,AR+PSD+LR,16,session_1,0.0,0.41666666666666663,0.41666666666666663,0.004771988519263588,2400,0
56,Single Session,Open Set,erpcore n400,AR+PSD+LR,17,session_1,0.016666666666666663,0.8166666666666667,0.8166666666666667,0.009401440908648032,2400,0
57,Single Session,Open Set,erpcore n400,AR+PSD+LR,18,session_1,0.35000000000000003,0.7666666666666666,0.7666666666666666,0.02726926577945181,2400,0
58,Single Session,Open Set,erpcore n400,AR+PSD+LR,19,session_1,0.5666666666666667,0.7833333333333333,0.7833333333333333,0.039862127676081036,2400,0
59,Single Session,Open Set,erpcore n400,AR+PSD+LR,20,session_1,0.4666666666666667,0.7666666666666666,0.7666666666666666,0.03629828739159091,2400,0
60,Single Session,Open Set,erpcore n400,AR+PSD+LR,21,session_1,0.25,0.9166666666666667,0.9166666666666667,0.037313949660762846,2400,0
61,Single Session,Open Set,erpcore n400,AR+PSD+LR,22,session_1,0.016666666666666663,0.7666666666666666,0.7666666666666666,0.007594102919760809,2400,0
62,Single Session,Open Set,erpcore n400,AR+PSD+LR,23,session_1,0.2833333333333333,0.7666666666666666,0.7666666666666666,0.02870598116263723,2400,0
63,Single Session,Open Set,erpcore n400,AR+PSD+LR,24,session_1,0.15,0.85,0.85,0.03101965724798527,2400,0
64,Single Session,Open Set,erpcore n400,AR+PSD+LR,25,session_1,0.06666666666666665,0.6166666666666667,0.6166666666666667,0.010051564354569578,2400,0
65,Single Session,Open Set,erpcore n400,AR+PSD+LR,26,session_1,0.04999999999999999,0.5833333333333333,0.5833333333333333,0.01375312709892335,2400,0
66,Single Session,Open Set,erpcore n400,AR+PSD+LR,27,session_1,0.06666666666666668,1.0,1.0,0.010141680454516782,2400,0
67,Single Session,Open Set,erpcore n400,AR+PSD+LR,28,session_1,0.09999999999999998,0.6333333333333333,0.6333333333333333,0.019954706341112245,2400,0
68,Single Session,Open Set,erpcore n400,AR+PSD+LR,29,session_1,0.5666666666666668,0.85,0.85,0.08749825024496564,2400,0
69,Single Session,Open Set,erpcore n400,AR+PSD+LR,30,session_1,0.23333333333333334,0.44999999999999996,0.44999999999999996,0.012550789387625806,2400,0
70,Single Session,Open Set,erpcore n400,AR+PSD+LR,31,session_1,0.0,0.25,0.25,0.00042500000000000003,2400,0
71,Single Session,Open Set,erpcore n400,AR+PSD+LR,32,session_1,0.5166666666666666,0.85,0.85,0.06255130094199626,2400,0
72,Single Session,Open Set,erpcore n400,AR+PSD+LR,33,session_1,0.033333333333333326,0.75,0.75,0.004589416281720559,2400,0
73,Single Session,Open Set,erpcore n400,AR+PSD+LR,34,session_1,0.33333333333333337,0.8333333333333334,0.8333333333333334,0.023472411879465763,2400,0
74,Single Session,Open Set,erpcore n400,AR+PSD+LR,35,session_1,0.43333333333333335,0.9333333333333333,0.9333333333333333,0.11027506149139116,2400,0
75,Single Session,Open Set,erpcore n400,AR+PSD+LR,36,session_1,0.0,0.25,0.25,0.00042500000000000003,2400,0
76,Single Session,Open Set,erpcore n400,AR+PSD+LR,37,session_1,0.30000000000000004,0.7333333333333334,0.7333333333333334,0.021899434079228907,2400,0
77,Single Session,Open Set,erpcore n400,AR+PSD+LR,38,session_1,0.95,1.0,1.0,0.12916491691163232,2400,0
78,Single Session,Open Set,erpcore n400,AR+PSD+LR,39,session_1,0.25,0.7166666666666667,0.7166666666666667,0.017920049350694276,2400,0
79,Single Session,Open Set,erpcore n400,AR+PSD+LR,40,session_1,0.4,1.0,1.0,0.021299916598336768,2400,0
80,Single Session,Open Set,erpcore n400,AR+PSD+LDA,1,session_1,0.2999994999949999,0.5933329333293333,0.6293332933329334,0.052636630871678775,2400,0
81,Single Session,Open Set,erpcore n400,AR+PSD+LDA,2,session_1,0.21666666666666667,0.5833333333333333,0.5833333333333333,0.03898204251404803,2400,0
