,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,erpcore n400,siamese,6,session_1,0.0,0.0,0.0,0.0001,2241,300
1,Single Session,Open Set,erpcore n400,siamese,11,session_1,0.0,0.033333333333333326,0.033333333333333326,0.02313291454781135,2241,300
2,Single Session,Open Set,erpcore n400,siamese,16,session_1,0.0,0.0,0.01666666666666672,0.004274778805050204,2241,300
3,Single Session,Open Set,erpcore n400,siamese,24,session_1,0.0,0.0,0.0,0.0001,2241,300
4,Single Session,Open Set,erpcore n400,siamese,29,session_1,0.01666666666666672,0.09999999999999998,0.44999999999999996,0.027338701660204794,2241,300
5,Single Session,Open Set,erpcore n400,siamese,34,session_1,0.0,0.0,0.050000000000000044,0.002195827926938816,2241,300
6,Single Session,Open Set,erpcore n400,siamese,38,session_1,0.0,0.0,0.09999999999999998,0.006362461477284025,2241,300
7,Single Session,Open Set,erpcore n400,siamese,39,session_1,0.017241379310344862,0.017241379310344862,0.2931034482758621,0.017241379310381014,2241,300
8,Single Session,Open Set,erpcore n400,siamese,40,session_1,0.0,0.0,0.017241379310344862,0.004176195684597792,2241,300
9,Single Session,Open Set,erpcore n400,siamese,4,session_1,0.0,0.0,0.0,0.0001,2241,300
10,Single Session,Open Set,erpcore n400,siamese,5,session_1,0.0,0.0,0.0,0.0001,2241,300
11,Single Session,Open Set,erpcore n400,siamese,13,session_1,0.01666666666666672,0.06666666666666665,0.25,0.03499353812506214,2241,300
12,Single Session,Open Set,erpcore n400,siamese,17,session_1,0.0,0.0,0.0,0.0001,2241,300
13,Single Session,Open Set,erpcore n400,siamese,20,session_1,0.017241379310344862,0.017241379310344862,0.017241379310344862,0.017241379310381014,2241,300
14,Single Session,Open Set,erpcore n400,siamese,23,session_1,0.0,0.08333333333333337,0.08333333333333337,0.013085605833583059,2241,300
15,Single Session,Open Set,erpcore n400,siamese,25,session_1,0.0,0.0,0.01666666666666672,0.004175365344467641,2241,300
16,Single Session,Open Set,erpcore n400,siamese,26,session_1,0.0,0.0,0.16666666666666663,0.004175365344467641,2241,300
17,Single Session,Open Set,erpcore n400,siamese,31,session_1,0.0,0.0,0.0,0.0001,2241,300
18,Single Session,Open Set,erpcore n400,siamese,35,session_1,0.0,0.0,0.0,0.0001,2241,300
19,Single Session,Open Set,erpcore n400,siamese,7,session_1,0.0,0.0,0.0,0.0001,2241,300
20,Single Session,Open Set,erpcore n400,siamese,8,session_1,0.0,0.0,0.03389830508474578,0.001994316198833325,2241,300
21,Single Session,Open Set,erpcore n400,siamese,10,session_1,0.0,0.0535714285714286,0.0714285714285714,0.03242168075584287,2241,300
22,Single Session,Open Set,erpcore n400,siamese,12,session_1,0.01666666666666672,0.01666666666666672,0.033333333333333326,0.016666666666712526,2241,300
23,Single Session,Open Set,erpcore n400,siamese,14,session_1,0.0,0.0,0.0,0.0001,2241,300
24,Single Session,Open Set,erpcore n400,siamese,18,session_1,0.0,0.0,0.0,0.0001,2241,300
25,Single Session,Open Set,erpcore n400,siamese,21,session_1,0.021739130434782594,0.5,0.5869565217391304,0.06521739130434782,2241,300
26,Single Session,Open Set,erpcore n400,siamese,22,session_1,0.0,0.0,0.0,0.0001,2241,300
27,Single Session,Open Set,erpcore n400,siamese,32,session_1,0.01666666666666672,0.08333333333333337,0.21666666666666667,0.02886628776548011,2241,300
28,Single Session,Open Set,erpcore n400,siamese,36,session_1,0.0,0.0,0.0,0.0001,2241,300
29,Single Session,Open Set,erpcore n400,siamese,1,session_1,0.017857142857142905,0.2678571428571429,0.4107142857142857,0.07142857142869521,2241,300
30,Single Session,Open Set,erpcore n400,siamese,2,session_1,0.0,0.0,0.0,0.0001,2241,300
31,Single Session,Open Set,erpcore n400,siamese,3,session_1,0.0,0.0,0.11363636363636365,0.001898519155059054,2241,300
32,Single Session,Open Set,erpcore n400,siamese,9,session_1,0.0,0.0,0.0,0.0001,2241,300
33,Single Session,Open Set,erpcore n400,siamese,15,session_1,0.0,0.01666666666666672,0.01666666666666672,0.01666666666666666,2241,300
34,Single Session,Open Set,erpcore n400,siamese,19,session_1,0.0,0.0,0.0,0.0001,2241,300
35,Single Session,Open Set,erpcore n400,siamese,27,session_1,0.0,0.01666666666666672,0.01666666666666672,0.01666666666666666,2241,300
36,Single Session,Open Set,erpcore n400,siamese,28,session_1,0.0,0.016949152542372836,0.016949152542372836,0.01541061841320342,2241,300
37,Single Session,Open Set,erpcore n400,siamese,33,session_1,0.0,0.0,0.0,0.0001,2241,300
38,Single Session,Open Set,erpcore n400,siamese,37,session_1,0.0,0.01666666666666672,0.050000000000000044,0.013520230639228553,2241,300
