,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,erpcore n400,AR+SVM,1,session_1,0.35,0.6166666666666667,0.6166666666666667,0.1116678664986902,2400,1
1,Single Session,Open Set,erpcore n400,AR+SVM,2,session_1,0.5666666666666668,0.8833333333333333,0.8833333333333333,0.13333333333337521,2400,1
2,Single Session,Open Set,erpcore n400,AR+SVM,3,session_1,0.55,0.8166666666666668,0.8166666666666668,0.15027746115543822,2400,1
3,Single Session,Open Set,erpcore n400,AR+SVM,4,session_1,0.08333333333333334,0.26666666666666666,0.26666666666666666,0.015047939786569956,2400,1
4,Single Session,Open Set,erpcore n400,AR+SVM,5,session_1,0.44999999999999996,0.7,0.7,0.12120353150560707,2400,1
5,Single Session,Open Set,erpcore n400,AR+SVM,6,session_1,0.7333333333333334,0.9333333333333333,0.9333333333333333,0.18509358689780636,2400,1
6,Single Session,Open Set,erpcore n400,AR+SVM,7,session_1,0.14999999999999997,0.3166666666666667,0.3166666666666667,0.05823984642150564,2400,1
7,Single Session,Open Set,erpcore n400,AR+SVM,8,session_1,0.5666666666666667,0.8833333333333333,0.8833333333333333,0.12990531325614407,2400,1
8,Single Session,Open Set,erpcore n400,AR+SVM,9,session_1,0.15,0.3500000000000001,0.3500000000000001,0.05101685763993037,2400,1
9,Single Session,Open Set,erpcore n400,AR+SVM,10,session_1,0.6833333333333333,0.8500000000000001,0.8500000000000001,0.1941208230847681,2400,1
10,Single Session,Open Set,erpcore n400,AR+SVM,11,session_1,0.7000000000000001,0.85,0.85,0.20847481352607838,2400,1
11,Single Session,Open Set,erpcore n400,AR+SVM,12,session_1,0.5666666666666667,0.8333333333333335,0.8333333333333335,0.12814705941168236,2400,1
12,Single Session,Open Set,erpcore n400,AR+SVM,13,session_1,0.45,0.7333333333333334,0.7333333333333334,0.14602055712200282,2400,1
13,Single Session,Open Set,erpcore n400,AR+SVM,14,session_1,0.26666666666666666,0.5,0.5,0.08999990001397476,2400,1
14,Single Session,Open Set,erpcore n400,AR+SVM,15,session_1,0.41666666666666663,0.6666666666666666,0.6666666666666666,0.15625112484259976,2400,1
15,Single Session,Open Set,erpcore n400,AR+SVM,16,session_1,0.5166666666666667,0.75,0.75,0.12629535341076303,2400,1
16,Single Session,Open Set,erpcore n400,AR+SVM,17,session_1,0.23333333333333334,0.3833333333333333,0.3833333333333333,0.06995020697102405,2400,1
17,Single Session,Open Set,erpcore n400,AR+SVM,18,session_1,0.4833333333333333,0.8,0.8,0.17916691663167153,2400,1
18,Single Session,Open Set,erpcore n400,AR+SVM,19,session_1,0.5,0.8333333333333333,0.8333333333333333,0.12402813606095145,2400,1
19,Single Session,Open Set,erpcore n400,AR+SVM,20,session_1,0.6833333333333333,0.8833333333333333,0.8833333333333333,0.20249965004899312,2400,1
20,Single Session,Open Set,erpcore n400,AR+SVM,21,session_1,0.7333333333333334,0.8666666666666667,0.8666666666666667,0.24263803067578393,2400,1
21,Single Session,Open Set,erpcore n400,AR+SVM,22,session_1,0.13333333333333333,0.33333333333333337,0.33333333333333337,0.02875097486351911,2400,1
22,Single Session,Open Set,erpcore n400,AR+SVM,23,session_1,0.6333333333333334,0.8666666666666667,0.8666666666666667,0.19999999999998752,2400,1
23,Single Session,Open Set,erpcore n400,AR+SVM,24,session_1,0.7000000000000002,0.8666666666666667,0.8666666666666667,0.19041684164219191,2400,1
24,Single Session,Open Set,erpcore n400,AR+SVM,25,session_1,0.4833333333333334,0.6833333333333333,0.6833333333333333,0.11759253704481373,2400,1
25,Single Session,Open Set,erpcore n400,AR+SVM,26,session_1,0.9833333333333334,1.0,1.0,0.33448817165597217,2400,1
26,Single Session,Open Set,erpcore n400,AR+SVM,27,session_1,0.06666666666666665,0.21666666666666667,0.21666666666666667,0.029167416561681335,2400,1
27,Single Session,Open Set,erpcore n400,AR+SVM,28,session_1,0.3666666666666667,0.44999999999999996,0.44999999999999996,0.11453746475493432,2400,1
28,Single Session,Open Set,erpcore n400,AR+SVM,29,session_1,0.7166666666666666,0.9333333333333333,0.9333333333333333,0.23426020357147206,2400,1
29,Single Session,Open Set,erpcore n400,AR+SVM,30,session_1,0.6666666666666667,0.8666666666666667,0.8666666666666667,0.1628232047513348,2400,1
30,Single Session,Open Set,erpcore n400,AR+SVM,31,session_1,0.016666666666666663,0.11666666666666664,0.11666666666666664,0.007501512409192353,2400,1
31,Single Session,Open Set,erpcore n400,AR+SVM,32,session_1,0.8500000000000001,0.9333333333333333,0.9333333333333333,0.28083368328436437,2400,1
32,Single Session,Open Set,erpcore n400,AR+SVM,33,session_1,0.0,0.11666666666666667,0.11666666666666667,0.0025073164190316023,2400,1
33,Single Session,Open Set,erpcore n400,AR+SVM,34,session_1,0.14999999999999997,0.3,0.3,0.08458265842782006,2400,1
34,Single Session,Open Set,erpcore n400,AR+SVM,35,session_1,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.32000019997200396,2400,1
35,Single Session,Open Set,erpcore n400,AR+SVM,36,session_1,0.31666666666666665,0.45000000000000007,0.45000000000000007,0.10041844141820139,2400,1
36,Single Session,Open Set,erpcore n400,AR+SVM,37,session_1,0.41666666666666674,0.7166666666666668,0.7166666666666668,0.1111094446777451,2400,1
37,Single Session,Open Set,erpcore n400,AR+SVM,38,session_1,0.7000000000000001,0.95,0.95,0.21176035355050293,2400,1
38,Single Session,Open Set,erpcore n400,AR+SVM,39,session_1,0.45,0.8,0.8,0.10583312084714486,2400,1
39,Single Session,Open Set,erpcore n400,AR+SVM,40,session_1,0.35,0.6166666666666667,0.6166666666666667,0.09999999999999994,2400,1
40,Single Session,Open Set,erpcore n400,AR+LR,1,session_1,0.3166666666666667,0.5166666666666667,0.5166666666666667,0.08416671665967225,2400,1
41,Single Session,Open Set,erpcore n400,AR+LR,2,session_1,0.7666666666666667,0.9666666666666668,0.9666666666666668,0.1883356330114156,2400,1
42,Single Session,Open Set,erpcore n400,AR+LR,3,session_1,0.95,1.0,1.0,0.23416521686967542,2400,1
43,Single Session,Open Set,erpcore n400,AR+LR,4,session_1,0.016666666666666663,0.3333333333333333,0.3333333333333333,0.005881770296065197,2400,1
44,Single Session,Open Set,erpcore n400,AR+LR,5,session_1,0.8,0.9333333333333333,0.9333333333333333,0.15671384131643418,2400,1
45,Single Session,Open Set,erpcore n400,AR+LR,6,session_1,0.7833333333333333,1.0,1.0,0.1993535904973303,2400,1
