,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,erpcore n400,PSD+SVM,1,session_1,0.3666666666666667,0.5666666666666667,0.5666666666666667,0.06694562761213425,2400,1
1,Single Session,Open Set,erpcore n400,PSD+SVM,2,session_1,0.06666666666666665,0.3666666666666667,0.3666666666666667,0.05092987016817725,2400,1
2,Single Session,Open Set,erpcore n400,PSD+SVM,3,session_1,0.11666666666666664,0.41666666666666663,0.41666666666666663,0.04166822124542115,2400,1
3,Single Session,Open Set,erpcore n400,PSD+SVM,4,session_1,0.033333333333333326,0.16666666666666669,0.16666666666666669,0.02129861747207372,2400,1
4,Single Session,Open Set,erpcore n400,PSD+SVM,5,session_1,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.02754864353990441,2400,1
5,Single Session,Open Set,erpcore n400,PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400,1
6,Single Session,Open Set,erpcore n400,PSD+SVM,7,session_1,0.033333333333333326,0.16666666666666666,0.16666666666666666,0.008381673793099183,2400,1
7,Single Session,Open Set,erpcore n400,PSD+SVM,8,session_1,0.18333333333333332,0.31666666666666665,0.31666666666666665,0.09499970004199877,2400,1
8,Single Session,Open Set,erpcore n400,PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,2400,1
9,Single Session,Open Set,erpcore n400,PSD+SVM,10,session_1,0.2,0.3666666666666667,0.3666666666666667,0.10458485811986319,2400,1
10,Single Session,Open Set,erpcore n400,PSD+SVM,11,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.017089108224853194,2400,1
11,Single Session,Open Set,erpcore n400,PSD+SVM,12,session_1,0.04999999999999999,0.2,0.2,0.01625522496850441,2400,1
12,Single Session,Open Set,erpcore n400,PSD+SVM,13,session_1,0.033333333333333326,0.13333333333333336,0.13333333333333336,0.017599141161118038,2400,1
13,Single Session,Open Set,erpcore n400,PSD+SVM,14,session_1,0.016666666666666663,0.06666666666666665,0.06666666666666665,0.007598936848841162,2400,1
14,Single Session,Open Set,erpcore n400,PSD+SVM,15,session_1,0.06666666666666665,0.21666666666666665,0.21666666666666665,0.014862919541264223,2400,1
15,Single Session,Open Set,erpcore n400,PSD+SVM,16,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.05000250000000463,2400,1
16,Single Session,Open Set,erpcore n400,PSD+SVM,17,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.01667416666666747,2400,1
17,Single Session,Open Set,erpcore n400,PSD+SVM,18,session_1,0.15,0.43333333333333335,0.43333333333333335,0.06833393324934586,2400,1
18,Single Session,Open Set,erpcore n400,PSD+SVM,19,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.004174416631671566,2400,1
19,Single Session,Open Set,erpcore n400,PSD+SVM,20,session_1,0.033333333333333326,0.15,0.15,0.025420472794274427,2400,1
20,Single Session,Open Set,erpcore n400,PSD+SVM,21,session_1,0.033333333333333326,0.2833333333333333,0.2833333333333333,0.024633093115293894,2400,1
21,Single Session,Open Set,erpcore n400,PSD+SVM,22,session_1,0.0,0.033333333333333326,0.033333333333333326,0.0012573246745455635,2400,1
22,Single Session,Open Set,erpcore n400,PSD+SVM,23,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.05000250000000628,2400,1
23,Single Session,Open Set,erpcore n400,PSD+SVM,24,session_1,0.06666666666666665,0.09999999999999998,0.09999999999999998,0.055559222058911714,2400,1
24,Single Session,Open Set,erpcore n400,PSD+SVM,25,session_1,0.04999999999999999,0.21666666666666667,0.21666666666666667,0.023335733347331345,2400,1
25,Single Session,Open Set,erpcore n400,PSD+SVM,26,session_1,0.033333333333333326,0.1333333333333333,0.1333333333333333,0.0350030999160164,2400,1
26,Single Session,Open Set,erpcore n400,PSD+SVM,27,session_1,0.0,0.033333333333333326,0.033333333333333326,0.00134981172635831,2400,1
27,Single Session,Open Set,erpcore n400,PSD+SVM,28,session_1,0.04999999999999999,0.13333333333333333,0.13333333333333333,0.035046718513784214,2400,1
28,Single Session,Open Set,erpcore n400,PSD+SVM,29,session_1,0.04999999999999999,0.15,0.15,0.034170716449701696,2400,1
29,Single Session,Open Set,erpcore n400,PSD+SVM,30,session_1,0.04999999999999999,0.08333333333333331,0.08333333333333331,0.03375327489151514,2400,1
