,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,erpcore n400,AR+PSD+SVM,1,session_1,0.13191656916569164,0.37666666666666665,0.37666666666666665,0.02206346995550091,2400
1,Single Session,Close Set,erpcore n400,AR+PSD+SVM,2,session_1,0.03666666666666666,0.10333333333333332,0.10333333333333332,0.024276075105564794,2400
2,Single Session,Close Set,erpcore n400,AR+PSD+SVM,3,session_1,0.048333333333333325,0.1933333333333333,0.1933333333333333,0.021112571882485772,2400
3,Single Session,Close Set,erpcore n400,AR+PSD+SVM,4,session_1,0.016666666666666663,0.03833333333333332,0.03833333333333332,0.004365139615453836,2400
4,Single Session,Close Set,erpcore n400,AR+PSD+SVM,5,session_1,0.0033333333333333327,0.016666666666666663,0.016666666666666663,0.0014188089338324778,2400
5,Single Session,Close Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400
6,Single Session,Close Set,erpcore n400,AR+PSD+SVM,7,session_1,0.009999999999999998,0.03666666666666666,0.03666666666666666,0.0037667233937248787,2400
7,Single Session,Close Set,erpcore n400,AR+PSD+SVM,8,session_1,0.033333333333333326,0.17833333333333332,0.17833333333333332,0.03166802649793505,2400
8,Single Session,Close Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,2400
9,Single Session,Close Set,erpcore n400,AR+PSD+SVM,10,session_1,0.11833333333333332,0.24,0.24,0.061240676410304506,2400
10,Single Session,Close Set,erpcore n400,AR+PSD+SVM,11,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.023991844446777454,2400
11,Single Session,Close Set,erpcore n400,AR+PSD+SVM,12,session_1,0.0,0.02666666666666666,0.02666666666666666,0.0009471226226618341,2400
12,Single Session,Close Set,erpcore n400,AR+PSD+SVM,13,session_1,0.01833333333333333,0.06333333333333332,0.06333333333333332,0.014747285904973293,2400
13,Single Session,Close Set,erpcore n400,AR+PSD+SVM,14,session_1,0.0033333333333333327,0.006666666666666665,0.006666666666666665,0.0015475346051552787,2400
14,Single Session,Close Set,erpcore n400,AR+PSD+SVM,15,session_1,0.06999999999999998,0.25666666666666665,0.25666666666666665,0.030044375951461155,2400
15,Single Session,Close Set,erpcore n400,AR+PSD+SVM,16,session_1,0.029999999999999992,0.03666666666666666,0.03666666666666666,0.01539021985942833,2400
16,Single Session,Close Set,erpcore n400,AR+PSD+SVM,17,session_1,0.014999999999999996,0.02166666666666666,0.02166666666666666,0.012186544863719067,2400
17,Single Session,Close Set,erpcore n400,AR+PSD+SVM,18,session_1,0.046666666666666655,0.12333333333333334,0.12333333333333334,0.03282259989559775,2400
18,Single Session,Close Set,erpcore n400,AR+PSD+SVM,19,session_1,0.0016666666666666663,0.014999999999999996,0.014999999999999996,0.0012903204751334811,2400
19,Single Session,Close Set,erpcore n400,AR+PSD+SVM,20,session_1,0.03833333333333332,0.12,0.12,0.03508810454530729,2400
20,Single Session,Close Set,erpcore n400,AR+PSD+SVM,21,session_1,0.0885832358323583,0.3083333333333333,0.3083333333333333,0.028334415520563178,2400
21,Single Session,Close Set,erpcore n400,AR+PSD+SVM,22,session_1,0.0,0.01333333333333333,0.01333333333333333,0.0007776422850800886,2400
22,Single Session,Close Set,erpcore n400,AR+PSD+SVM,23,session_1,0.03666666666666666,0.059999999999999984,0.059999999999999984,0.03419196365009182,2400
23,Single Session,Close Set,erpcore n400,AR+PSD+SVM,24,session_1,0.10499999999999998,0.21166666666666667,0.21166666666666667,0.04837572555904722,2400
24,Single Session,Close Set,erpcore n400,AR+PSD+SVM,25,session_1,0.019999999999999997,0.13,0.13,0.0150875721445323,2400
25,Single Session,Close Set,erpcore n400,AR+PSD+SVM,26,session_1,0.09833333333333333,0.24,0.24,0.02799274948173555,2400
26,Single Session,Close Set,erpcore n400,AR+PSD+SVM,27,session_1,0.016666666666666663,0.03666666666666666,0.03666666666666666,0.017185094856723877,2400
27,Single Session,Close Set,erpcore n400,AR+PSD+SVM,28,session_1,0.019999999999999997,0.11999999999999997,0.11999999999999997,0.005814966428877149,2400
28,Single Session,Close Set,erpcore n400,AR+PSD+SVM,29,session_1,0.04333333333333332,0.09,0.09,0.03419096877926971,2400
29,Single Session,Close Set,erpcore n400,AR+PSD+SVM,30,session_1,0.019999999999999997,0.07666666666666665,0.07666666666666665,0.011023709819791658,2400
30,Single Session,Close Set,erpcore n400,AR+PSD+SVM,31,session_1,0.01333333333333333,0.019999999999999997,0.019999999999999997,0.010392694233431437,2400
31,Single Session,Close Set,erpcore n400,AR+PSD+SVM,32,session_1,0.1683333333333333,0.38069165691656914,0.38156916569165694,0.03495856184516481,2400
32,Single Session,Close Set,erpcore n400,AR+PSD+SVM,33,session_1,0.0,0.0,0.0,1e-05,2400
33,Single Session,Close Set,erpcore n400,AR+PSD+SVM,34,session_1,0.0016666666666666663,0.006666666666666665,0.006666666666666665,0.00039369614254004435,2400
34,Single Session,Close Set,erpcore n400,AR+PSD+SVM,35,session_1,0.08166666666666667,0.17333333333333334,0.17333333333333334,0.03243827149775834,2400
35,Single Session,Close Set,erpcore n400,AR+PSD+SVM,36,session_1,0.0,0.0016666666666666663,0.0016666666666666663,5.2494015837782714e-05,2400
36,Single Session,Close Set,erpcore n400,AR+PSD+SVM,37,session_1,0.06166666666666665,0.09666666666666665,0.09666666666666665,0.0244046336662867,2400
37,Single Session,Close Set,erpcore n400,AR+PSD+SVM,38,session_1,0.09833333333333331,0.39333333333333337,0.39333333333333337,0.04085541201281258,2400
38,Single Session,Close Set,erpcore n400,AR+PSD+SVM,39,session_1,0.0,0.09833333333333331,0.09833333333333331,0.001671335004441792,2400
39,Single Session,Close Set,erpcore n400,AR+PSD+SVM,40,session_1,0.01333333333333333,0.02833333333333333,0.02833333333333333,0.005903924325594417,2400
40,Single Session,Close Set,erpcore n400,AR+PSD+LR,1,session_1,0.04333333333333332,0.3901249512495125,0.3945124951249513,0.02812078944951475,2400
41,Single Session,Close Set,erpcore n400,AR+PSD+LR,2,session_1,0.02833333333333333,0.3183333333333333,0.3183333333333333,0.01397655009826836,2400
42,Single Session,Close Set,erpcore n400,AR+PSD+LR,3,session_1,0.033333333333333326,0.755,0.755,0.009703297068038085,2400
43,Single Session,Close Set,erpcore n400,AR+PSD+LR,4,session_1,0.0,0.041666666666666664,0.041666666666666664,0.00039271281211852486,2400
44,Single Session,Close Set,erpcore n400,AR+PSD+LR,5,session_1,0.0,0.18833333333333332,0.18833333333333332,0.0013291547849748333,2400
45,Single Session,Close Set,erpcore n400,AR+PSD+LR,6,session_1,0.0,0.15166666666666667,0.15166666666666667,0.0005632309407716454,2400
46,Single Session,Close Set,erpcore n400,AR+PSD+LR,7,session_1,0.033333333333333326,0.4733333333333333,0.4733333333333333,0.011925930184745626,2400
47,Single Session,Close Set,erpcore n400,AR+PSD+LR,8,session_1,0.04999999999999999,0.6183333333333334,0.6183333333333334,0.026710020411066772,2400
48,Single Session,Close Set,erpcore n400,AR+PSD+LR,9,session_1,0.0,0.5433333333333333,0.5433333333333333,0.0015426944152286722,2400
49,Single Session,Close Set,erpcore n400,AR+PSD+LR,10,session_1,0.09333333333333331,0.6808166081660817,0.686081660816608,0.02389097331675929,2400
50,Single Session,Close Set,erpcore n400,AR+PSD+LR,11,session_1,0.016666666666666663,0.22166666666666662,0.22166666666666662,0.017270153277944206,2400
51,Single Session,Close Set,erpcore n400,AR+PSD+LR,12,session_1,0.009999999999999998,0.67,0.67,0.005642917194568511,2400
52,Single Session,Close Set,erpcore n400,AR+PSD+LR,13,session_1,0.014999999999999996,0.24500000000000002,0.24500000000000002,0.010432958110864475,2400
53,Single Session,Close Set,erpcore n400,AR+PSD+LR,14,session_1,0.0016666666666666663,0.5,0.5,0.0021410912109309102,2400
54,Single Session,Close Set,erpcore n400,AR+PSD+LR,15,session_1,0.033333333333333326,0.38500000000000006,0.38500000000000006,0.008720463813547215,2400
55,Single Session,Close Set,erpcore n400,AR+PSD+LR,16,session_1,0.0,0.42833333333333334,0.42833333333333334,0.001330464095026696,2400
56,Single Session,Close Set,erpcore n400,AR+PSD+LR,17,session_1,0.0,0.16166666666666668,0.16166666666666668,0.0009036746724092545,2400
57,Single Session,Close Set,erpcore n400,AR+PSD+LR,18,session_1,0.039999999999999994,0.5183333333333333,0.5183333333333333,0.010642997612606462,2400
58,Single Session,Close Set,erpcore n400,AR+PSD+LR,19,session_1,0.07499999999999998,0.765,0.765,0.013079790875638186,2400
59,Single Session,Close Set,erpcore n400,AR+PSD+LR,20,session_1,0.039999999999999994,0.7083333333333334,0.7083333333333334,0.022865039668036356,2400
60,Single Session,Close Set,erpcore n400,AR+PSD+LR,21,session_1,0.05499999999999998,0.4666666666666666,0.4666666666666666,0.0221381622362776,2400
61,Single Session,Close Set,erpcore n400,AR+PSD+LR,22,session_1,0.0016666666666666663,0.31833333333333336,0.31833333333333336,0.0018003129330917567,2400
62,Single Session,Close Set,erpcore n400,AR+PSD+LR,23,session_1,0.023333333333333327,0.6877666276662767,0.6912766627666277,0.008122151299277885,2400
63,Single Session,Close Set,erpcore n400,AR+PSD+LR,24,session_1,0.048333333333333325,0.41500000000000004,0.41500000000000004,0.024103639039376814,2400
64,Single Session,Close Set,erpcore n400,AR+PSD+LR,25,session_1,0.016666666666666663,0.4306916569165692,0.43156916569165693,0.006969279960792889,2400
65,Single Session,Close Set,erpcore n400,AR+PSD+LR,26,session_1,0.01333333333333333,0.375,0.375,0.004874659415135199,2400
66,Single Session,Close Set,erpcore n400,AR+PSD+LR,27,session_1,0.0,0.72,0.72,0.002993532083251613,2400
67,Single Session,Close Set,erpcore n400,AR+PSD+LR,28,session_1,0.004999999999999999,0.5383333333333333,0.5383333333333333,0.0035068455786987527,2400
68,Single Session,Close Set,erpcore n400,AR+PSD+LR,29,session_1,0.10666666666666666,0.7016666666666667,0.7016666666666667,0.017737131721085854,2400
69,Single Session,Close Set,erpcore n400,AR+PSD+LR,30,session_1,0.029999999999999992,0.40166666666666667,0.40166666666666667,0.020771734685822198,2400
70,Single Session,Close Set,erpcore n400,AR+PSD+LR,31,session_1,0.0,0.255,0.255,0.00047749829006839723,2400
71,Single Session,Close Set,erpcore n400,AR+PSD+LR,32,session_1,0.04999999999999999,0.3633333333333333,0.3633333333333333,0.023121855439150747,2400
72,Single Session,Close Set,erpcore n400,AR+PSD+LR,33,session_1,0.0,0.56,0.56,0.0015859334675890936,2400
73,Single Session,Close Set,erpcore n400,AR+PSD+LR,34,session_1,0.0,0.345,0.345,0.0017988664961352437,2400
74,Single Session,Close Set,erpcore n400,AR+PSD+LR,35,session_1,0.1,0.64,0.64,0.03350458124186609,2400
75,Single Session,Close Set,erpcore n400,AR+PSD+LR,36,session_1,0.0,0.205,0.205,0.0005199862578495138,2400
76,Single Session,Close Set,erpcore n400,AR+PSD+LR,37,session_1,0.024999999999999994,0.6300000000000001,0.6300000000000001,0.00790820426449928,2400
77,Single Session,Close Set,erpcore n400,AR+PSD+LR,38,session_1,0.21166666666666667,0.8783333333333333,0.8783333333333333,0.04632485279961799,2400
78,Single Session,Close Set,erpcore n400,AR+PSD+LR,39,session_1,0.0,0.4033333333333333,0.4033333333333333,0.0016281029871899465,2400
79,Single Session,Close Set,erpcore n400,AR+PSD+LR,40,session_1,0.0033333333333333327,0.655,0.655,0.003378741722403298,2400
80,Single Session,Close Set,erpcore n400,AR+PSD+LDA,1,session_1,0.08333333333333333,0.4337450874508745,0.5008745087450874,0.0356425613384394,2400
81,Single Session,Close Set,erpcore n400,AR+PSD+LDA,2,session_1,0.09833333333333333,0.8216666666666665,0.8216666666666665,0.015088031309738256,2400
82,Single Session,Close Set,erpcore n400,AR+PSD+LDA,3,session_1,0.13833333333333334,0.8666666666666666,0.8666666666666666,0.01547328678957871,2400
83,Single Session,Close Set,erpcore n400,AR+PSD+LDA,4,session_1,0.0,0.10971664716647167,0.11147166471664716,0.0017995550846627846,2400
84,Single Session,Close Set,erpcore n400,AR+PSD+LDA,5,session_1,0.07166666666666667,0.6732541325413254,0.6763254132541325,0.009660345139307903,2400
85,Single Session,Close Set,erpcore n400,AR+PSD+LDA,6,session_1,0.0,0.551319863198632,0.6386319863198633,0.002609096938400884,2400
86,Single Session,Close Set,erpcore n400,AR+PSD+LDA,7,session_1,0.07833333333333332,0.6083333333333333,0.6083333333333333,0.017394423786725687,2400
87,Single Session,Close Set,erpcore n400,AR+PSD+LDA,8,session_1,0.16333333333333333,0.7520749707497074,0.7547074970749708,0.034103114953248935,2400
88,Single Session,Close Set,erpcore n400,AR+PSD+LDA,9,session_1,0.0,0.47570200702007026,0.670070200702007,0.0025667918049450057,2400
89,Single Session,Close Set,erpcore n400,AR+PSD+LDA,10,session_1,0.32999999999999996,0.9669957699576995,0.97269957699577,0.056197018326716995,2400
90,Single Session,Close Set,erpcore n400,AR+PSD+LDA,11,session_1,0.0,0.6007620076200763,0.6450762007620077,0.002823303583758497,2400
91,Single Session,Close Set,erpcore n400,AR+PSD+LDA,12,session_1,0.08666666666666667,0.775,0.775,0.01171104110374022,2400
92,Single Session,Close Set,erpcore n400,AR+PSD+LDA,13,session_1,0.06499999999999999,0.6666666666666666,0.6666666666666666,0.021839415828978283,2400
93,Single Session,Close Set,erpcore n400,AR+PSD+LDA,14,session_1,0.0033333333333333327,0.6562645126451264,0.6626264512645126,0.003847915385950599,2400
94,Single Session,Close Set,erpcore n400,AR+PSD+LDA,15,session_1,0.41,0.9,0.9,0.04739140966057391,2400
95,Single Session,Close Set,erpcore n400,AR+PSD+LDA,16,session_1,0.008333333333333331,0.4424081740817408,0.45674081740817407,0.005343453617291875,2400
96,Single Session,Close Set,erpcore n400,AR+PSD+LDA,17,session_1,0.0,0.24307458074580746,0.28080745807458074,0.0023110264058612486,2400
97,Single Session,Close Set,erpcore n400,AR+PSD+LDA,18,session_1,0.14833333333333332,0.7716666666666667,0.7716666666666667,0.02179677373366804,2400
