,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,erpcore n400,AR+PSD+SVM,1,session_1,0.2833333333333333,0.38333333333333336,0.38333333333333336,0.04542063889326005,2400
1,Single Session,Open Set,erpcore n400,AR+PSD+SVM,2,session_1,0.08333333333333331,0.2666666666666667,0.2666666666666667,0.04694492771012526,2400
2,Single Session,Open Set,erpcore n400,AR+PSD+SVM,3,session_1,0.04999999999999999,0.26666666666666666,0.26666666666666666,0.027872598186253896,2400
3,Single Session,Open Set,erpcore n400,AR+PSD+SVM,4,session_1,0.08333333333333334,0.13333333333333333,0.13333333333333333,0.01708914996733461,2400
4,Single Session,Open Set,erpcore n400,AR+PSD+SVM,5,session_1,0.08333333333333331,0.13333333333333333,0.13333333333333333,0.03625242501049853,2400
5,Single Session,Open Set,erpcore n400,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,2400
6,Single Session,Open Set,erpcore n400,AR+PSD+SVM,7,session_1,0.033333333333333326,0.06666666666666665,0.06666666666666665,0.013800568270442137,2400
7,Single Session,Open Set,erpcore n400,AR+PSD+SVM,8,session_1,0.09999999999999998,0.3666666666666667,0.3666666666666667,0.03792019152319223,2400
8,Single Session,Open Set,erpcore n400,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,2400
9,Single Session,Open Set,erpcore n400,AR+PSD+SVM,10,session_1,0.2333333333333333,0.4,0.4,0.0666666666666685,2400
10,Single Session,Open Set,erpcore n400,AR+PSD+SVM,11,session_1,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.01667416666666665,2400
11,Single Session,Open Set,erpcore n400,AR+PSD+SVM,12,session_1,0.04999999999999999,0.15,0.15,0.00963619813040182,2400
12,Single Session,Open Set,erpcore n400,AR+PSD+SVM,13,session_1,0.033333333333333326,0.08333333333333331,0.08333333333333331,0.033753274891515146,2400
13,Single Session,Open Set,erpcore n400,AR+PSD+SVM,14,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.033338333333333296,2400
14,Single Session,Open Set,erpcore n400,AR+PSD+SVM,15,session_1,0.15,0.30000000000000004,0.30000000000000004,0.04291561686801462,2400
15,Single Session,Open Set,erpcore n400,AR+PSD+SVM,16,session_1,0.016666666666666663,0.033333333333333326,0.033333333333333326,0.017089108224848507,2400
