,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,erpcore n400,siamese,1,session_1,0.0,0.0,0.0,0.0001,2400
1,Single Session,Close Set,erpcore n400,siamese,2,session_1,0.0,0.0,0.0,0.0001,2400
2,Single Session,Close Set,erpcore n400,siamese,3,session_1,0.0,0.0,0.0,0.0001,2400
3,Single Session,Close Set,erpcore n400,siamese,4,session_1,0.0,0.0,0.1333333333333333,0.003495106850409427,2400
4,Single Session,Close Set,erpcore n400,siamese,5,session_1,0.0,0.0,0.0,0.0001,2400
5,Single Session,Close Set,erpcore n400,siamese,6,session_1,0.0,0.0,0.0,0.0001,2400
6,Single Session,Close Set,erpcore n400,siamese,7,session_1,0.0,0.0,0.0,0.0001,2400
7,Single Session,Close Set,erpcore n400,siamese,8,session_1,0.0,0.0,0.0,0.0001,2400
8,Single Session,Close Set,erpcore n400,siamese,9,session_1,0.0,0.0,0.0,0.0001,2400
9,Single Session,Close Set,erpcore n400,siamese,10,session_1,0.0,0.0,0.06666666666666665,0.003495106850409427,2400
10,Single Session,Close Set,erpcore n400,siamese,11,session_1,0.0,0.0,0.0,0.0001,2400
11,Single Session,Close Set,erpcore n400,siamese,12,session_1,0.0,0.06666666666666665,0.06666666666666665,0.018873576992210903,2400
12,Single Session,Close Set,erpcore n400,siamese,13,session_1,0.0,0.0,0.06666666666666665,0.00689035350509287,2400
13,Single Session,Close Set,erpcore n400,siamese,14,session_1,0.0,0.0,0.0,0.0001,2400
14,Single Session,Close Set,erpcore n400,siamese,15,session_1,0.0,0.0,0.0,0.0001,2400
15,Single Session,Close Set,erpcore n400,siamese,16,session_1,0.0,0.0,0.0,0.0001,2400
16,Single Session,Close Set,erpcore n400,siamese,17,session_1,0.0,0.0,0.0,0.0001,2400
17,Single Session,Close Set,erpcore n400,siamese,18,session_1,0.0,0.0,0.0,0.0001,2400
18,Single Session,Close Set,erpcore n400,siamese,19,session_1,0.0,0.0,0.0,0.0001,2400
19,Single Session,Close Set,erpcore n400,siamese,20,session_1,0.0,0.0,0.0,0.0001,2400
20,Single Session,Close Set,erpcore n400,siamese,21,session_1,0.0,0.0,0.06666666666666665,0.0017974835230677054,2400
21,Single Session,Close Set,erpcore n400,siamese,22,session_1,0.0,0.0,0.0,0.0001,2400
22,Single Session,Close Set,erpcore n400,siamese,23,session_1,0.0,0.0,0.0,0.0001,2400
23,Single Session,Close Set,erpcore n400,siamese,24,session_1,0.0,0.0,0.0,0.0001,2400
24,Single Session,Close Set,erpcore n400,siamese,25,session_1,0.0,0.0,0.0,0.0001,2400
25,Single Session,Close Set,erpcore n400,siamese,26,session_1,0.0,0.0,0.0,0.0001,2400
26,Single Session,Close Set,erpcore n400,siamese,27,session_1,0.0,0.0,0.0,0.0001,2400
27,Single Session,Close Set,erpcore n400,siamese,28,session_1,0.0,0.0,0.0,0.0001,2400
28,Single Session,Close Set,erpcore n400,siamese,29,session_1,0.0,0.0,0.0,0.0001,2400
29,Single Session,Close Set,erpcore n400,siamese,30,session_1,0.0,0.0,0.0,0.0001,2400
30,Single Session,Close Set,erpcore n400,siamese,31,session_1,0.0,0.0,0.0,0.0001,2400
31,Single Session,Close Set,erpcore n400,siamese,32,session_1,0.0,0.0,0.0,0.0001,2400
32,Single Session,Close Set,erpcore n400,siamese,33,session_1,0.0,0.0,0.0,0.0001,2400
33,Single Session,Close Set,erpcore n400,siamese,34,session_1,0.0,0.0,0.0,0.0001,2400
34,Single Session,Close Set,erpcore n400,siamese,35,session_1,0.0,0.0,0.0,0.0001,2400
35,Single Session,Close Set,erpcore n400,siamese,36,session_1,0.0,0.0,0.0,0.0001,2400
36,Single Session,Close Set,erpcore n400,siamese,37,session_1,0.0,0.0,0.0,0.0001,2400
37,Single Session,Close Set,erpcore n400,siamese,38,session_1,0.0,0.0,0.0,0.0001,2400
38,Single Session,Close Set,erpcore n400,siamese,39,session_1,0.0,0.0,0.0,0.0001,2400
39,Single Session,Close Set,erpcore n400,siamese,40,session_1,0.0,0.0,0.0,0.0001,2400
