,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,erpcore p300,AR+PSD+SVM,1,session_1,0.08333333333333334,0.13888888888888892,0.13888888888888892,0.014288857091432685,1346,1
1,Single Session,Open Set,erpcore p300,AR+PSD+SVM,2,session_1,0.024999999999999994,0.15,0.15,0.010854097353278323,1346,1
2,Single Session,Open Set,erpcore p300,AR+PSD+SVM,3,session_1,0.08333333333333337,0.13888888888888892,0.13888888888888892,0.045951393186119724,1346,1
3,Single Session,Open Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.0625,0.0625,0.0015448922075454717,1346,1
4,Single Session,Open Set,erpcore p300,AR+PSD+SVM,5,session_1,0.024999999999999994,0.125,0.125,0.003867152631263186,1346,1
5,Single Session,Open Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346,1
6,Single Session,Open Set,erpcore p300,AR+PSD+SVM,7,session_1,0.0,0.0,0.0,1e-05,1346,1
7,Single Session,Open Set,erpcore p300,AR+PSD+SVM,8,session_1,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.053130749740021105,1346,1
8,Single Session,Open Set,erpcore p300,AR+PSD+SVM,9,session_1,0.03125,0.03125,0.03125,0.0037277380952380947,1346,1
9,Single Session,Open Set,erpcore p300,AR+PSD+SVM,10,session_1,1.0,1.0,1.0,0.17187106766432336,1346,1
10,Single Session,Open Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346,1
11,Single Session,Open Set,erpcore p300,AR+PSD+SVM,12,session_1,0.125,0.15625,0.15625,0.04445407606467555,1346,1
12,Single Session,Open Set,erpcore p300,AR+PSD+SVM,13,session_1,0.09375,0.125,0.125,0.06134070615056946,1346,1
13,Single Session,Open Set,erpcore p300,AR+PSD+SVM,14,session_1,0.0,0.03125,0.03125,0.000742448553601248,1346,1
14,Single Session,Open Set,erpcore p300,AR+PSD+SVM,15,session_1,0.175,0.22499999999999998,0.22499999999999998,0.095275905284437,1346,1
15,Single Session,Open Set,erpcore p300,AR+PSD+SVM,16,session_1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.004637083337499625,1346,1
16,Single Session,Open Set,erpcore p300,AR+PSD+SVM,17,session_1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.01724844831465168,1346,1
17,Single Session,Open Set,erpcore p300,AR+PSD+SVM,18,session_1,0.05555555555555558,0.16666666666666666,0.16666666666666666,0.03464222902167856,1346,1
18,Single Session,Open Set,erpcore p300,AR+PSD+SVM,19,session_1,0.15,0.3,0.3,0.0523825357967783,1346,1
19,Single Session,Open Set,erpcore p300,AR+PSD+SVM,20,session_1,0.30000000000000004,0.5249999999999999,0.5249999999999999,0.06170669662230466,1346,1
20,Single Session,Open Set,erpcore p300,AR+PSD+SVM,21,session_1,0.08333333333333334,0.1388888888888889,0.1388888888888889,0.0248055157587393,1346,1
21,Single Session,Open Set,erpcore p300,AR+PSD+SVM,22,session_1,0.14285714285714288,0.17857142857142858,0.17857142857142858,0.05923037489891021,1346,1
22,Single Session,Open Set,erpcore p300,AR+PSD+SVM,23,session_1,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.009361657900788928,1346,1
23,Single Session,Open Set,erpcore p300,AR+PSD+SVM,24,session_1,0.05555555555555558,0.19444444444444448,0.19444444444444448,0.034689791189381834,1346,1
24,Single Session,Open Set,erpcore p300,AR+PSD+SVM,25,session_1,0.14999999999999997,0.24999999999999997,0.24999999999999997,0.05614194722474368,1346,1
25,Single Session,Open Set,erpcore p300,AR+PSD+SVM,26,session_1,0.375,0.75,0.75,0.0794246017858345,1346,1
26,Single Session,Open Set,erpcore p300,AR+PSD+SVM,27,session_1,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.011739296092234468,1346,1
27,Single Session,Open Set,erpcore p300,AR+PSD+SVM,28,session_1,0.25,0.39999999999999997,0.39999999999999997,0.10000000000000199,1346,1
28,Single Session,Open Set,erpcore p300,AR+PSD+SVM,29,session_1,0.09999999999999998,0.19999999999999998,0.19999999999999998,0.0447582217600416,1346,1
29,Single Session,Open Set,erpcore p300,AR+PSD+SVM,30,session_1,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.015876101117303493,1346,1
30,Single Session,Open Set,erpcore p300,AR+PSD+SVM,31,session_1,0.0,0.0,0.0,1e-05,1346,1
31,Single Session,Open Set,erpcore p300,AR+PSD+SVM,32,session_1,0.11111111111111113,0.22222222222222224,0.22222222222222224,0.03958996626802727,1346,1
32,Single Session,Open Set,erpcore p300,AR+PSD+SVM,33,session_1,0.125,0.275,0.275,0.07655989885755059,1346,1
33,Single Session,Open Set,erpcore p300,AR+PSD+SVM,34,session_1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.02084177080052198,1346,1
34,Single Session,Open Set,erpcore p300,AR+PSD+SVM,35,session_1,0.08333333333333331,0.29166666666666663,0.29166666666666663,0.06148817584120792,1346,1
