,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,erpcore p300,AR+PSD+SVM,1,session_1,0.11111111111111113,0.16666666666666669,0.16666666666666669,0.017548596312295016,1346,1.0
1,Single Session,Open Set,erpcore p300,AR+PSD+SVM,2,session_1,0.0,0.07499999999999998,0.07499999999999998,0.003862152631263186,1346,1.0
2,Single Session,Open Set,erpcore p300,AR+PSD+SVM,3,session_1,0.11111111111111113,0.16666666666666669,0.16666666666666669,0.06094262479001686,1346,1.0
3,Single Session,Open Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.0,0.0,1e-05,1346,1.0
4,Single Session,Open Set,erpcore p300,AR+PSD+SVM,5,session_1,0.04999999999999999,0.175,0.175,0.008484236868681818,1346,1.0
5,Single Session,Open Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346,1.0
6,Single Session,Open Set,erpcore p300,AR+PSD+SVM,7,session_1,0.05555555555555558,0.08333333333333337,0.08333333333333337,0.0576778859691225,1346,1.0
7,Single Session,Open Set,erpcore p300,AR+PSD+SVM,8,session_1,0.0,0.08333333333333334,0.08333333333333334,0.0015373776097912166,1346,1.0
8,Single Session,Open Set,erpcore p300,AR+PSD+SVM,9,session_1,0.03125,0.03125,0.03125,0.011739178782485227,1346,1.0
9,Single Session,Open Set,erpcore p300,AR+PSD+SVM,10,session_1,0.75,0.875,0.875,0.1850281497185028,1346,1.0
10,Single Session,Open Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346,1.0
11,Single Session,Open Set,erpcore p300,AR+PSD+SVM,12,session_1,0.03125,0.0625,0.0625,0.023835831841771075,1346,1.0
12,Single Session,Open Set,erpcore p300,AR+PSD+SVM,13,session_1,0.03125,0.125,0.125,0.010684252452328338,1346,1.0
13,Single Session,Open Set,erpcore p300,AR+PSD+SVM,14,session_1,0.03125,0.0625,0.0625,0.005442119576629636,1346,1.0
14,Single Session,Open Set,erpcore p300,AR+PSD+SVM,15,session_1,0.19999999999999998,0.22499999999999998,0.22499999999999998,0.08089946904778637,1346,1.0
15,Single Session,Open Set,erpcore p300,AR+PSD+SVM,16,session_1,0.0,0.0,0.0,1e-05,1346,1.0
16,Single Session,Open Set,erpcore p300,AR+PSD+SVM,17,session_1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.016466018733314,1346,1.0
17,Single Session,Open Set,erpcore p300,AR+PSD+SVM,18,session_1,0.16666666666666669,0.25,0.25,0.09256509479241655,1346,1.0
18,Single Session,Open Set,erpcore p300,AR+PSD+SVM,19,session_1,0.04999999999999999,0.25,0.25,0.010011703669231493,1346,1.0
19,Single Session,Open Set,erpcore p300,AR+PSD+SVM,20,session_1,0.325,0.375,0.375,0.10165010171592392,1346,1.0
20,Single Session,Open Set,erpcore p300,AR+PSD+SVM,21,session_1,0.11111111111111113,0.13888888888888892,0.13888888888888892,0.03325733961283098,1346,1.0
21,Single Session,Open Set,erpcore p300,AR+PSD+SVM,22,session_1,0.035714285714285726,0.2142857142857143,0.2142857142857143,0.02219119536511092,1346,1.0
22,Single Session,Open Set,erpcore p300,AR+PSD+SVM,23,session_1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.004432101785839275,1346,1.0
23,Single Session,Open Set,erpcore p300,AR+PSD+SVM,24,session_1,0.19444444444444445,0.2777777777777778,0.2777777777777778,0.02933789548488013,1346,1.0
24,Single Session,Open Set,erpcore p300,AR+PSD+SVM,25,session_1,0.15,0.19999999999999998,0.19999999999999998,0.05011049028087472,1346,1.0
25,Single Session,Open Set,erpcore p300,AR+PSD+SVM,26,session_1,0.375,0.775,0.775,0.08327993917309973,1346,1.0
26,Single Session,Open Set,erpcore p300,AR+PSD+SVM,27,session_1,0.0,0.17857142857142858,0.17857142857142858,0.0022898886310390287,1346,1.0
27,Single Session,Open Set,erpcore p300,AR+PSD+SVM,28,session_1,0.225,0.275,0.275,0.12500000000000067,1346,1.0
28,Single Session,Open Set,erpcore p300,AR+PSD+SVM,29,session_1,0.12499999999999997,0.175,0.175,0.07808722215000652,1346,1.0
29,Single Session,Open Set,erpcore p300,AR+PSD+SVM,30,session_1,0.0,0.02777777777777779,0.02777777777777779,0.0007699390048796097,1346,1.0
30,Single Session,Open Set,erpcore p300,AR+PSD+SVM,31,session_1,0.0,0.0,0.0,1e-05,1346,1.0
31,Single Session,Open Set,erpcore p300,AR+PSD+SVM,32,session_1,0.36111111111111116,0.4722222222222222,0.4722222222222222,0.08337333013358991,1346,1.0
32,Single Session,Open Set,erpcore p300,AR+PSD+SVM,33,session_1,0.09999999999999998,0.175,0.175,0.05156985893769693,1346,1.0
33,Single Session,Open Set,erpcore p300,AR+PSD+SVM,34,session_1,0.02777777777777779,0.08333333333333337,0.08333333333333337,0.016963643108551318,1346,1.0
34,Single Session,Open Set,erpcore p300,AR+PSD+SVM,35,session_1,0.08333333333333334,0.20833333333333334,0.20833333333333334,0.009917004524773761,1346,1.0
35,Single Session,Open Set,erpcore p300,AR+PSD+SVM,36,session_1,0.0,0.0,0.0,1e-05,1346,1.0
36,Single Session,Open Set,erpcore p300,AR+PSD+SVM,37,session_1,0.12499999999999997,0.17499999999999996,0.17499999999999996,0.05553000229979302,1346,1.0
37,Single Session,Open Set,erpcore p300,AR+PSD+SVM,38,session_1,0.22222222222222224,0.3055555555555556,0.3055555555555556,0.06324994020478394,1346,1.0
38,Single Session,Open Set,erpcore p300,AR+PSD+SVM,39,session_1,0.275,0.375,0.375,0.04000175999986298,1346,1.0
39,Single Session,Open Set,erpcore p300,AR+PSD+SVM,40,session_1,0.0,0.0,0.0,1e-05,1346,1.0
40,Single Session,Open Set,erpcore p300,AR+PSD+LR,1,session_1,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.007381910047196224,1346,1.0
41,Single Session,Open Set,erpcore p300,AR+PSD+LR,2,session_1,0.275,0.6,0.6,0.013811257211850933,1346,1.0
42,Single Session,Open Set,erpcore p300,AR+PSD+LR,3,session_1,0.02777777777777779,0.38888888888888895,0.38888888888888895,0.006782051384014316,1346,1.0
43,Single Session,Open Set,erpcore p300,AR+PSD+LR,4,session_1,0.15625,0.25,0.25,0.003114981355111869,1346,1.0
44,Single Session,Open Set,erpcore p300,AR+PSD+LR,5,session_1,0.3,0.675,0.675,0.021418225953529425,1346,1.0
45,Single Session,Open Set,erpcore p300,AR+PSD+LR,6,session_1,0.0,0.25,0.25,0.0007675000000000001,1346,1.0
46,Single Session,Open Set,erpcore p300,AR+PSD+LR,7,session_1,0.0,0.25,0.25,0.0023524812401500787,1346,1.0
47,Single Session,Open Set,erpcore p300,AR+PSD+LR,8,session_1,0.11111111111111113,0.6388888888888888,0.6388888888888888,0.026852961473866458,1346,1.0
48,Single Session,Open Set,erpcore p300,AR+PSD+LR,9,session_1,0.0,0.4375,0.4375,0.0022999847501524984,1346,1.0
49,Single Session,Open Set,erpcore p300,AR+PSD+LR,10,session_1,0.875,1.0,1.0,0.04302456975430245,1346,1.0
50,Single Session,Open Set,erpcore p300,AR+PSD+LR,11,session_1,0.0,0.25,0.25,0.0022273002179803818,1346,1.0
51,Single Session,Open Set,erpcore p300,AR+PSD+LR,12,session_1,0.25,0.4375,0.4375,0.01627390980102113,1346,1.0
52,Single Session,Open Set,erpcore p300,AR+PSD+LR,13,session_1,0.09375,0.28125,0.28125,0.042709198031137825,1346,1.0
53,Single Session,Open Set,erpcore p300,AR+PSD+LR,14,session_1,0.25,0.25,0.25,0.010101793399462038,1346,1.0
54,Single Session,Open Set,erpcore p300,AR+PSD+LR,15,session_1,0.14999999999999997,0.475,0.475,0.031009856607005604,1346,1.0
55,Single Session,Open Set,erpcore p300,AR+PSD+LR,16,session_1,0.475,0.675,0.675,0.017273839366209263,1346,1.0
56,Single Session,Open Set,erpcore p300,AR+PSD+LR,17,session_1,0.0,0.15,0.15,0.0007749948833674442,1346,1.0
57,Single Session,Open Set,erpcore p300,AR+PSD+LR,18,session_1,0.05555555555555558,0.6388888888888888,0.6388888888888888,0.04722634509239261,1346,1.0
58,Single Session,Open Set,erpcore p300,AR+PSD+LR,19,session_1,0.825,0.95,0.95,0.062188249854286975,1346,1.0
59,Single Session,Open Set,erpcore p300,AR+PSD+LR,20,session_1,0.5,0.625,0.625,0.05389884414623482,1346,1.0
60,Single Session,Open Set,erpcore p300,AR+PSD+LR,21,session_1,0.05555555555555558,0.13888888888888892,0.13888888888888892,0.010806635469162468,1346,1.0
61,Single Session,Open Set,erpcore p300,AR+PSD+LR,22,session_1,0.1428571428571429,0.6428571428571428,0.6428571428571428,0.06222376657400556,1346,1.0
62,Single Session,Open Set,erpcore p300,AR+PSD+LR,23,session_1,0.024999999999999994,0.375,0.375,0.010109145713556105,1346,1.0
63,Single Session,Open Set,erpcore p300,AR+PSD+LR,24,session_1,0.4444444444444444,0.8611111111111112,0.8611111111111112,0.05705543556515483,1346,1.0
64,Single Session,Open Set,erpcore p300,AR+PSD+LR,25,session_1,0.225,0.6000000000000001,0.6000000000000001,0.0486281234688878,1346,1.0
65,Single Session,Open Set,erpcore p300,AR+PSD+LR,26,session_1,0.525,0.875,0.875,0.0985408813206818,1346,1.0
66,Single Session,Open Set,erpcore p300,AR+PSD+LR,27,session_1,0.6428571428571428,0.8214285714285714,0.8214285714285714,0.048649850463201305,1346,1.0
67,Single Session,Open Set,erpcore p300,AR+PSD+LR,28,session_1,0.47500000000000003,0.6,0.6,0.0924114329710326,1346,1.0
68,Single Session,Open Set,erpcore p300,AR+PSD+LR,29,session_1,0.775,0.9,0.9,0.09590861822436048,1346,1.0
69,Single Session,Open Set,erpcore p300,AR+PSD+LR,30,session_1,0.25,0.5,0.5,0.008186939192989597,1346,1.0
70,Single Session,Open Set,erpcore p300,AR+PSD+LR,31,session_1,0.0,0.0,0.0,1e-05,1346,1.0
71,Single Session,Open Set,erpcore p300,AR+PSD+LR,32,session_1,0.41666666666666663,0.6666666666666666,0.6666666666666666,0.07247170226381888,1346,1.0
72,Single Session,Open Set,erpcore p300,AR+PSD+LR,33,session_1,0.85,1.0,1.0,0.10850998410142851,1346,1.0
73,Single Session,Open Set,erpcore p300,AR+PSD+LR,34,session_1,0.2777777777777778,0.4722222222222222,0.4722222222222222,0.02755779557635389,1346,1.0
74,Single Session,Open Set,erpcore p300,AR+PSD+LR,35,session_1,0.5833333333333334,0.7916666666666666,0.7916666666666666,0.07759862006899654,1346,1.0
75,Single Session,Open Set,erpcore p300,AR+PSD+LR,36,session_1,0.225,0.5,0.5,0.018350981611654948,1346,1.0
76,Single Session,Open Set,erpcore p300,AR+PSD+LR,37,session_1,0.4,0.575,0.575,0.0377191055055045,1346,1.0
77,Single Session,Open Set,erpcore p300,AR+PSD+LR,38,session_1,0.5277777777777778,0.8611111111111112,0.8611111111111112,0.07753392973297242,1346,1.0
78,Single Session,Open Set,erpcore p300,AR+PSD+LR,39,session_1,0.25,0.625,0.625,0.03532946694198676,1346,1.0
79,Single Session,Open Set,erpcore p300,AR+PSD+LR,40,session_1,0.5,1.0,1.0,0.03262480803967209,1346,1.0
80,Single Session,Open Set,erpcore p300,AR+PSD+LDA,1,session_1,0.08333333333333334,0.23430539860954164,0.24843053986095417,0.003694705023598112,1346,1.0
81,Single Session,Open Set,erpcore p300,AR+PSD+LDA,2,session_1,0.40869983699837,0.8233699836998369,0.8248369983699837,0.02998433743095069,1346,1.0
82,Single Session,Open Set,erpcore p300,AR+PSD+LDA,3,session_1,0.11111111111111113,0.907499630551861,0.9407499630551861,0.012264107219655464,1346,1.0
83,Single Session,Open Set,erpcore p300,AR+PSD+LDA,4,session_1,0.1875,0.40121869968699686,0.4057468699686997,0.013894027418080733,1346,1.0
84,Single Session,Open Set,erpcore p300,AR+PSD+LDA,5,session_1,0.3964782256518217,0.7411727378143347,0.7491172737814334,0.03612621127668517,1346,1.0
85,Single Session,Open Set,erpcore p300,AR+PSD+LDA,6,session_1,0.0,0.4153741537415374,0.49153741537415374,0.0029535096715297905,1346,1.0
