,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Epochs_Interval
0,Single Session,Open Set,erpcore p300,siamese,6,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
1,Single Session,Open Set,erpcore p300,siamese,14,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
2,Single Session,Open Set,erpcore p300,siamese,16,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
3,Single Session,Open Set,erpcore p300,siamese,18,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
4,Single Session,Open Set,erpcore p300,siamese,20,session_1,0.02631578947368418,0.02631578947368418,0.02631578947368418,0.026315789473684313,1346,1.5999999999999999
5,Single Session,Open Set,erpcore p300,siamese,24,session_1,0.0,0.2857142857142857,0.7714285714285715,0.057142857142857044,1346,1.5999999999999999
6,Single Session,Open Set,erpcore p300,siamese,26,session_1,0.0,0.26315789473684215,0.6578947368421053,0.0517069275304452,1346,1.5999999999999999
7,Single Session,Open Set,erpcore p300,siamese,29,session_1,0.0,0.2432432432432432,0.5675675675675675,0.02702702702703957,1346,1.5999999999999999
8,Single Session,Open Set,erpcore p300,siamese,30,session_1,0.0,0.030303030303030276,0.030303030303030276,0.010167464114832535,1346,1.5999999999999999
9,Single Session,Open Set,erpcore p300,siamese,33,session_1,0.0,0.125,0.30000000000000004,0.025000000000016193,1346,1.5999999999999999
10,Single Session,Open Set,erpcore p300,siamese,1,session_1,0.0,0.0,0.02857142857142858,0.0032888180187362966,1346,1.5999999999999999
11,Single Session,Open Set,erpcore p300,siamese,3,session_1,0.0,0.36363636363636365,0.7878787878787878,0.06060606060606352,1346,1.5999999999999999
12,Single Session,Open Set,erpcore p300,siamese,5,session_1,0.02631578947368418,0.4473684210526315,0.6842105263157895,0.05263157894736846,1346,1.5999999999999999
13,Single Session,Open Set,erpcore p300,siamese,8,session_1,0.02941176470588236,0.05882352941176472,0.20588235294117652,0.029411764705891186,1346,1.5999999999999999
14,Single Session,Open Set,erpcore p300,siamese,17,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
15,Single Session,Open Set,erpcore p300,siamese,19,session_1,0.0,0.1282051282051282,0.33333333333333337,0.05128205128205131,1346,1.5999999999999999
16,Single Session,Open Set,erpcore p300,siamese,22,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
17,Single Session,Open Set,erpcore p300,siamese,27,session_1,0.0,0.03703703703703709,0.11111111111111116,0.01246758428086974,1346,1.5999999999999999
18,Single Session,Open Set,erpcore p300,siamese,34,session_1,0.0,0.19444444444444442,0.2777777777777778,0.03218734429496761,1346,1.5999999999999999
19,Single Session,Open Set,erpcore p300,siamese,36,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
20,Single Session,Open Set,erpcore p300,siamese,9,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
21,Single Session,Open Set,erpcore p300,siamese,10,session_1,0.125,0.375,0.625,0.1250000000000003,1346,1.5999999999999999
22,Single Session,Open Set,erpcore p300,siamese,12,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
23,Single Session,Open Set,erpcore p300,siamese,15,session_1,0.02631578947368418,0.10526315789473684,0.21052631578947367,0.05263157894697006,1346,1.5999999999999999
24,Single Session,Open Set,erpcore p300,siamese,23,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
25,Single Session,Open Set,erpcore p300,siamese,25,session_1,0.0,0.17948717948717952,0.4871794871794872,0.05499103407053198,1346,1.5999999999999999
26,Single Session,Open Set,erpcore p300,siamese,31,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
27,Single Session,Open Set,erpcore p300,siamese,32,session_1,0.02857142857142858,0.1428571428571429,0.2857142857142857,0.05714285714302893,1346,1.5999999999999999
28,Single Session,Open Set,erpcore p300,siamese,37,session_1,0.0,0.027027027027026973,0.08108108108108103,0.010263053009166998,1346,1.5999999999999999
29,Single Session,Open Set,erpcore p300,siamese,38,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
30,Single Session,Open Set,erpcore p300,siamese,2,session_1,0.0,0.0,0.05128205128205132,0.0033937216150122275,1346,1.5999999999999999
31,Single Session,Open Set,erpcore p300,siamese,4,session_1,0.0,0.06666666666666665,0.06666666666666665,0.02572539635058331,1346,1.5999999999999999
32,Single Session,Open Set,erpcore p300,siamese,7,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
33,Single Session,Open Set,erpcore p300,siamese,11,session_1,0.0,0.05128205128205132,0.05128205128205132,0.01327544043519489,1346,1.5999999999999999
34,Single Session,Open Set,erpcore p300,siamese,13,session_1,0.0,0.06666666666666665,0.06666666666666665,0.04506929903280486,1346,1.5999999999999999
35,Single Session,Open Set,erpcore p300,siamese,21,session_1,0.0,0.11428571428571432,0.1428571428571429,0.0285714285714386,1346,1.5999999999999999
36,Single Session,Open Set,erpcore p300,siamese,28,session_1,0.027027027027026973,0.1351351351351351,0.2432432432432432,0.06573496381332669,1346,1.5999999999999999
37,Single Session,Open Set,erpcore p300,siamese,35,session_1,0.0,0.0,0.1428571428571429,0.0031980811513092145,1346,1.5999999999999999
38,Single Session,Open Set,erpcore p300,siamese,39,session_1,0.0,0.0,0.0,0.0001,1346,1.5999999999999999
39,Single Session,Open Set,erpcore p300,siamese,40,session_1,0.0,0.0,0.23684210526315785,0.003298937009185929,1346,1.5999999999999999
