,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,erpcore p300,AR+PSD+SVM,1,session_1,0.1388888888888889,0.16666666666666669,0.16666666666666669,0.01420136409087273,1346,0
1,Single Session,Open Set,erpcore p300,AR+PSD+SVM,2,session_1,0.04999999999999999,0.09999999999999998,0.09999999999999998,0.034396654526093313,1346,0
2,Single Session,Open Set,erpcore p300,AR+PSD+SVM,3,session_1,0.05555555555555558,0.25,0.25,0.03459486605603796,1346,0
3,Single Session,Open Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.03125,0.03125,0.0007849455788094833,1346,0
4,Single Session,Open Set,erpcore p300,AR+PSD+SVM,5,session_1,0.0,0.04999999999999999,0.04999999999999999,0.003079723274905258,1346,0
5,Single Session,Open Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346,0
6,Single Session,Open Set,erpcore p300,AR+PSD+SVM,7,session_1,0.0,0.0,0.0,1e-05,1346,0
7,Single Session,Open Set,erpcore p300,AR+PSD+SVM,8,session_1,0.08333333333333337,0.11111111111111113,0.11111111111111113,0.061712563194944996,1346,0
8,Single Session,Open Set,erpcore p300,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,1346,0
9,Single Session,Open Set,erpcore p300,AR+PSD+SVM,10,session_1,0.875,1.0,1.0,0.2560511894881051,1346,0
10,Single Session,Open Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346,0
11,Single Session,Open Set,erpcore p300,AR+PSD+SVM,12,session_1,0.0625,0.09375,0.09375,0.017416281035327524,1346,0
12,Single Session,Open Set,erpcore p300,AR+PSD+SVM,13,session_1,0.0625,0.25,0.25,0.04270169855610107,1346,0
13,Single Session,Open Set,erpcore p300,AR+PSD+SVM,14,session_1,0.0,0.03125,0.03125,0.000742448553601248,1346,0
14,Single Session,Open Set,erpcore p300,AR+PSD+SVM,15,session_1,0.15,0.275,0.275,0.058386995170434663,1346,0
15,Single Session,Open Set,erpcore p300,AR+PSD+SVM,16,session_1,0.024999999999999994,0.04999999999999999,0.04999999999999999,0.008914198172164505,1346,0
16,Single Session,Open Set,erpcore p300,AR+PSD+SVM,17,session_1,0.024999999999999994,0.04999999999999999,0.04999999999999999,0.004692078162965333,1346,0
17,Single Session,Open Set,erpcore p300,AR+PSD+SVM,18,session_1,0.08333333333333334,0.1111111111111111,0.1111111111111111,0.05556055555555588,1346,0
18,Single Session,Open Set,erpcore p300,AR+PSD+SVM,19,session_1,0.024999999999999994,0.275,0.275,0.009151728676531362,1346,0
19,Single Session,Open Set,erpcore p300,AR+PSD+SVM,20,session_1,0.32499999999999996,0.35,0.35,0.0649836514713689,1346,0
