,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,erpcore p300,siamese,2,session_1,0.0,0.1282051282051282,0.1282051282051282,0.03546523211795178,724,150
1,Single Session,Open Set,erpcore p300,siamese,5,session_1,0.0,1.0,1.0,0.052068758744753155,724,150
2,Single Session,Open Set,erpcore p300,siamese,21,session_1,0.0,0.0,0.0,0.0001,724,150
3,Single Session,Open Set,erpcore p300,siamese,24,session_1,0.0,0.23809523809523814,0.4285714285714286,0.05039920159680639,724,150
4,Single Session,Open Set,erpcore p300,siamese,28,session_1,0.0,1.0,1.0,0.058479824210946864,724,150
5,Single Session,Open Set,erpcore p300,siamese,29,session_1,0.27586206896551724,0.7931034482758621,0.9310344827586207,0.1523443351475508,724,150
6,Single Session,Open Set,erpcore p300,siamese,35,session_1,0.0,0.16666666666666663,0.5,0.023873738887224057,724,150
7,Single Session,Open Set,erpcore p300,siamese,40,session_1,0.032258064516129004,0.8064516129032258,0.8709677419354839,0.0805332268211094,724,150
8,Single Session,Open Set,erpcore p300,siamese,3,session_1,0.11111111111111116,0.5555555555555556,1.0,0.11111111111111116,724,150
9,Single Session,Open Set,erpcore p300,siamese,6,session_1,0.0,0.0,0.0,0.0001,724,150
10,Single Session,Open Set,erpcore p300,siamese,12,session_1,0.16666666666666663,0.3666666666666667,0.5666666666666667,0.11107787416492174,724,150
11,Single Session,Open Set,erpcore p300,siamese,17,session_1,0.0,0.0,0.0,0.0001,724,150
12,Single Session,Open Set,erpcore p300,siamese,19,session_1,0.15384615384615385,0.7435897435897436,1.0,0.11803164146329291,724,150
13,Single Session,Open Set,erpcore p300,siamese,25,session_1,0.5238095238095238,0.9047619047619048,0.9047619047619048,0.28571428571414725,724,150
14,Single Session,Open Set,erpcore p300,siamese,27,session_1,0.12,0.64,0.6799999999999999,0.1075418994413408,724,150
15,Single Session,Open Set,erpcore p300,siamese,32,session_1,0.19999999999999996,0.6,0.6,0.11235505797680928,724,150
16,Single Session,Open Set,erpcore p300,siamese,38,session_1,0.09999999999999998,0.23333333333333328,0.23333333333333328,0.10000000000025115,724,150
17,Single Session,Open Set,erpcore p300,siamese,7,session_1,0.0,0.0,0.0,0.0001,724,150
18,Single Session,Open Set,erpcore p300,siamese,11,session_1,0.0,0.2647058823529411,0.2941176470588235,0.027509219575401176,724,150
19,Single Session,Open Set,erpcore p300,siamese,16,session_1,0.0,0.0,0.0,0.0001,724,150
20,Single Session,Open Set,erpcore p300,siamese,22,session_1,0.0,0.03703703703703709,0.03703703703703709,0.026331538001196888,724,150
21,Single Session,Open Set,erpcore p300,siamese,26,session_1,0.0,0.21739130434782605,0.30434782608695654,0.04347826086956227,724,150
22,Single Session,Open Set,erpcore p300,siamese,30,session_1,0.0,0.0,0.0,0.0001,724,150
23,Single Session,Open Set,erpcore p300,siamese,33,session_1,0.0,0.0,0.11764705882352944,0.006195353484886336,724,150
24,Single Session,Open Set,erpcore p300,siamese,37,session_1,0.16666666666666663,0.33333333333333337,0.33333333333333337,0.10984507746126937,724,150
25,Single Session,Open Set,erpcore p300,siamese,1,session_1,0.0,0.0357142857142857,0.1785714285714286,0.01944749177221502,724,150
26,Single Session,Open Set,erpcore p300,siamese,8,session_1,0.1428571428571429,0.5714285714285714,0.5714285714285714,0.14285714285714302,724,150
27,Single Session,Open Set,erpcore p300,siamese,10,session_1,0.25,0.25,0.25,0.2500000000001327,724,150
28,Single Session,Open Set,erpcore p300,siamese,13,session_1,0.0,0.03703703703703709,0.18518518518518523,0.037037037036794805,724,150
29,Single Session,Open Set,erpcore p300,siamese,14,session_1,0.0,0.05882352941176472,0.05882352941176472,0.058823529411844405,724,150
30,Single Session,Open Set,erpcore p300,siamese,15,session_1,0.11428571428571432,0.6,0.6,0.10882044626366495,724,150
31,Single Session,Open Set,erpcore p300,siamese,20,session_1,0.0,0.6,0.6,0.067888899990009,724,150
32,Single Session,Open Set,erpcore p300,siamese,31,session_1,0.0,0.4444444444444444,0.5555555555555556,0.04046762589928058,724,150
33,Single Session,Open Set,erpcore p300,siamese,34,session_1,0.02857142857142858,0.11428571428571432,0.11428571428571432,0.047638030695634846,724,150
