,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,erpcore p300,AR+SVM,1,session_1,0.3888888888888889,0.638888888888889,0.638888888888889,0.09152107434519119,1346,1
1,Single Session,Open Set,erpcore p300,AR+SVM,2,session_1,0.575,0.775,0.775,0.15000000000019556,1346,1
2,Single Session,Open Set,erpcore p300,AR+SVM,3,session_1,0.7777777777777778,1.0,1.0,0.19989900807935362,1346,1
3,Single Session,Open Set,erpcore p300,AR+SVM,4,session_1,0.1875,0.375,0.375,0.0571931839771216,1346,1
4,Single Session,Open Set,erpcore p300,AR+SVM,5,session_1,0.5,0.825,0.825,0.12918901606783206,1346,1
5,Single Session,Open Set,erpcore p300,AR+SVM,6,session_1,0.25,1.0,1.0,0.012639873601263986,1346,1
6,Single Session,Open Set,erpcore p300,AR+SVM,7,session_1,0.19444444444444448,0.41666666666666674,0.41666666666666674,0.10045196384289254,1346,1
7,Single Session,Open Set,erpcore p300,AR+SVM,8,session_1,0.7222222222222222,0.8333333333333333,0.8333333333333333,0.22035987121030443,1346,1
8,Single Session,Open Set,erpcore p300,AR+SVM,9,session_1,0.25,0.28125,0.28125,0.04727419115661904,1346,1
9,Single Session,Open Set,erpcore p300,AR+SVM,10,session_1,1.0,1.0,1.0,0.47470650293497063,1346,1
10,Single Session,Open Set,erpcore p300,AR+SVM,11,session_1,0.55,0.6749999999999999,0.6749999999999999,0.22927386535223487,1346,1
11,Single Session,Open Set,erpcore p300,AR+SVM,12,session_1,0.46875,0.5625,0.5625,0.12500000000000017,1346,1
12,Single Session,Open Set,erpcore p300,AR+SVM,13,session_1,0.40625,0.71875,0.71875,0.16827728309018375,1346,1
13,Single Session,Open Set,erpcore p300,AR+SVM,14,session_1,0.25,0.40625,0.40625,0.042971991960562755,1346,1
14,Single Session,Open Set,erpcore p300,AR+SVM,15,session_1,0.575,0.75,0.75,0.12223849853513316,1346,1
15,Single Session,Open Set,erpcore p300,AR+SVM,16,session_1,0.275,0.30000000000000004,0.30000000000000004,0.08440415362616821,1346,1
16,Single Session,Open Set,erpcore p300,AR+SVM,17,session_1,0.39999999999999997,0.525,0.525,0.09032662060414628,1346,1
17,Single Session,Open Set,erpcore p300,AR+SVM,18,session_1,0.47222222222222227,0.6666666666666666,0.6666666666666666,0.11504829613630912,1346,1
18,Single Session,Open Set,erpcore p300,AR+SVM,19,session_1,0.475,0.8500000000000001,0.8500000000000001,0.16220190182895122,1346,1
19,Single Session,Open Set,erpcore p300,AR+SVM,20,session_1,0.575,0.875,0.875,0.15172584467397932,1346,1
20,Single Session,Open Set,erpcore p300,AR+SVM,21,session_1,0.6388888888888888,0.6944444444444444,0.6944444444444444,0.22222222222222326,1346,1
21,Single Session,Open Set,erpcore p300,AR+SVM,22,session_1,0.35714285714285715,0.5,0.5,0.14361959710983896,1346,1
22,Single Session,Open Set,erpcore p300,AR+SVM,23,session_1,0.44999999999999996,0.825,0.825,0.15293298603133487,1346,1
23,Single Session,Open Set,erpcore p300,AR+SVM,24,session_1,0.6388888888888888,0.8055555555555556,0.8055555555555556,0.1653917686585084,1346,1
24,Single Session,Open Set,erpcore p300,AR+SVM,25,session_1,0.675,0.8170249202492025,0.8242024920249202,0.1555102540772114,1346,1
25,Single Session,Open Set,erpcore p300,AR+SVM,26,session_1,0.925,1.0,1.0,0.34268740813320386,1346,1
26,Single Session,Open Set,erpcore p300,AR+SVM,27,session_1,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.09548069972944484,1346,1
27,Single Session,Open Set,erpcore p300,AR+SVM,28,session_1,0.45000000000000007,0.5249999999999999,0.5249999999999999,0.21430771230597015,1346,1
28,Single Session,Open Set,erpcore p300,AR+SVM,29,session_1,0.5499999999999999,0.825,0.825,0.20478506934403098,1346,1
29,Single Session,Open Set,erpcore p300,AR+SVM,30,session_1,0.6944444444444444,0.9166666666666666,0.9166666666666666,0.137676485881022,1346,1
30,Single Session,Open Set,erpcore p300,AR+SVM,31,session_1,0.125,0.175,0.175,0.07585046220685211,1346,1
31,Single Session,Open Set,erpcore p300,AR+SVM,32,session_1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.22553695704343654,1346,1
32,Single Session,Open Set,erpcore p300,AR+SVM,33,session_1,0.75,0.8500000000000001,0.8500000000000001,0.21583157515842802,1346,1
33,Single Session,Open Set,erpcore p300,AR+SVM,34,session_1,0.3055555555555556,0.4444444444444445,0.4444444444444445,0.10364420846332327,1346,1
34,Single Session,Open Set,erpcore p300,AR+SVM,35,session_1,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.24585770711464178,1346,1
35,Single Session,Open Set,erpcore p300,AR+SVM,36,session_1,0.15,0.4,0.4,0.08048700616944543,1346,1
36,Single Session,Open Set,erpcore p300,AR+SVM,37,session_1,0.85,0.925,0.925,0.3014788390781096,1346,1
37,Single Session,Open Set,erpcore p300,AR+SVM,38,session_1,0.5555555555555556,0.7777777777777777,0.7777777777777777,0.15319762651899774,1346,1
38,Single Session,Open Set,erpcore p300,AR+SVM,39,session_1,0.375,0.675,0.675,0.16504164625183798,1346,1
39,Single Session,Open Set,erpcore p300,AR+SVM,40,session_1,0.7000000000000001,0.825,0.825,0.16037481626665256,1346,1
40,Single Session,Open Set,erpcore p300,AR+LR,1,session_1,0.22222222222222224,0.5277777777777778,0.5277777777777778,0.04300155987520998,1346,1
41,Single Session,Open Set,erpcore p300,AR+LR,2,session_1,0.8500000000000001,0.95,0.95,0.13482511573958106,1346,1
42,Single Session,Open Set,erpcore p300,AR+LR,3,session_1,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.2630489560834056,1346,1
43,Single Session,Open Set,erpcore p300,AR+LR,4,session_1,0.34375,0.71875,0.71875,0.07528941724079315,1346,1
44,Single Session,Open Set,erpcore p300,AR+LR,5,session_1,0.625,0.825,0.825,0.14424601785839203,1346,1
45,Single Session,Open Set,erpcore p300,AR+LR,6,session_1,0.125,0.625,0.625,0.006112446125538744,1346,1
46,Single Session,Open Set,erpcore p300,AR+LR,7,session_1,0.25,0.5833333333333334,0.5833333333333334,0.03933185345172386,1346,1
47,Single Session,Open Set,erpcore p300,AR+LR,8,session_1,0.8611111111111112,0.9166666666666666,0.9166666666666666,0.2663086953044115,1346,1
48,Single Session,Open Set,erpcore p300,AR+LR,9,session_1,0.28125,0.46875,0.46875,0.053356265061445696,1346,1
49,Single Session,Open Set,erpcore p300,AR+LR,10,session_1,1.0,1.0,1.0,0.43844936550634495,1346,1
50,Single Session,Open Set,erpcore p300,AR+LR,11,session_1,0.7999999999999999,0.925,0.925,0.18012328890407633,1346,1
51,Single Session,Open Set,erpcore p300,AR+LR,12,session_1,0.5625,0.90625,0.90625,0.12325293479456453,1346,1
52,Single Session,Open Set,erpcore p300,AR+LR,13,session_1,0.625,0.875,0.875,0.11427637565370424,1346,1
53,Single Session,Open Set,erpcore p300,AR+LR,14,session_1,0.0625,0.40625,0.40625,0.02557575076342879,1346,1
54,Single Session,Open Set,erpcore p300,AR+LR,15,session_1,0.65,0.9,0.9,0.10000000000000134,1346,1
55,Single Session,Open Set,erpcore p300,AR+LR,16,session_1,0.35,0.8,0.8,0.12377286044267805,1346,1
56,Single Session,Open Set,erpcore p300,AR+LR,17,session_1,0.625,0.7999999999999999,0.7999999999999999,0.135072593466588,1346,1
57,Single Session,Open Set,erpcore p300,AR+LR,18,session_1,0.75,1.0,1.0,0.13981131509479244,1346,1
58,Single Session,Open Set,erpcore p300,AR+LR,19,session_1,0.875,0.975,0.975,0.23472187503140252,1346,1
59,Single Session,Open Set,erpcore p300,AR+LR,20,session_1,0.825,1.0,1.0,0.18063170549550947,1346,1
60,Single Session,Open Set,erpcore p300,AR+LR,21,session_1,0.8888888888888888,1.0,1.0,0.24990500759939205,1346,1
61,Single Session,Open Set,erpcore p300,AR+LR,22,session_1,0.1785714285714286,0.5714285714285714,0.5714285714285714,0.10168532745178152,1346,1
62,Single Session,Open Set,erpcore p300,AR+LR,23,session_1,0.7249999999999999,0.95,0.95,0.18555729984309166,1346,1
63,Single Session,Open Set,erpcore p300,AR+LR,24,session_1,0.9166666666666666,0.9722222222222222,0.9722222222222222,0.19442444604431722,1346,1
64,Single Session,Open Set,erpcore p300,AR+LR,25,session_1,0.8500000000000001,0.925,0.925,0.3385570298673104,1346,1
65,Single Session,Open Set,erpcore p300,AR+LR,26,session_1,0.975,1.0,1.0,0.3444097531221549,1346,1
66,Single Session,Open Set,erpcore p300,AR+LR,27,session_1,0.8571428571428572,0.9285714285714286,0.9285714285714286,0.19551969738956076,1346,1
67,Single Session,Open Set,erpcore p300,AR+LR,28,session_1,0.6000000000000001,0.725,0.725,0.1666395024448965,1346,1
68,Single Session,Open Set,erpcore p300,AR+LR,29,session_1,0.7749999999999999,0.875,0.875,0.2458691217791183,1346,1
69,Single Session,Open Set,erpcore p300,AR+LR,30,session_1,0.75,0.8888888888888888,0.8888888888888888,0.2753254739619932,1346,1
70,Single Session,Open Set,erpcore p300,AR+LR,31,session_1,0.125,0.30000000000000004,0.30000000000000004,0.05390214880660807,1346,1
71,Single Session,Open Set,erpcore p300,AR+LR,32,session_1,0.8055555555555556,0.9166666666666666,0.9166666666666666,0.24479791616670743,1346,1
72,Single Session,Open Set,erpcore p300,AR+LR,33,session_1,0.7749999999999999,0.95,0.95,0.28454814066733797,1346,1
73,Single Session,Open Set,erpcore p300,AR+LR,34,session_1,0.6666666666666667,0.9722222222222222,0.9722222222222222,0.1436360091192705,1346,1
74,Single Session,Open Set,erpcore p300,AR+LR,35,session_1,0.9583333333333334,1.0,1.0,0.3409804509774482,1346,1
75,Single Session,Open Set,erpcore p300,AR+LR,36,session_1,0.19999999999999998,0.575,0.575,0.06748342649161572,1346,1
76,Single Session,Open Set,erpcore p300,AR+LR,37,session_1,0.9249999999999999,0.9249999999999999,0.9249999999999999,0.2810709536141826,1346,1
77,Single Session,Open Set,erpcore p300,AR+LR,38,session_1,0.9166666666666666,1.0,1.0,0.22612689184903012,1346,1
78,Single Session,Open Set,erpcore p300,AR+LR,39,session_1,0.9249999999999999,1.0,1.0,0.16500164102261197,1346,1
79,Single Session,Open Set,erpcore p300,AR+LR,40,session_1,0.725,0.875,0.875,0.18666270035708443,1346,1
80,Single Session,Open Set,erpcore p300,AR+LDA,1,session_1,0.16666666666666669,0.38888888888888895,0.38888888888888895,0.07376159907207427,1346,1
81,Single Session,Open Set,erpcore p300,AR+LDA,2,session_1,0.775,0.95,0.95,0.12889410811692603,1346,1
82,Single Session,Open Set,erpcore p300,AR+LDA,3,session_1,0.8888888888888888,1.0,1.0,0.2652987760978948,1346,1
83,Single Session,Open Set,erpcore p300,AR+LDA,4,session_1,0.25,0.5,0.5,0.09671760476766626,1346,1
84,Single Session,Open Set,erpcore p300,AR+LDA,5,session_1,0.7,0.85,0.85,0.21136297733211779,1346,1
85,Single Session,Open Set,erpcore p300,AR+LDA,6,session_1,0.5,1.0,1.0,0.03127220245297547,1346,1
