,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,erpcore p300,PSD+SVM,1,session_1,0.16666666666666669,0.22222222222222224,0.22222222222222224,0.028408794859053583,1346,1
1,Single Session,Open Set,erpcore p300,PSD+SVM,2,session_1,0.0,0.024999999999999994,0.024999999999999994,0.0007749309312161906,1346,1
2,Single Session,Open Set,erpcore p300,PSD+SVM,3,session_1,0.08333333333333334,0.25,0.25,0.056967975748278915,1346,1
3,Single Session,Open Set,erpcore p300,PSD+SVM,4,session_1,0.0,0.0,0.0,1e-05,1346,1
4,Single Session,Open Set,erpcore p300,PSD+SVM,5,session_1,0.0,0.125,0.125,0.0038548078470260734,1346,1
5,Single Session,Open Set,erpcore p300,PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346,1
6,Single Session,Open Set,erpcore p300,PSD+SVM,7,session_1,0.0,0.02777777777777779,0.02777777777777779,0.0007449410047196224,1346,1
7,Single Session,Open Set,erpcore p300,PSD+SVM,8,session_1,0.11111111111111113,0.13888888888888892,0.13888888888888892,0.08409827213822926,1346,1
8,Single Session,Open Set,erpcore p300,PSD+SVM,9,session_1,0.0625,0.0625,0.0625,0.016479054552571006,1346,1
9,Single Session,Open Set,erpcore p300,PSD+SVM,10,session_1,0.25,0.875,0.875,0.13182243912560876,1346,1
10,Single Session,Open Set,erpcore p300,PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346,1
11,Single Session,Open Set,erpcore p300,PSD+SVM,12,session_1,0.0,0.0,0.0,1e-05,1346,1
12,Single Session,Open Set,erpcore p300,PSD+SVM,13,session_1,0.15625,0.25,0.25,0.07095690801643885,1346,1
13,Single Session,Open Set,erpcore p300,PSD+SVM,14,session_1,0.0,0.0625,0.0625,0.0007424779506614802,1346,1
14,Single Session,Open Set,erpcore p300,PSD+SVM,15,session_1,0.0,0.07499999999999998,0.07499999999999998,0.0015573986575858787,1346,1
15,Single Session,Open Set,erpcore p300,PSD+SVM,16,session_1,0.024999999999999994,0.04999999999999999,0.04999999999999999,0.022257997230249276,1346,1
16,Single Session,Open Set,erpcore p300,PSD+SVM,17,session_1,0.0,0.0,0.0,1e-05,1346,1
17,Single Session,Open Set,erpcore p300,PSD+SVM,18,session_1,0.19444444444444445,0.22222222222222224,0.22222222222222224,0.05946774258059358,1346,1
18,Single Session,Open Set,erpcore p300,PSD+SVM,19,session_1,0.0,0.09999999999999998,0.09999999999999998,0.0023248304636883307,1346,1
19,Single Session,Open Set,erpcore p300,PSD+SVM,20,session_1,0.225,0.225,0.225,0.03213960811027008,1346,1
20,Single Session,Open Set,erpcore p300,PSD+SVM,21,session_1,0.05555555555555555,0.11111111111111113,0.11111111111111113,0.0038948294337235994,1346,1
21,Single Session,Open Set,erpcore p300,PSD+SVM,22,session_1,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.039897606293622385,1346,1
22,Single Session,Open Set,erpcore p300,PSD+SVM,23,session_1,0.0,0.04999999999999999,0.04999999999999999,0.0023222916687498122,1346,1
23,Single Session,Open Set,erpcore p300,PSD+SVM,24,session_1,0.11111111111111113,0.16666666666666669,0.16666666666666669,0.020128389928805696,1346,1
24,Single Session,Open Set,erpcore p300,PSD+SVM,25,session_1,0.12499999999999997,0.29999999999999993,0.29999999999999993,0.06320156185943265,1346,1
25,Single Session,Open Set,erpcore p300,PSD+SVM,26,session_1,0.15,0.325,0.325,0.0445485485672599,1346,1
26,Single Session,Open Set,erpcore p300,PSD+SVM,27,session_1,0.0,0.0,0.0,1e-05,1346,1
