,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,erpcore p300,AR+PSD+SVM,1,session_1,0.022569444444444444,0.15555555555555556,0.15555555555555556,0.005802163842552495,1346
1,Single Session,Close Set,erpcore p300,AR+PSD+SVM,2,session_1,0.02583333333333333,0.05194444444444444,0.05194444444444444,0.014926698828961174,1346
2,Single Session,Close Set,erpcore p300,AR+PSD+SVM,3,session_1,0.06909722222222223,0.1295138888888889,0.1295138888888889,0.0243734648013052,1346
3,Single Session,Close Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.006696428571428573,0.006696428571428573,0.0002374855609195411,1346
4,Single Session,Close Set,erpcore p300,AR+PSD+SVM,5,session_1,0.0,0.034444444444444444,0.034444444444444444,0.0015368699610915505,1346
5,Single Session,Close Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346
6,Single Session,Close Set,erpcore p300,AR+PSD+SVM,7,session_1,0.029166666666666674,0.029166666666666674,0.029166666666666674,0.01022121872749405,1346
7,Single Session,Close Set,erpcore p300,AR+PSD+SVM,8,session_1,0.04062500000000001,0.058680555555555555,0.058680555555555555,0.034626996349324,1346
8,Single Session,Close Set,erpcore p300,AR+PSD+SVM,9,session_1,0.009375,0.030907288239549063,0.031215728823954902,0.002175289348372837,1346
9,Single Session,Close Set,erpcore p300,AR+PSD+SVM,10,session_1,0.4625,0.6875,0.6875,0.11395761042889571,1346
10,Single Session,Close Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346
11,Single Session,Close Set,erpcore p300,AR+PSD+SVM,12,session_1,0.045535714285714284,0.05535714285714286,0.05535714285714286,0.01537554935742395,1346
12,Single Session,Close Set,erpcore p300,AR+PSD+SVM,13,session_1,0.0625,0.1,0.1,0.03332571098877539,1346
13,Single Session,Close Set,erpcore p300,AR+PSD+SVM,14,session_1,0.0,0.03035714285714286,0.03035714285714286,0.0008444487032772863,1346
14,Single Session,Close Set,erpcore p300,AR+PSD+SVM,15,session_1,0.11583333333333332,0.19694444444444445,0.19694444444444445,0.06024369079149442,1346
15,Single Session,Close Set,erpcore p300,AR+PSD+SVM,16,session_1,0.0024999999999999996,0.028333333333333332,0.028333333333333332,0.000926419614551105,1346
16,Single Session,Close Set,erpcore p300,AR+PSD+SVM,17,session_1,0.0,0.004999999999999999,0.004999999999999999,0.00016298618624323812,1346
17,Single Session,Close Set,erpcore p300,AR+PSD+SVM,18,session_1,0.06354166666666668,0.125,0.125,0.023199304506428344,1346
18,Single Session,Close Set,erpcore p300,AR+PSD+SVM,19,session_1,0.04333333333333333,0.16583333333333333,0.16583333333333333,0.010335849232488502,1346
19,Single Session,Close Set,erpcore p300,AR+PSD+SVM,20,session_1,0.053055555555555564,0.07111111111111111,0.07111111111111111,0.0451226095685285,1346
