,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,erpcore p300,AR+PSD+SVM,1,session_1,0.08333333333333334,0.19444444444444445,0.19444444444444445,0.016771158507319417,1346
1,Single Session,Open Set,erpcore p300,AR+PSD+SVM,2,session_1,0.024999999999999994,0.1,0.1,0.027357288294054195,1346
2,Single Session,Open Set,erpcore p300,AR+PSD+SVM,3,session_1,0.11111111111111113,0.13888888888888892,0.13888888888888892,0.04850611951043912,1346
3,Single Session,Open Set,erpcore p300,AR+PSD+SVM,4,session_1,0.0,0.0,0.0,1e-05,1346
4,Single Session,Open Set,erpcore p300,AR+PSD+SVM,5,session_1,0.0,0.04999999999999999,0.04999999999999999,0.003079723274905258,1346
5,Single Session,Open Set,erpcore p300,AR+PSD+SVM,6,session_1,0.0,0.0,0.0,1e-05,1346
6,Single Session,Open Set,erpcore p300,AR+PSD+SVM,7,session_1,0.0,0.0,0.0,1e-05,1346
7,Single Session,Open Set,erpcore p300,AR+PSD+SVM,8,session_1,0.11111111111111113,0.16666666666666669,0.16666666666666669,0.07014938824894039,1346
8,Single Session,Open Set,erpcore p300,AR+PSD+SVM,9,session_1,0.048437296872968716,0.0625,0.0625,0.012708987433208443,1346
9,Single Session,Open Set,erpcore p300,AR+PSD+SVM,10,session_1,0.5,0.625,0.625,0.21720532794672054,1346
10,Single Session,Open Set,erpcore p300,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,1346
11,Single Session,Open Set,erpcore p300,AR+PSD+SVM,12,session_1,0.0625,0.0625,0.0625,0.022260942084054113,1346
12,Single Session,Open Set,erpcore p300,AR+PSD+SVM,13,session_1,0.125,0.3125,0.3125,0.0962604492685512,1346
13,Single Session,Open Set,erpcore p300,AR+PSD+SVM,14,session_1,0.0,0.0,0.0,1e-05,1346
14,Single Session,Open Set,erpcore p300,AR+PSD+SVM,15,session_1,0.22499999999999998,0.325,0.325,0.10460208581239476,1346
15,Single Session,Open Set,erpcore p300,AR+PSD+SVM,16,session_1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.010361568133867953,1346
16,Single Session,Open Set,erpcore p300,AR+PSD+SVM,17,session_1,0.0,0.024999999999999994,0.024999999999999994,0.0007474334059934606,1346
17,Single Session,Open Set,erpcore p300,AR+PSD+SVM,18,session_1,0.05555555555555558,0.16666666666666669,0.16666666666666669,0.016681211452168842,1346
18,Single Session,Open Set,erpcore p300,AR+PSD+SVM,19,session_1,0.04999999999999999,0.32499999999999996,0.32499999999999996,0.008481736643702066,1346
19,Single Session,Open Set,erpcore p300,AR+PSD+SVM,20,session_1,0.3,0.375,0.375,0.06013183813456855,1346
20,Single Session,Open Set,erpcore p300,AR+PSD+SVM,21,session_1,0.16666666666666669,0.19444444444444445,0.19444444444444445,0.013288937485001201,1346
21,Single Session,Open Set,erpcore p300,AR+PSD+SVM,22,session_1,0.10714285714285718,0.2142857142857143,0.2142857142857143,0.02282613043217407,1346
22,Single Session,Open Set,erpcore p300,AR+PSD+SVM,23,session_1,0.0,0.09999999999999998,0.09999999999999998,0.004632083337499625,1346
23,Single Session,Open Set,erpcore p300,AR+PSD+SVM,24,session_1,0.16666666666666669,0.25,0.25,0.04167666606671469,1346
24,Single Session,Open Set,erpcore p300,AR+PSD+SVM,25,session_1,0.14999999999999997,0.24999999999999997,0.24999999999999997,0.06874131328180463,1346
25,Single Session,Open Set,erpcore p300,AR+PSD+SVM,26,session_1,0.35,0.875,0.875,0.06527387535121905,1346
26,Single Session,Open Set,erpcore p300,AR+PSD+SVM,27,session_1,0.0,0.10714285714285715,0.10714285714285715,0.004527228666280023,1346
27,Single Session,Open Set,erpcore p300,AR+PSD+SVM,28,session_1,0.35,0.45,0.45,0.1353993140618128,1346
28,Single Session,Open Set,erpcore p300,AR+PSD+SVM,29,session_1,0.04999999999999999,0.19999999999999998,0.19999999999999998,0.03385420357167856,1346
29,Single Session,Open Set,erpcore p300,AR+PSD+SVM,30,session_1,0.1388888888888889,0.19444444444444445,0.19444444444444445,0.02847772198224142,1346
30,Single Session,Open Set,erpcore p300,AR+PSD+SVM,31,session_1,0.0,0.0,0.0,1e-05,1346
