,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,erpcore p300,siamese,1,session_1,0.0,0.0,0.0,1e-05,1346
1,Single Session,Close Set,erpcore p300,siamese,2,session_1,0.0,0.0,0.0,1e-05,1346
2,Single Session,Close Set,erpcore p300,siamese,3,session_1,0.0,0.0,0.0,1e-05,1346
3,Single Session,Close Set,erpcore p300,siamese,4,session_1,0.0,0.125,0.125,0.006099573029887908,1346
4,Single Session,Close Set,erpcore p300,siamese,5,session_1,0.0,0.0,0.0,1e-05,1346
5,Single Session,Close Set,erpcore p300,siamese,6,session_1,0.0,0.0,0.0,1e-05,1346
6,Single Session,Close Set,erpcore p300,siamese,7,session_1,0.0,0.0,0.0,1e-05,1346
7,Single Session,Close Set,erpcore p300,siamese,8,session_1,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.012239020878329733,1346
8,Single Session,Close Set,erpcore p300,siamese,9,session_1,0.0,0.0,0.0,1e-05,1346
9,Single Session,Close Set,erpcore p300,siamese,10,session_1,0.0,0.5,0.5,0.002999970000299997,1346
10,Single Session,Close Set,erpcore p300,siamese,11,session_1,0.0,0.0,0.0,1e-05,1346
11,Single Session,Close Set,erpcore p300,siamese,12,session_1,0.0,0.0,0.0,1e-05,1346
12,Single Session,Close Set,erpcore p300,siamese,13,session_1,0.0,0.0,0.0,1e-05,1346
13,Single Session,Close Set,erpcore p300,siamese,14,session_1,0.0,0.0,0.0,1e-05,1346
14,Single Session,Close Set,erpcore p300,siamese,15,session_1,0.0,0.11111111111111116,0.11111111111111116,0.0030597552195824333,1346
15,Single Session,Close Set,erpcore p300,siamese,16,session_1,0.0,0.0,0.0,1e-05,1346
16,Single Session,Close Set,erpcore p300,siamese,17,session_1,0.0,0.0,0.0,1e-05,1346
17,Single Session,Close Set,erpcore p300,siamese,18,session_1,0.0,0.0,0.0,1e-05,1346
18,Single Session,Close Set,erpcore p300,siamese,19,session_1,0.0,0.0,0.0,1e-05,1346
19,Single Session,Close Set,erpcore p300,siamese,20,session_1,0.0,0.0,0.0,1e-05,1346
20,Single Session,Close Set,erpcore p300,siamese,21,session_1,0.0,0.0,0.0,1e-05,1346
21,Single Session,Close Set,erpcore p300,siamese,22,session_1,0.0,0.0,0.0,1e-05,1346
22,Single Session,Close Set,erpcore p300,siamese,23,session_1,0.0,0.0,0.0,1e-05,1346
23,Single Session,Close Set,erpcore p300,siamese,24,session_1,0.0,0.0,0.0,1e-05,1346
24,Single Session,Close Set,erpcore p300,siamese,25,session_1,0.0,0.0,0.0,1e-05,1346
25,Single Session,Close Set,erpcore p300,siamese,26,session_1,0.0,0.0,0.0,1e-05,1346
26,Single Session,Close Set,erpcore p300,siamese,27,session_1,0.0,0.1428571428571429,0.1428571428571429,0.0030398176109433434,1346
27,Single Session,Close Set,erpcore p300,siamese,28,session_1,0.0,0.0,0.0,1e-05,1346
28,Single Session,Close Set,erpcore p300,siamese,29,session_1,0.0,0.0,0.0,1e-05,1346
29,Single Session,Close Set,erpcore p300,siamese,30,session_1,0.0,0.0,0.0,1e-05,1346
30,Single Session,Close Set,erpcore p300,siamese,31,session_1,0.0,0.0,0.0,1e-05,1346
31,Single Session,Close Set,erpcore p300,siamese,32,session_1,0.0,0.2222222222222222,0.2222222222222222,0.0030598929037483685,1346
32,Single Session,Close Set,erpcore p300,siamese,33,session_1,0.0,0.0,0.0,1e-05,1346
33,Single Session,Close Set,erpcore p300,siamese,34,session_1,0.0,0.0,0.0,1e-05,1346
34,Single Session,Close Set,erpcore p300,siamese,35,session_1,0.0,0.0,0.0,1e-05,1346
35,Single Session,Close Set,erpcore p300,siamese,36,session_1,0.0,0.0,0.0,1e-05,1346
36,Single Session,Close Set,erpcore p300,siamese,37,session_1,0.0,0.0,0.0,1e-05,1346
37,Single Session,Close Set,erpcore p300,siamese,38,session_1,0.0,0.125,0.125,0.003049786514943954,1346
38,Single Session,Close Set,erpcore p300,siamese,39,session_1,0.0,0.0,0.0,1e-05,1346
39,Single Session,Close Set,erpcore p300,siamese,40,session_1,0.0,0.0,0.0,1e-05,1346
