,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,erpcore p300,siamese,6,session_1,0.0,0.0,0.0,1e-05,1346
1,Single Session,Open Set,erpcore p300,siamese,14,session_1,0.0,0.0,0.0,1e-05,1346
2,Single Session,Open Set,erpcore p300,siamese,16,session_1,0.0,0.0,0.0,1e-05,1346
3,Single Session,Open Set,erpcore p300,siamese,18,session_1,0.21212121212121215,0.303030303030303,0.303030303030303,0.037288067818298146,1346
4,Single Session,Open Set,erpcore p300,siamese,20,session_1,0.1842105263157895,0.1842105263157895,0.1842105263157895,0.05263157894733128,1346
5,Single Session,Open Set,erpcore p300,siamese,24,session_1,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.11604054621428714,1346
6,Single Session,Open Set,erpcore p300,siamese,26,session_1,0.0,0.0,0.0,1e-05,1346
7,Single Session,Open Set,erpcore p300,siamese,29,session_1,0.16216216216216217,0.18918918918918914,0.18918918918918914,0.034367627654044546,1346
8,Single Session,Open Set,erpcore p300,siamese,30,session_1,0.0,0.0,0.0,1e-05,1346
9,Single Session,Open Set,erpcore p300,siamese,33,session_1,0.0,0.15000000000000002,0.15000000000000002,0.006949513534052616,1346
10,Single Session,Open Set,erpcore p300,siamese,1,session_1,0.0,0.0,0.0,1e-05,1346
11,Single Session,Open Set,erpcore p300,siamese,3,session_1,0.0,0.0,0.0,1e-05,1346
12,Single Session,Open Set,erpcore p300,siamese,5,session_1,0.052631578947368474,0.13157894736842102,0.13157894736842102,0.03883563081659786,1346
13,Single Session,Open Set,erpcore p300,siamese,8,session_1,0.0,0.5,0.5,0.0063895207859410545,1346
14,Single Session,Open Set,erpcore p300,siamese,17,session_1,0.0,0.0,0.0,1e-05,1346
15,Single Session,Open Set,erpcore p300,siamese,19,session_1,0.0,0.10256410256410253,0.10256410256410253,0.0097462964073652,1346
16,Single Session,Open Set,erpcore p300,siamese,22,session_1,0.0,0.0,0.0,1e-05,1346
17,Single Session,Open Set,erpcore p300,siamese,27,session_1,0.0,0.14814814814814814,0.14814814814814814,0.006248375422390179,1346
18,Single Session,Open Set,erpcore p300,siamese,34,session_1,0.0,0.0,0.0,1e-05,1346
19,Single Session,Open Set,erpcore p300,siamese,36,session_1,0.0,0.0,0.0,1e-05,1346
20,Single Session,Open Set,erpcore p300,siamese,9,session_1,0.0,0.0,0.0,1e-05,1346
21,Single Session,Open Set,erpcore p300,siamese,10,session_1,0.625,1.0,1.0,0.125,1346
22,Single Session,Open Set,erpcore p300,siamese,12,session_1,0.033333333333333326,0.033333333333333326,0.033333333333333326,0.03333333333333333,1346
23,Single Session,Open Set,erpcore p300,siamese,15,session_1,0.13157894736842102,0.1842105263157895,0.1842105263157895,0.03767560451280684,1346
24,Single Session,Open Set,erpcore p300,siamese,23,session_1,0.0,0.027027027027026973,0.027027027027026973,0.003418769243072494,1346
25,Single Session,Open Set,erpcore p300,siamese,25,session_1,0.0,0.02564102564102566,0.02564102564102566,0.003438693296547312,1346
26,Single Session,Open Set,erpcore p300,siamese,31,session_1,0.0,0.0,0.0,1e-05,1346
27,Single Session,Open Set,erpcore p300,siamese,32,session_1,0.0,0.05714285714285716,0.05714285714285716,0.006777695583501609,1346
28,Single Session,Open Set,erpcore p300,siamese,37,session_1,0.0,0.027027027027026973,0.027027027027026973,0.003418769243072494,1346
29,Single Session,Open Set,erpcore p300,siamese,38,session_1,0.0,0.02941176470588236,0.02941176470588236,0.003378884967960573,1346
30,Single Session,Open Set,erpcore p300,siamese,2,session_1,0.0,0.02564102564102566,0.02564102564102566,0.003318738879225894,1346
31,Single Session,Open Set,erpcore p300,siamese,4,session_1,0.0,0.0,0.0,1e-05,1346
32,Single Session,Open Set,erpcore p300,siamese,7,session_1,0.0,0.02941176470588236,0.02941176470588236,0.003258924554896884,1346
33,Single Session,Open Set,erpcore p300,siamese,11,session_1,0.0,0.05128205128205132,0.05128205128205132,0.00993622423479078,1346
34,Single Session,Open Set,erpcore p300,siamese,13,session_1,0.033333333333333326,0.09999999999999998,0.09999999999999998,0.03333333333333337,1346
35,Single Session,Open Set,erpcore p300,siamese,21,session_1,0.0,0.08571428571428574,0.08571428571428574,0.0032696512372013655,1346
36,Single Session,Open Set,erpcore p300,siamese,28,session_1,0.027027027027026973,0.16216216216216217,0.16216216216216217,0.02702702702703957,1346
37,Single Session,Open Set,erpcore p300,siamese,35,session_1,0.0,0.04761904761904767,0.04761904761904767,0.00624875024995001,1346
38,Single Session,Open Set,erpcore p300,siamese,39,session_1,0.0,0.0,0.0,1e-05,1346
39,Single Session,Open Set,erpcore p300,siamese,40,session_1,0.0,0.0,0.0,1e-05,1346
