,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,1,session_1,0.001984126984126977,0.004960317460317443,0.007936507936507908,0.003390603004316097,13102,1.0
1,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,2,session_1,0.007936507936507936,0.01686507936507936,0.03174603174603177,0.008847620176926833,13102,1.0
2,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,3,session_1,0.0009920634920634885,0.001984126984126977,0.003968253968253954,0.0010818506762312352,13102,1.0
3,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,4,session_1,0.008928571428571425,0.01190476190476189,0.01686507936507939,0.009754444914692701,13102,1.0
4,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,5,session_1,0.007936507936507908,0.015873015873015844,0.025793650793650785,0.008351804827028861,13102,1.0
5,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,6,session_1,0.001984126984126977,0.0029761904761904656,0.0069444444444444475,0.002978690476198486,13102,1.0
6,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,7,session_1,0.005952380952380959,0.011904761904761918,0.012896825396825407,0.008349762656446236,13102,1.0
7,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,8,session_1,0.0009920634920634885,0.0009920634920634885,0.0009920634920634885,0.000999563492063496,13102,1.0
8,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,9,session_1,0.00694444444444442,0.01686507936507936,0.023809523809523808,0.00793650793664969,13102,1.0
9,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,10,session_1,0.0,0.001984126984126977,0.001984126984126977,0.0005037544014523546,13102,1.0
10,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,11,session_1,0.008928571428571425,0.016865079365079333,0.019841269841269854,0.00992063492064963,13102,1.0
11,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,12,session_1,0.001984126984126977,0.003968253968253954,0.003968253968253954,0.0029800326680033116,13102,1.0
12,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,13,session_1,0.005952380952380931,0.008928571428571425,0.008928571428571425,0.00694444444444372,13102,1.0
13,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,1,session_1,0.0,0.011904761904761918,0.25,0.0005043789013732834,13102,1.0
14,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,2,session_1,0.0009920634920634885,0.01190476190476189,0.03373015873015872,0.0021546044927232646,13102,1.0
15,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,3,session_1,0.02876984126984128,0.23015873015873012,0.4831349206349207,0.013646113704082757,13102,1.0
16,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,4,session_1,0.2579365079365079,0.2837301587301587,0.7281746031746031,0.03514579989299013,13102,1.0
17,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,5,session_1,0.020833333333333315,0.04464285714285715,0.21130952380952378,0.011330221857422045,13102,1.0
18,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,6,session_1,0.0,0.0,0.22123015873015872,0.0003392679537282769,13102,1.0
