,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,1,session_1,0.001984126984126977,0.005952380952380931,0.010912698412698374,0.0037218189487329997,13102,0
1,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,2,session_1,0.0069444444444444475,0.018849206349206366,0.030753968253968283,0.007439971962508934,13102,0
2,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,3,session_1,0.0049603174603174705,0.0049603174603174705,0.005952380952380959,0.003975753968269702,13102,0
3,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,4,session_1,0.009920634920634913,0.012896825396825379,0.020833333333333315,0.00892857142857155,13102,0
4,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,5,session_1,0.008928571428571425,0.015873015873015872,0.02876984126984125,0.00793650793651551,13102,0
5,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,6,session_1,0.001984126984126977,0.0049603174603174705,0.005952380952380959,0.0035606226834924916,13102,0
6,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,7,session_1,0.008928571428571452,0.01686507936507936,0.02182539682539683,0.008432762337977805,13102,0
7,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,8,session_1,0.0,0.0009920634920634885,0.0009920634920634885,0.0009995634920720098,13102,0
8,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,9,session_1,0.005952380952380931,0.014880952380952384,0.019841269841269882,0.007107873523171188,13102,0
9,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,10,session_1,0.001984126984126977,0.0049603174603174705,0.005952380952380959,0.002649968272493251,13102,0
10,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,11,session_1,0.008928571428571425,0.018849206349206338,0.023809523809523808,0.007939007936532863,13102,0
11,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,12,session_1,0.0029761904761904656,0.003968253968253954,0.005952380952380931,0.004220441858398222,13102,0
12,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,13,session_1,0.007936507936507908,0.010912698412698402,0.01190476190476189,0.007936507936508068,13102,0
