,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,Visual Speller LLP,AR+SVM,1,session_1,0.0,0.0,0.0,1e-05,13102,1
1,Single Session,Open Set,Visual Speller LLP,AR+SVM,2,session_1,0.004960317460317443,0.00694444444444442,0.008928571428571397,0.004962817460317451,13102,1
2,Single Session,Open Set,Visual Speller LLP,AR+SVM,3,session_1,0.0029761904761904656,0.005952380952380959,0.005952380952380959,0.002900239224546388,13102,1
3,Single Session,Open Set,Visual Speller LLP,AR+SVM,4,session_1,0.012896825396825379,0.0376984126984127,0.07539682539682538,0.010170187116061304,13102,1
4,Single Session,Open Set,Visual Speller LLP,AR+SVM,5,session_1,0.023809523809523808,0.05555555555555558,0.1488095238095238,0.015627204288665455,13102,1
5,Single Session,Open Set,Visual Speller LLP,AR+SVM,6,session_1,0.0029761904761904656,0.003968253968253954,0.021825396825396803,0.00347539018849257,13102,1
6,Single Session,Open Set,Visual Speller LLP,AR+SVM,7,session_1,0.005952380952380959,0.018849206349206338,0.027777777777777762,0.006614558173270301,13102,1
7,Single Session,Open Set,Visual Speller LLP,AR+SVM,8,session_1,0.0,0.0,0.0,1e-05,13102,1
8,Single Session,Open Set,Visual Speller LLP,AR+SVM,9,session_1,0.009920634920634941,0.029761904761904767,0.053571428571428575,0.009259436374890476,13102,1
9,Single Session,Open Set,Visual Speller LLP,AR+SVM,10,session_1,0.0009920634920634885,0.001984126984126977,0.001984126984126977,0.0014962632043570635,13102,1
10,Single Session,Open Set,Visual Speller LLP,AR+SVM,11,session_1,0.0069444444444444475,0.012896825396825407,0.025793650793650785,0.0050476046444853685,13102,1
11,Single Session,Open Set,Visual Speller LLP,AR+SVM,12,session_1,0.0009920634920634885,0.0029761904761904656,0.0029761904761904656,0.0019916269841267716,13102,1
12,Single Session,Open Set,Visual Speller LLP,AR+SVM,13,session_1,0.009920634920634941,0.048611111111111105,0.11011904761904764,0.009590748649449709,13102,1
13,Single Session,Open Set,Visual Speller LLP,AR+LR,1,session_1,0.003968253968253954,0.07043650793650794,0.185515873015873,0.0040555411524214905,13102,1
14,Single Session,Open Set,Visual Speller LLP,AR+LR,2,session_1,0.005952380952380931,0.03373015873015872,0.2857142857142857,0.006283335969582036,13102,1
15,Single Session,Open Set,Visual Speller LLP,AR+LR,3,session_1,0.10813492063492061,0.4126984126984127,0.4265873015873016,0.033979978112081324,13102,1
16,Single Session,Open Set,Visual Speller LLP,AR+LR,4,session_1,0.12103174603174602,0.5079365079365079,0.7142857142857143,0.03737137641672547,13102,1
17,Single Session,Open Set,Visual Speller LLP,AR+LR,5,session_1,0.3938492063492064,0.49999999999999994,0.5972222222222223,0.10939390344520969,13102,1
18,Single Session,Open Set,Visual Speller LLP,AR+LR,6,session_1,0.004960317460317443,0.013888888888888867,0.01686507936507936,0.005952380952379209,13102,1
19,Single Session,Open Set,Visual Speller LLP,AR+LR,7,session_1,0.27480158730158727,0.5912698412698413,0.6408730158730158,0.06167279058135457,13102,1
20,Single Session,Open Set,Visual Speller LLP,AR+LR,8,session_1,0.0,0.25,0.25,0.0009174999999999999,13102,1
21,Single Session,Open Set,Visual Speller LLP,AR+LR,9,session_1,0.375,0.8978174603174603,0.9880952380952381,0.053747593540214064,13102,1
22,Single Session,Open Set,Visual Speller LLP,AR+LR,10,session_1,0.13690476190476192,0.44345238095238093,0.4652777777777778,0.02968078468949837,13102,1
