,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,PSD
0,Single Session,Open Set,Visual Speller LLP,PSD+SVM,1,session_1,0.0049603174603174705,0.008928571428571425,0.013888888888888895,0.005462010913337581,13102,1
1,Single Session,Open Set,Visual Speller LLP,PSD+SVM,2,session_1,0.007936507936507936,0.02281746031746032,0.05059523809523811,0.0077728116712674515,13102,1
2,Single Session,Open Set,Visual Speller LLP,PSD+SVM,3,session_1,0.005952380952380931,0.009920634920634913,0.010912698412698402,0.005954880952380873,13102,1
3,Single Session,Open Set,Visual Speller LLP,PSD+SVM,4,session_1,0.014880952380952356,0.042658730158730146,0.09226190476190477,0.010915198412701292,13102,1
4,Single Session,Open Set,Visual Speller LLP,PSD+SVM,5,session_1,0.013888888888888867,0.0357142857142857,0.048611111111111105,0.01207068472414503,13102,1
5,Single Session,Open Set,Visual Speller LLP,PSD+SVM,6,session_1,0.0049603174603174705,0.005952380952380959,0.0069444444444444475,0.004965317460333198,13102,1
6,Single Session,Open Set,Visual Speller LLP,PSD+SVM,7,session_1,0.027777777777777762,0.055555555555555525,0.123015873015873,0.021000324898789877,13102,1
7,Single Session,Open Set,Visual Speller LLP,PSD+SVM,8,session_1,0.0009920634920634885,0.0009920634920634885,0.0009920634920634885,0.000999563492063496,13102,1
8,Single Session,Open Set,Visual Speller LLP,PSD+SVM,9,session_1,0.01091269841269843,0.015873015873015872,0.02876984126984125,0.010663769652466305,13102,1
9,Single Session,Open Set,Visual Speller LLP,PSD+SVM,10,session_1,0.0009920634920634885,0.001984126984126977,0.001984126984126977,0.0016579047804296972,13102,1
10,Single Session,Open Set,Visual Speller LLP,PSD+SVM,11,session_1,0.1577380952380952,0.17757936507936511,0.21130952380952384,0.06326359907258967,13102,1
11,Single Session,Open Set,Visual Speller LLP,PSD+SVM,12,session_1,0.0029761904761904656,0.007936507936507936,0.009920634920634913,0.0033930967450271333,13102,1
12,Single Session,Open Set,Visual Speller LLP,PSD+SVM,13,session_1,0.008928571428571425,0.009920634920634913,0.011904761904761918,0.009342532386467463,13102,1
13,Single Session,Open Set,Visual Speller LLP,PSD+LR,1,session_1,0.0,0.0625,0.25,0.0004221558356564052,13102,1
14,Single Session,Open Set,Visual Speller LLP,PSD+LR,2,session_1,0.0009920634920634885,0.0069444444444444475,0.27182539682539686,0.0024840858263175157,13102,1
15,Single Session,Open Set,Visual Speller LLP,PSD+LR,3,session_1,0.05555555555555555,0.1349206349206349,0.3898809523809524,0.014883452380952397,13102,1
