,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,1,session_1,0.0,0.001984126984126977,0.0065476190476190296,0.0009324035403135433,13102
1,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,2,session_1,0.0,0.0033730158730158667,0.01765873015873016,0.001483611350235824,13102
2,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,3,session_1,0.0009920634920634885,0.0014880952380952328,0.0018849206349206282,0.0014443527652742542,13102
3,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,4,session_1,0.0045634920634920525,0.006349206349206332,0.0065476190476190296,0.005616435180912547,13102
4,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,5,session_1,9.920634920634885e-05,0.0016865079365079333,0.004365079365079358,0.0009159452859549836,13102
5,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,6,session_1,0.0,0.001984126984126977,0.002678571428571419,0.0017251021863686899,13102
6,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,7,session_1,0.002678571428571419,0.004365079365079352,0.0073412698412698265,0.0034261114648694363,13102
7,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,8,session_1,0.0,9.920634920634885e-05,0.0009920634920634885,0.0001910393163160467,13102
8,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,9,session_1,9.920634920634885e-05,0.005753968253968239,0.008730158730158718,0.002233858617158122,13102
9,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,10,session_1,0.0,9.920634920634885e-05,0.00039761588566369357,8.406247007666617e-05,13102
10,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,11,session_1,0.0,0.002782125466388408,0.005165054069436528,0.0012364601575871157,13102
11,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,12,session_1,9.920634920634885e-05,0.0003968253968253954,0.0014880952380952328,0.00041366138746156176,13102
12,Single Session,Close Set,Visual Speller LLP,AR+PSD+SVM,13,session_1,0.0007936507936507908,0.006746031746031731,0.009325396825396815,0.004648122900285617,13102
