,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,1,session_1,0.004960317460317443,0.005952380952380931,0.008928571428571397,0.006036010328369833,13102
1,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,2,session_1,0.008928571428571425,0.01785714285714285,0.0376984126984127,0.008595746105745568,13102
2,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,3,session_1,0.0049603174603174705,0.0069444444444444475,0.0069444444444444475,0.004963269030463595,13102
3,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,4,session_1,0.009920634920634885,0.013888888888888867,0.01785714285714285,0.0099206349206349,13102
4,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,5,session_1,0.005952380952380959,0.009920634920634913,0.01785714285714285,0.006947835066129605,13102
5,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,6,session_1,0.001984126984126977,0.001984126984126977,0.0049603174603174705,0.002073914168294789,13102
6,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,7,session_1,0.004960317460317443,0.007936507936507908,0.007936507936507908,0.005952826263222028,13102
7,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,8,session_1,0.0009920634920634885,0.001984126984126977,0.0029761904761904656,0.0020714141683032456,13102
8,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,9,session_1,0.0069444444444444475,0.01190476190476189,0.019841269841269854,0.006863047881974877,13102
9,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,10,session_1,0.0,0.0009920634920634885,0.0009920634920634885,0.0009995634920629797,13102
10,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,11,session_1,0.005952380952380959,0.009920634920634913,0.012896825396825379,0.006037168136572948,13102
11,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,12,session_1,0.004960317460317443,0.005952380952380931,0.00694444444444442,0.005125349658143482,13102
12,Single Session,Open Set,Visual Speller LLP,AR+PSD+SVM,13,session_1,0.005952380952380931,0.007936507936507908,0.008928571428571397,0.006203536266827472,13102
13,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,1,session_1,0.0,0.0029761904761904656,0.2589285714285714,0.0006683350290770168,13102
14,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,2,session_1,0.0,0.003968253968253954,0.02182539682539683,0.0015786508277145714,13102
15,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,3,session_1,0.02777777777777779,0.22916666666666669,0.41468253968253965,0.01381020803296843,13102
16,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,4,session_1,0.2579365079365079,0.3055555555555556,0.7576365049364779,0.03150387293594651,13102
17,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,5,session_1,0.0515873015873016,0.09325396825396826,0.125,0.019844660462952277,13102
18,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,6,session_1,0.0,0.0,0.09126984126984125,0.00025729059880299354,13102
19,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,7,session_1,0.30654761904761907,0.5069444444444444,0.5119047619047619,0.025959484550921837,13102
20,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,8,session_1,0.0,0.25,0.25,0.0009163639200998751,13102
21,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,9,session_1,0.007936507936507936,0.25595238095238093,0.5833333333333333,0.006779355318953774,13102
22,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,10,session_1,0.0,0.25,0.5,0.0007524995833340278,13102
23,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,11,session_1,0.003968253968253982,0.02281746031746032,0.029761904761904767,0.003066084358838943,13102
24,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,12,session_1,0.0,0.0,0.2113095238095238,0.00042227277532598127,13102
25,Single Session,Open Set,Visual Speller LLP,AR+PSD+LR,13,session_1,0.001984126984126977,0.251984126984127,0.5029761904761905,0.0030609776603577115,13102
26,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,1,session_1,0.0,0.12454024672521857,0.46225377267000184,0.000750524366867757,13102
27,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,2,session_1,0.0,0.007936507936507936,0.042658730158730146,0.0007507707968741393,13102
28,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,3,session_1,0.001984126984126977,0.19308231276757215,0.4494753801704684,0.003558902736872857,13102
29,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,4,session_1,0.18948412698412698,0.4564139578137144,0.7322657709536946,0.031497102985796964,13102
30,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,5,session_1,0.08829365079365079,0.1865079365079365,0.4760199090086139,0.039279373913090956,13102
31,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,6,session_1,0.0,0.15549905499054992,0.6783115350994781,0.0011603052428704698,13102
32,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,7,session_1,0.39421030175214034,0.5265162582703522,0.9500722607476701,0.040674939765085655,13102
33,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,8,session_1,0.0,0.1815447699931545,0.41785372399178533,0.0009983625826324486,13102
34,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,9,session_1,0.010912698412698402,0.4461021395928245,0.7287371980862666,0.008678542964710175,13102
35,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,10,session_1,0.0,0.33201220901097905,0.6954008428973179,0.0021440858920561347,13102
36,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,11,session_1,0.24275461785247435,0.24927546178524743,0.42522679917105466,0.06422335589597115,13102
37,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,12,session_1,0.1627898255726743,0.24127898255726743,0.5009135609536235,0.007386737042307486,13102
38,Single Session,Open Set,Visual Speller LLP,AR+PSD+LDA,13,session_1,0.0029761904761904656,0.24545574820827573,0.4944060849338652,0.004305799585896608,13102
39,Single Session,Open Set,Visual Speller LLP,AR+PSD+NB,1,session_1,0.005952380952380931,0.22137266015517296,0.4659448380198088,0.00694444444444409,13102
40,Single Session,Open Set,Visual Speller LLP,AR+PSD+NB,2,session_1,0.5811399418849463,0.7384711370456375,0.7611487010061511,0.0572911969288368,13102
41,Single Session,Open Set,Visual Speller LLP,AR+PSD+NB,3,session_1,0.3016448952900824,0.6796097553561254,0.9678726442951572,0.06101631333925095,13102
42,Single Session,Open Set,Visual Speller LLP,AR+PSD+NB,4,session_1,0.4827232348360905,0.6349219221224526,0.9144978094112743,0.1036225721806401,13102
