,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Single Session,Close Set,mantegna 2019,siamese,1,session_1,0.045454545454545414,0.18181818181818177,0.18181818181818177,0.03407284470261245,2789
1,Single Session,Close Set,mantegna 2019,siamese,2,session_1,0.0,0.0,0.0,1e-05,2789
2,Single Session,Close Set,mantegna 2019,siamese,3,session_1,0.0,0.0,0.0,1e-05,2789
3,Single Session,Close Set,mantegna 2019,siamese,4,session_1,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.04347826086956519,2789
4,Single Session,Close Set,mantegna 2019,siamese,5,session_1,0.045454545454545414,0.13636363636363635,0.13636363636363635,0.010377820657661891,2789
5,Single Session,Close Set,mantegna 2019,siamese,6,session_1,0.08695652173913049,0.21739130434782605,0.21739130434782605,0.043478260869565424,2789
6,Single Session,Close Set,mantegna 2019,siamese,7,session_1,0.045454545454545414,0.2727272727272727,0.2727272727272727,0.011857509922916187,2789
7,Single Session,Close Set,mantegna 2019,siamese,8,session_1,0.0,0.08695652173913049,0.08695652173913049,0.0029693467437163826,2789
8,Single Session,Close Set,mantegna 2019,siamese,9,session_1,0.0,0.2272727272727273,0.2272727272727273,0.0029698119119122455,2789
9,Single Session,Close Set,mantegna 2019,siamese,10,session_1,0.0,0.04347826086956519,0.04347826086956519,0.005938693487432765,2789
10,Single Session,Close Set,mantegna 2019,siamese,11,session_1,0.13636363636363635,0.2272727272727273,0.2272727272727273,0.045454545454534576,2789
11,Single Session,Close Set,mantegna 2019,siamese,12,session_1,0.08695652173913049,0.30434782608695654,0.30434782608695654,0.016328285530019346,2789
12,Single Session,Close Set,mantegna 2019,siamese,13,session_1,0.0,0.0,0.0,1e-05,2789
13,Single Session,Close Set,mantegna 2019,siamese,14,session_1,0.08695652173913049,0.30434782608695654,0.30434782608695654,0.04347826086956519,2789
14,Single Session,Close Set,mantegna 2019,siamese,15,session_1,0.045454545454545414,0.13636363636363635,0.13636363636363635,0.03407284470261245,2789
15,Single Session,Close Set,mantegna 2019,siamese,16,session_1,0.0,0.04347826086956519,0.04347826086956519,0.001489672272100138,2789
16,Single Session,Close Set,mantegna 2019,siamese,17,session_1,0.045454545454545414,0.31818181818181823,0.31818181818181823,0.045454545454534576,2789
17,Single Session,Close Set,mantegna 2019,siamese,18,session_1,0.08695652173913049,0.17391304347826086,0.17391304347826086,0.04347826086927331,2789
18,Single Session,Close Set,mantegna 2019,siamese,19,session_1,0.0,0.045454545454545414,0.045454545454545414,0.005928754961458094,2789
19,Single Session,Close Set,mantegna 2019,siamese,20,session_1,0.0,0.04347826086956519,0.04347826086956519,0.001489672272100138,2789
20,Single Session,Close Set,mantegna 2019,siamese,21,session_1,0.0,0.2727272727272727,0.2727272727272727,0.007409259074092591,2789
21,Single Session,Close Set,mantegna 2019,siamese,22,session_1,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.019285757133430646,2789
22,Single Session,Close Set,mantegna 2019,siamese,23,session_1,0.0,0.0,0.0,1e-05,2789
23,Single Session,Close Set,mantegna 2019,siamese,24,session_1,0.13043478260869568,0.17391304347826086,0.17391304347826086,0.043478260869565424,2789
24,Single Session,Close Set,mantegna 2019,siamese,25,session_1,0.045454545454545414,0.045454545454545414,0.045454545454545414,0.011857509922916187,2789
25,Single Session,Close Set,mantegna 2019,siamese,26,session_1,0.0,0.0,0.0,1e-05,2789
26,Single Session,Close Set,mantegna 2019,siamese,27,session_1,0.09090909090909094,0.13636363636363635,0.13636363636363635,0.04545454545454554,2789
27,Single Session,Close Set,mantegna 2019,siamese,28,session_1,0.04347826086956519,0.04347826086956519,0.04347826086956519,0.01483673591809802,2789
28,Single Session,Close Set,mantegna 2019,siamese,29,session_1,0.045454545454545414,0.13636363636363635,0.13636363636363635,0.019255956249187668,2789
29,Single Session,Close Set,mantegna 2019,siamese,30,session_1,0.04347826086956519,0.4782608695652174,0.4782608695652174,0.031153146307812282,2789
30,Single Session,Close Set,mantegna 2019,siamese,31,session_1,0.0,0.045454545454545414,0.045454545454545414,0.0029693764309495006,2789
