,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_PSD_order
0,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.0024154589371980784,0.0024154589371980784,0.0024154589371980784,0.0024229589372313895,11913,1
1,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.0,0.0,0.003968253968253982,0.00018738846914912756,11913,1
2,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.01704545454545453,0.01704545454545453,0.01704545454545453,0.017050454545459694,11913,1
3,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.00416666666666668,0.008333333333333331,0.008333333333333331,0.004174166666666681,11913,1
4,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.010000000000000009,0.015000000000000013,0.015000000000000013,0.010339834705994087,11913,1
5,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.00363139613061525,0.0037878787878787845,0.007575757575757569,0.003727035067656822,11913,1
6,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.004807066805698312,0.004892471386452185,0.00490101184452757,0.004730200250318461,11913,1
7,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.035714285714285726,0.07936507936507936,0.09126984126984128,0.011909761904759108,11913,1
8,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.004464285714285726,0.004464285714285726,0.004464285714285726,0.0044717857142926466,11913,1
9,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.0053191489361702204,0.010638297872340413,0.010638297872340413,0.00532664893617018,11913,1
10,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913,1
11,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.005376344086021501,0.005376344086021501,0.005376344086021501,0.005381344086021516,11913,1
12,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.004385964912280715,0.004385964912280715,0.004385964912280715,0.004393464912288656,11913,1
13,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.0,0.0,0.0,1e-05,11913,1
14,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.028301886792452824,0.09433962264150944,0.23113207547169812,0.018870424528301566,11913,1
15,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.08018867924528303,0.27358490566037735,0.330188679245283,0.02046322834579967,11913,1
16,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.2720588235294118,0.3125,0.3345588235294118,0.030828647951460935,11913,1
17,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.025328416668976228,0.03673974968266894,0.03676221026238452,0.020661708223160474,11913,1
18,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,19,session_1,0.013333333333333308,0.013333333333333308,0.013333333333333308,0.010005000000016131,11913,1
19,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,20,session_1,0.0,0.0,0.0,1e-05,11913,1
20,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,21,session_1,0.0,0.004716981132075471,0.004716981132075471,0.00042978041418462404,11913,1
21,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,11913,1
22,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,23,session_1,0.00877192982456143,0.017543859649122806,0.017543859649122806,0.006927044707594533,11913,1
23,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,24,session_1,0.04166666666666666,0.17592592592592593,0.26388888888888895,0.02777777777775267,11913,1
24,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,25,session_1,0.0,0.0,0.0,1e-05,11913,1
25,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,26,session_1,0.0,0.0,0.0,1e-05,11913,1
26,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,27,session_1,0.0,0.0,0.0021008403361344463,0.00017979668990591104,11913,1
27,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,28,session_1,0.2733333333333333,0.6133333333333333,0.8500000000000001,0.04333333333334992,11913,1
28,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,29,session_1,0.0,0.0,0.0,1e-05,11913,1
29,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,30,session_1,0.018292682926829285,0.024390243902439046,0.030487804878048808,0.017169536939876717,11913,1
30,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,31,session_1,0.004424778761061954,0.004424778761061954,0.006637168141592931,0.004432278761069382,11913,1
31,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,32,session_1,0.0,0.0,0.0,1e-05,11913,1
32,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,33,session_1,0.007936507936507964,0.007936507936507964,0.007936507936507964,0.00794150793652165,11913,1
33,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,34,session_1,0.009433962264150941,0.009433962264150941,0.009433962264150941,0.009438962264157753,11913,1
34,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,35,session_1,0.0,0.0,0.0,1e-05,11913,1
35,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,36,session_1,0.00833333333333336,0.00833333333333336,0.00833333333333336,0.008338333333344796,11913,1
36,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,37,session_1,0.0,0.0,0.0,1e-05,11913,1
37,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,38,session_1,0.004464285714285726,0.08482142857142858,0.14285714285714288,0.005459500024986257,11913,1
38,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,39,session_1,0.0,0.006756756756756743,0.006756756756756743,0.0011116921147562278,11913,1
39,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,40,session_1,0.0,0.0,0.0,1e-05,11913,1
40,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,41,session_1,0.0,0.0,0.0,1e-05,11913,1
41,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,42,session_1,0.0,0.0,0.0,1e-05,11913,1
42,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,43,session_1,0.0,0.0,0.0,1e-05,11913,1
43,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,1,session_1,0.25327411213959417,0.4999650923733797,0.7496515782517962,0.03805958278660519,11913,1
44,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,2,session_1,0.25,0.8333333333333334,1.0,0.026081318754290157,11913,1
45,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,3,session_1,0.0,0.0,0.46590909090909094,0.0003449994190491282,11913,1
46,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,4,session_1,0.25,0.75,0.75,0.08414115486619227,11913,1
47,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,5,session_1,0.32,0.495,0.4992972429724297,0.03459611593057093,11913,1
48,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,6,session_1,0.07575757575757575,0.25,0.25,0.004756912881626942,11913,1
49,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,7,session_1,0.06372549019607843,0.24509803921568626,0.4901960784313726,0.0046402273495721675,11913,1
50,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,8,session_1,0.7857142857142857,0.9920634920634921,1.0,0.17518760731026145,11913,1
51,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,9,session_1,0.5,0.5,0.5,0.0708,11913,1
52,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,10,session_1,0.5106382978723404,0.5106382978723404,0.5106382978723404,0.03259569861799742,11913,1
53,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,11,session_1,0.3208333333333333,0.5,0.75,0.035397458599426335,11913,1
54,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,12,session_1,0.25,0.25,0.25,0.03587,11913,1
55,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,13,session_1,0.4605263157894737,0.5,0.631578947368421,0.03863948171381917,11913,1
56,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,14,session_1,0.0,0.0,0.0,1e-05,11913,1
57,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,15,session_1,0.6698113207547169,0.9103773584905661,1.0,0.02955080253948226,11913,1
58,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,16,session_1,0.8349056603773585,0.9622641509433962,1.0,0.1003824711584928,11913,1
59,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,17,session_1,0.75,0.9558823529411764,0.9926470588235294,0.05013501248281313,11913,1
60,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,18,session_1,0.0,0.25,0.43014705882352944,0.000851989137466513,11913,1
61,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,19,session_1,1.0,1.0,1.0,0.23622265171520113,11913,1
62,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,20,session_1,0.75,0.75,1.0,0.023498876469387496,11913,1
63,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,21,session_1,0.2641509433962264,0.3773584905660377,0.7216981132075473,0.01856732298036748,11913,1
