,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,epochs_duration
0,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.0036231884057971175,0.0036231884057971175,0.0036231884057971175,0.003625688405803973,11913,1.0
1,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,11913,1.0
2,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.005681818181818177,0.005681818181818177,0.005681818181818177,0.002953733119758503,11913,1.0
3,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.00833333333333336,0.00833333333333336,0.00833333333333336,0.008338333333344801,11913,1.0
4,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.0,0.0,0.0,1e-05,11913,1.0
5,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.00726658992011342,0.007575757575757569,0.007575757575757569,0.007122950479684497,11913,1.0
6,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.009592213969997543,0.009797815166476292,0.01470588235294118,0.009371849253165782,11913,1.0
7,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.047619047619047644,0.12698412698412698,0.14285714285714288,0.022573505976294695,11913,1.0
8,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.004464285714285726,0.004464285714285726,0.004464285714285726,0.0044717857142926466,11913,1.0
9,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.015957446808510634,0.015957446808510634,0.015957446808510634,0.015962446808511905,11913,1.0
10,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913,1.0
11,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.0026881720430107503,0.0026881720430107503,0.0026881720430107503,0.0026956720430107582,11913,1.0
12,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.004385964912280715,0.00877192982456143,0.00877192982456143,0.00549034925704684,11913,1.0
13,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.004237288135593209,0.008474576271186446,0.008474576271186446,0.0033805436346918782,11913,1.0
14,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.018867924528301883,0.09905660377358491,0.25,0.015752610529225938,11913,1.0
15,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.09433962264150944,0.25943396226415094,0.3349056603773585,0.016675763865058695,11913,1.0
16,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.28308823529411764,0.3345588235294117,0.3566176470588235,0.034842390892316444,11913,1.0
17,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.003676470588235281,0.003676470588235281,0.003676470588235281,0.003683970588283594,11913,1.0
