,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,1,session_1,0.004830917874396129,0.004830917874396129,0.004830917874396129,0.004835917874488795,11913,0
1,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,2,session_1,0.0,0.0,0.0,1e-05,11913,0
2,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,3,session_1,0.0,0.0,0.0,1e-05,11913,0
3,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,4,session_1,0.0,0.0,0.0,1e-05,11913,0
4,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,5,session_1,0.010000000000000009,0.015000000000000013,0.020000000000000018,0.011906616982684864,11913,0
5,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,6,session_1,0.003637762313452003,0.007575757575757569,0.007575757575757569,0.003565565738358666,11913,0
6,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,7,session_1,0.004718135416648284,0.0048835782475472045,0.004900122530637069,0.004573710045671367,11913,0
7,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,8,session_1,0.02777777777777779,0.09920634920634921,0.1507936507936508,0.010501262925519981,11913,0
8,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,9,session_1,0.0,0.0,0.0,1e-05,11913,0
9,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,10,session_1,0.010638297872340441,0.01595744680851066,0.01595744680851066,0.011442928892073895,11913,0
10,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,11,session_1,0.0,0.0,0.0,1e-05,11913,0
11,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,12,session_1,0.0,0.0,0.0,1e-05,11913,0
12,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,13,session_1,0.0,0.004385964912280715,0.004385964912280715,0.0018664589829695366,11913,0
13,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,14,session_1,0.0,0.008474576271186446,0.008474576271186446,0.000852010184093226,11913,0
14,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,15,session_1,0.037735849056603765,0.1320754716981132,0.19811320754716982,0.015080461346807995,11913,0
15,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,16,session_1,0.10849056603773585,0.2641509433962264,0.3915094339622641,0.025765469880201782,11913,0
16,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,17,session_1,0.3088235294117647,0.34191176470588236,0.3970588235294117,0.03436590866472403,11913,0
17,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,18,session_1,0.0218092615325719,0.02571033791796304,0.02573279849767862,0.02172513438180744,11913,0
18,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,19,session_1,0.016658668933495047,0.019999999999999962,0.019999999999999962,0.016620165508212985,11913,0
19,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,20,session_1,0.0,0.0,0.0,1e-05,11913,0
20,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,21,session_1,0.0,0.0,0.014150943396226412,0.0001774566610514319,11913,0
21,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,22,session_1,0.0,0.0,0.0,1e-05,11913,0
22,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,23,session_1,0.0,0.004385964912280715,0.004385964912280715,0.0006846208123450867,11913,0
23,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,24,session_1,0.03703703703703706,0.1712962962962963,0.24999999999999997,0.014439015313550553,11913,0
24,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,25,session_1,0.0,0.0,0.0,1e-05,11913,0
25,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,26,session_1,0.0,0.0,0.0,1e-05,11913,0
26,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,27,session_1,0.0021008403361344463,0.00420168067226892,0.00420168067226892,0.0021083403361344885,11913,0
27,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,28,session_1,0.29666666666666663,0.6833333333333333,0.88,0.06258640503584739,11913,0
28,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,29,session_1,0.0,0.0,0.0,1e-05,11913,0
29,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,30,session_1,0.012195121951219523,0.018292682926829285,0.018292682926829285,0.014214315273817594,11913,0
30,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,31,session_1,0.004424778761061954,0.004424778761061954,0.004424778761061954,0.004432278761069382,11913,0
31,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,32,session_1,0.0,0.0,0.0,1e-05,11913,0
32,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,33,session_1,0.007936507936507964,0.007936507936507964,0.007936507936507964,0.007941507936523684,11913,0
33,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,34,session_1,0.004716981132075471,0.004716981132075471,0.004716981132075471,0.0047244811320822765,11913,0
34,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,35,session_1,0.0,0.0,0.0,1e-05,11913,0
35,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,36,session_1,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.011030120179105799,11913,0
36,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,37,session_1,0.0,0.0,0.0,1e-05,11913,0
37,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,38,session_1,0.004464285714285726,0.0625,0.09821428571428573,0.0035008012734580253,11913,0
38,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,39,session_1,0.0,0.0,0.0,1e-05,11913,0
39,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,40,session_1,0.0,0.0,0.0,1e-05,11913,0
40,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,41,session_1,0.010931812396837437,0.014696122416154311,0.01470490635926247,0.01089377739487071,11913,0
41,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,42,session_1,0.0,0.0,0.0,1e-05,11913,0
42,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+SVM,43,session_1,0.0,0.0,0.0,1e-05,11913,0
43,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,1,session_1,0.2547436488078454,0.49984161816264316,0.7496392308307226,0.04021072044855397,11913,0
44,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,2,session_1,0.25396825396825395,0.8293650793650793,1.0,0.02924506015544379,11913,0
45,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,3,session_1,0.0,0.0,0.4545454545454546,0.00034499963884411234,11913,0
46,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,4,session_1,0.25,0.7458333333333333,0.75,0.08405141239770683,11913,0
47,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,5,session_1,0.365,0.5,0.5,0.03331822918755733,11913,0
48,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,6,session_1,0.0,0.25757575757575757,0.571969696969697,0.002399724982168133,11913,0
49,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,7,session_1,0.06372549019607843,0.25,0.25,0.0045538861353968275,11913,0
50,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,8,session_1,0.8293650793650793,0.9722222222222222,1.0,0.19575641451467332,11913,0
51,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,9,session_1,0.5,0.5,0.5,0.0708,11913,0
52,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,10,session_1,0.5,0.5,0.5,0.023404301537418303,11913,0
53,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,11,session_1,0.37083333333333335,0.5,0.75,0.03978736855255399,11913,0
54,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,12,session_1,0.25,0.25,0.25,0.03587,11913,0
55,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,13,session_1,0.4473684210526316,0.5,0.75,0.038639456950054475,11913,0
56,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,14,session_1,0.0,0.0,0.0,1e-05,11913,0
57,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,15,session_1,0.6084905660377359,0.8867924528301887,1.0,0.031431062712328796,11913,0
58,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,16,session_1,0.8726415094339622,1.0,1.0,0.09681180577037593,11913,0
59,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,17,session_1,0.7463235294117647,0.9926470588235294,0.9963235294117647,0.05245595744968518,11913,0
60,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,18,session_1,0.24954778959554302,0.4999547789595543,0.49999547789595544,0.028968137319250173,11913,0
61,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,19,session_1,0.9993674812936056,0.9999367481293606,0.9999936748129361,0.2367644431799581,11913,0
62,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,20,session_1,0.75,0.75,1.0,0.02377663963889534,11913,0
63,Single Session,Open Set,Brain Invaders 2015a,AR+PSD+LR,21,session_1,0.25471698113207547,0.5613207547169812,0.7028301886792453,0.027930519446745555,11913,0
