,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,Rejection_Threshold
0,Single Session,Open Set,Brain Invaders 2015a,siamese,9,session_1,0.0,0.0,0.0,0.0001,5792,400
1,Single Session,Open Set,Brain Invaders 2015a,siamese,20,session_1,0.0,0.0,0.0,0.0001,5792,400
2,Single Session,Open Set,Brain Invaders 2015a,siamese,27,session_1,0.0,0.0,0.0,0.0001,5792,400
3,Single Session,Open Set,Brain Invaders 2015a,siamese,33,session_1,0.0,0.0,0.0,0.0001,5792,400
4,Single Session,Open Set,Brain Invaders 2015a,siamese,34,session_1,0.0,0.0,0.0,0.0001,5792,400
5,Single Session,Open Set,Brain Invaders 2015a,siamese,43,session_1,0.0,0.0,0.0,0.0001,5792,400
6,Single Session,Open Set,Brain Invaders 2015a,siamese,8,session_1,0.0,0.0,0.0,0.0001,5792,400
7,Single Session,Open Set,Brain Invaders 2015a,siamese,21,session_1,0.0,0.0,0.0,0.0001,5792,400
8,Single Session,Open Set,Brain Invaders 2015a,siamese,31,session_1,0.0,0.0,0.0,0.0001,5792,400
9,Single Session,Open Set,Brain Invaders 2015a,siamese,32,session_1,0.0,0.0,0.0,0.0001,5792,400
10,Single Session,Open Set,Brain Invaders 2015a,siamese,38,session_1,0.0,0.0,0.0,0.0001,5792,400
11,Single Session,Open Set,Brain Invaders 2015a,siamese,41,session_1,0.0,0.0,0.0,0.0001,5792,400
12,Single Session,Open Set,Brain Invaders 2015a,siamese,4,session_1,0.0,0.0,0.0,0.0001,5792,400
13,Single Session,Open Set,Brain Invaders 2015a,siamese,15,session_1,0.004761904761904745,0.014285714285714235,0.033333333333333326,0.014285714285714415,5792,400
14,Single Session,Open Set,Brain Invaders 2015a,siamese,16,session_1,0.004761904761904745,0.01904761904761909,0.09047619047619049,0.014285714285714486,5792,400
15,Single Session,Open Set,Brain Invaders 2015a,siamese,17,session_1,0.0,0.0674157303370787,0.1348314606741573,0.03370786516853913,5792,400
16,Single Session,Open Set,Brain Invaders 2015a,siamese,23,session_1,0.0,0.004385964912280715,0.004385964912280715,0.004385964912280679,5792,400
17,Single Session,Open Set,Brain Invaders 2015a,siamese,40,session_1,0.0,0.0,0.0,0.0001,5792,400
18,Single Session,Open Set,Brain Invaders 2015a,siamese,42,session_1,0.0,0.0,0.0,0.0001,5792,400
19,Single Session,Open Set,Brain Invaders 2015a,siamese,2,session_1,0.0,0.0,0.0,0.0001,5792,400
20,Single Session,Open Set,Brain Invaders 2015a,siamese,10,session_1,0.0,0.0,0.0,0.0001,5792,400
21,Single Session,Open Set,Brain Invaders 2015a,siamese,13,session_1,0.0,0.0,0.0,0.0001,5792,400
22,Single Session,Open Set,Brain Invaders 2015a,siamese,19,session_1,0.0,0.0,0.0,0.0001,5792,400
23,Single Session,Open Set,Brain Invaders 2015a,siamese,24,session_1,0.01388888888888884,0.09259259259259256,0.20370370370370372,0.0312654595824676,5792,400
24,Single Session,Open Set,Brain Invaders 2015a,siamese,26,session_1,0.0,0.0,0.0,0.0001,5792,400
25,Single Session,Open Set,Brain Invaders 2015a,siamese,28,session_1,0.013333333333333308,0.09333333333333338,0.2766666666666666,0.04044733471277959,5792,400
