,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,1,0.18000000000000005,0.53,0.89,0.050000000000067865,10800
1,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,2,0.9299999999999999,1.0,1.0,0.1800000000000061,10800
2,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,3,0.13,0.18999999999999995,0.20999999999999996,0.04000000000009137,10800
3,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,4,0.81,1.0,1.0,0.08716370792915014,10800
4,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,5,0.64,0.94,0.97,0.1200000000000002,10800
5,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,6,0.54,0.8200000000000001,1.0,0.11038072308414669,10800
6,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,7,0.09999999999999998,0.26,0.43000000000000005,0.029241051359154436,10800
7,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,8,0.07999999999999996,0.17000000000000004,0.31999999999999995,0.02490534370972737,10800
8,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,9,0.48,0.81,0.98,0.06999999999999998,10800
9,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,10,0.10999999999999999,0.20999999999999996,0.35,0.06000000000000004,10800
10,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,11,1.0,1.0,1.0,0.35,10800
11,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,12,0.24,0.4,0.5700000000000001,0.047163308324758485,10800
12,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,13,0.21999999999999997,0.42000000000000004,0.5700000000000001,0.0699999999999979,10800
13,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,14,0.6799999999999999,0.92,0.99,0.3399999999999992,10800
14,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,15,0.020000000000000018,0.06999999999999995,0.09999999999999998,0.01094916033127204,10800
15,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,16,0.22999999999999998,0.76,0.88,0.04358684901947073,10800
16,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,17,0.79,1.0,1.0,0.05981078732055265,10800
17,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,18,0.85,0.94,0.95,0.1592423500734273,10800
18,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,19,0.97,1.0,1.0,0.3175456298264718,10800
19,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,20,0.64,0.83,0.91,0.19697499475519237,10800
20,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,21,0.10999999999999999,0.22999999999999998,0.7,0.03245786671195516,10800
21,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,22,0.33999999999999997,0.5900000000000001,0.78,0.10999999999986076,10800
22,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,23,0.5,0.83,0.99,0.0867940738668718,10800
23,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,24,0.97,1.0,1.0,0.150760746860608,10800
24,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,25,0.39,0.72,0.99,0.10735371981738079,10800
25,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,26,1.0,1.0,1.0,0.23905333719617577,10800
26,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,27,0.12,0.43999999999999995,0.87,0.026603662374249493,10800
27,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,28,0.14,0.37,0.6,0.06000000000000004,10800
28,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,29,0.4,0.63,0.77,0.0400000000000001,10800
29,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,30,0.06000000000000005,0.18999999999999995,0.41000000000000003,0.02622403820217984,10800
30,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,31,0.8,0.99,1.0,0.11377736041319093,10800
31,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,32,0.22999999999999998,0.89,0.97,0.02301721295917042,10800
32,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,33,0.26,0.6799999999999999,0.87,0.0700000000004524,10800
33,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,34,0.54,0.84,0.9299999999999999,0.20000000000000853,10800
34,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,35,0.5,0.55,0.6799999999999999,0.42,10800
35,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,36,0.69,0.95,1.0,0.24000000000000013,10800
36,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,37,0.09999999999999998,0.33999999999999997,0.5700000000000001,0.040000000000000036,10800
37,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,38,0.09999999999999998,0.18999999999999995,0.43000000000000005,0.031508806281781036,10800
38,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,39,0.64,0.87,0.95,0.15000000000000002,10800
39,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,40,0.86,0.99,0.99,0.22528696590375527,10800
40,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,41,0.010000000000000009,0.06000000000000005,0.15000000000000002,0.010000000000361447,10800
41,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,42,0.88,1.0,1.0,0.196605360692914,10800
42,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,43,0.8,0.95,1.0,0.18000000000000008,10800
43,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,44,0.14,0.21999999999999997,0.53,0.04660386217644532,10800
44,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,45,0.020000000000000018,0.15000000000000002,0.45999999999999996,0.020000000000000042,10800
45,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,46,0.050000000000000044,0.41000000000000003,0.64,0.03000000000001235,10800
46,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,47,0.21999999999999997,0.44999999999999996,0.84,0.03999999999999998,10800
47,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,48,0.89,0.97,1.0,0.18000000000000604,10800
48,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,49,0.49,0.91,0.98,0.07433640695711245,10800
49,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,50,1.0,1.0,1.0,0.2599999999995363,10800
50,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,51,0.36,0.53,0.73,0.10226875393360572,10800
51,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,52,0.14,0.45999999999999996,0.5700000000000001,0.04377666110550555,10800
52,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,53,0.13,0.7,0.96,0.024156085475379372,10800
53,Multi Session,Close Set,Lee2019_ERP,AR+PSD+SVM,54,0.6599999999999999,0.95,1.0,0.15999999999999343,10800
54,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,1,0.48,1.0,1.0,0.060000000000004154,10800
55,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,2,0.99,1.0,1.0,0.2900000000001446,10800
56,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,3,0.0,0.89,1.0,0.0071629087203668364,10800
57,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,4,1.0,1.0,1.0,0.08999999999999997,10800
58,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,5,0.85,0.97,0.99469994699947,0.13452681844973474,10800
59,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,6,0.62,0.99,1.0,0.12924205037013356,10800
60,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,7,0.26,0.73,0.94,0.051888630256046515,10800
61,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,8,0.020000000000000018,0.74,1.0,0.019999999999999962,10800
62,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,9,0.77,0.98,1.0,0.08999999999999989,10800
63,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,10,0.53,1.0,1.0,0.01999999999999998,10800
64,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,11,1.0,1.0,1.0,0.3713223908330753,10800
65,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,12,0.20999999999999996,0.6,0.89,0.059999999999828676,10800
66,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,13,0.43999999999999995,1.0,1.0,0.10999999999999481,10800
67,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,14,0.8200000000000001,0.99,1.0,0.26471792925004245,10800
68,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,15,0.050000000000000044,0.06999999999999995,0.20999999999999996,0.015474680066733934,10800
69,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,16,0.29000000000000004,1.0,1.0,0.0433970369334359,10800
70,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,17,0.64,0.99,1.0,0.06999999999999314,10800
71,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,18,0.9,0.98,1.0,0.1530185116734433,10800
72,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,19,1.0,1.0,1.0,0.24000000000000002,10800
73,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,20,0.69,1.0,1.0,0.23943296136824543,10800
74,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,21,0.33999999999999997,1.0,1.0,0.06000000000000661,10800
75,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,22,0.33999999999999997,0.99,1.0,0.09000000000001913,10800
76,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,23,0.64,0.98,1.0,0.1896222739487907,10800
77,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,24,1.0,1.0,1.0,0.22302071984727484,10800
78,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,25,0.39,0.98,1.0,0.09547547927551724,10800
79,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,26,1.0,1.0,1.0,0.29471822895333616,10800
80,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,27,0.25,1.0,1.0,0.04094946003456578,10800
81,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,28,0.12,0.98,1.0,0.027352920608597488,10800
82,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,29,0.43999999999999995,1.0,1.0,0.0411392721206006,10800
83,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,30,0.92,1.0,1.0,0.04150890618287895,10800
84,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,31,0.76,1.0,1.0,0.13000000000000006,10800
85,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,32,0.96,1.0,1.0,0.06999070919789407,10800
86,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,33,0.39,0.8,1.0,0.09000000000000095,10800
87,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,34,0.38,0.71,1.0,0.16943226206056003,10800
88,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,35,0.020000000000000018,0.06999999999999995,0.7508975089750898,0.011698418565620036,10800
89,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,36,0.89,1.0,1.0,0.1499999999999877,10800
90,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,37,0.12,0.44999999999999996,1.0,0.029999999999996512,10800
91,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,38,0.06999999999999995,1.0,1.0,0.018671515199952048,10800
92,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,39,0.6799999999999999,0.97,1.0,0.0747160311291821,10800
93,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,40,0.83,0.98,1.0,0.3400000000000062,10800
94,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,41,0.030000000000000027,0.97,1.0,0.010379913842217313,10800
95,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,42,1.0,1.0,1.0,0.22414809338754632,10800
96,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,43,0.75,0.97,1.0,0.2000000000000005,10800
97,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,44,0.18999999999999995,1.0,1.0,0.050000000000000086,10800
98,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,45,0.06000000000000005,0.75,1.0,0.020000000000000056,10800
99,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,46,0.12,0.92,1.0,0.020190011888230653,10800
100,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,47,0.14,0.43999999999999995,0.6599999999999999,0.03207824253988551,10800
101,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,48,0.88,1.0,1.0,0.1799999999999993,10800
102,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,49,0.63,0.99,1.0,0.07547527947332142,10800
103,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,50,0.98,1.0,1.0,0.42076382572539456,10800
104,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,51,0.4,0.92,1.0,0.09000000000000095,10800
105,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,52,0.24,0.98,1.0,0.040000000000000445,10800
106,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,53,0.51,1.0,1.0,0.050000000000000086,10800
107,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LR,54,0.9299999999999999,1.0,1.0,0.20622583642194228,10800
108,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,1,0.98,1.0,1.0,0.10000000000000091,10800
109,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,2,1.0,1.0,1.0,0.3466068592093827,10800
110,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,3,0.0,0.8076277059066888,0.9807627705906689,0.005287409169506941,10800
111,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,4,1.0,1.0,1.0,0.27151120390813094,10800
112,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,5,0.7,0.9828527697041677,0.9982852769704168,0.11282829998301681,10800
113,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,6,0.78,1.0,1.0,0.09565530125176076,10800
114,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,7,0.41000000000000003,0.96,1.0,0.06490574331411902,10800
115,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,8,0.06000000000000005,0.8741237412374123,0.9874123741237413,0.013206925144107333,10800
116,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,9,1.0,1.0,1.0,0.19999999999999996,10800
117,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,10,0.9,0.9974146082924243,0.9997414608292424,0.02452571953765772,10800
118,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,11,1.0,1.0,1.0,0.45999999999999996,10800
119,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,12,0.45999999999999996,0.81,0.99,0.06000000000000661,10800
120,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,13,0.9,1.0,1.0,0.08999999999999907,10800
121,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,14,0.94,0.99,0.99823331566649,0.13999999999999996,10800
122,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,15,0.15000000000000002,0.9299999999999999,1.0,0.03999999999999998,10800
123,Multi Session,Close Set,Lee2019_ERP,AR+PSD+LDA,16,0.96,1.0,1.0,0.1477337435938421,10800
