,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,21,0.13,0.22999999999999998,0.22999999999999998,0.04999999999985968,6800
1,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,22,0.5700000000000001,0.76,0.76,0.11124986263599038,6800
2,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,23,0.73,0.94,0.94,0.13749388105775281,6800
3,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,24,1.0,1.0,1.0,0.19999200791216695,6800
4,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,25,0.32999999999999996,0.72,0.72,0.08,6800
5,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,26,1.0,1.0,1.0,0.27999999999999997,6800
6,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,27,0.010000000000000009,0.09999999999999998,0.09999999999999998,0.010000000000361447,6800
7,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,28,0.16000000000000003,0.5,0.5,0.05499805095503203,6800
8,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,29,0.63,0.79,0.79,0.12000000000033531,6800
9,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,30,0.13,0.31999999999999995,0.31999999999999995,0.053746790677229546,6800
10,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,31,0.15000000000000002,0.31000000000000005,0.31000000000000005,0.06749318175006744,6800
11,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,32,0.10999999999999999,0.37,0.37,0.030000000000000197,6800
12,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,33,0.73,0.96,0.96,0.10624294095893012,6800
13,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,34,0.47,0.84,0.84,0.25999999999999995,6800
14,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,35,0.6699999999999999,0.84,0.84,0.4100000000001877,6800
15,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,36,0.6799999999999999,0.95,0.95,0.24624371453230123,6800
16,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,37,0.050000000000000044,0.19999999999999996,0.19999999999999996,0.023746490973935802,6800
17,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,38,0.10999999999999999,0.32999999999999996,0.32999999999999996,0.05999060929679617,6800
18,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,39,0.43000000000000005,0.5800000000000001,0.5800000000000001,0.1600000000000035,6800
19,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,40,0.6599999999999999,0.6799999999999999,0.6799999999999999,0.18000000000000022,6800
20,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,41,0.050000000000000044,0.20999999999999996,0.20999999999999996,0.014995154796751215,6800
21,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,42,0.83,0.98,0.98,0.2062458166415249,6800
22,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,43,0.94,1.0,1.0,0.2599999999999994,6800
23,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,44,0.19999999999999996,0.42000000000000004,0.42000000000000004,0.07000069930768539,6800
24,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,45,0.020000000000000018,0.10999999999999999,0.10999999999999999,0.02000000000038048,6800
25,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,46,0.18999999999999995,0.39,0.39,0.05124926322940289,6800
26,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,47,0.17000000000000004,0.38,0.38,0.04624421822395828,6800
27,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,48,0.73,0.94,0.94,0.17999180810997115,6800
28,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,49,0.99,0.99,0.99,0.0987480714568956,6800
29,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,50,1.0,1.0,1.0,0.16249912586539325,6800
30,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,51,0.43000000000000005,0.72,0.72,0.10000000000000002,6800
31,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,52,0.08999999999999997,0.33999999999999997,0.33999999999999997,0.020000199935354235,6800
32,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,53,0.0,0.0,0.0,1e-05,6800
33,Multi Session,Open Set,Lee2019_ERP,AR+PSD+SVM,54,0.96,1.0,1.0,0.17000169916740795,6800
34,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,21,0.74,1.0,1.0,0.10374729018271911,6800
35,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,22,0.56,0.98,0.98,0.11124986263599038,6800
36,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,23,0.56,0.84,0.84,0.15249902596429535,6800
37,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,24,1.0,1.0,1.0,0.28999290229492464,6800
38,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,25,0.51,0.99,0.99,0.12124996253708828,6800
39,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,26,1.0,1.0,1.0,0.282501574228628,6800
40,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,27,0.5800000000000001,1.0,1.0,0.07000000000033922,6800
41,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,28,0.0,0.15000000000000002,0.15000000000000002,0.006246938999890054,6800
42,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,29,0.56,1.0,1.0,0.0699999999999999,6800
43,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,30,1.0,1.0,1.0,0.09000089910988121,6800
44,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,31,0.30000000000000004,0.5700000000000001,0.5700000000000001,0.07999999999999996,6800
45,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,32,1.0,1.0,1.0,0.18124618936721007,6800
46,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,33,0.64,1.0,1.0,0.09999999999989388,6800
47,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,34,0.6599999999999999,0.87,0.87,0.21000000000000177,6800
48,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,35,0.0,0.0,0.0,1e-05,6800
49,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,36,1.0,1.0,1.0,0.3099999999999997,6800
50,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,37,0.30000000000000004,0.6599999999999999,0.6599999999999999,0.04624421822395828,6800
51,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,38,0.030000000000000027,0.09999999999999998,0.09999999999999998,0.014995154796751215,6800
52,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,39,0.36,0.5,0.5,0.04999999999998878,6800
53,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,40,0.97,1.0,1.0,0.5887515117592379,6800
54,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,41,0.010000000000000009,0.050000000000000044,0.050000000000000044,0.010000000000361447,6800
55,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,42,1.0,1.0,1.0,0.30000299703293737,6800
56,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,43,0.98,1.0,1.0,0.32,6800
57,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,44,0.27,1.0,1.0,0.060000000000004154,6800
58,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,45,0.020000000000000018,0.030000000000000027,0.030000000000000027,0.012497627348924565,6800
59,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,46,0.020000000000000018,0.98,0.98,0.011248863625011239,6800
60,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,47,0.06000000000000005,0.24,0.24,0.034995354598947044,6800
61,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,48,1.0,1.0,1.0,0.18000179821976242,6800
62,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,49,0.98,0.99,0.99,0.10124976273489245,6800
63,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,50,0.55,0.75,0.75,0.1324950774120681,6800
64,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,51,0.43000000000000005,0.97,0.97,0.10749358135445909,6800
65,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,52,0.26,0.7,0.7,0.05749308184896952,6800
66,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,53,0.95,1.0,1.0,0.1274937811566549,6800
67,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LR,54,0.97,1.0,1.0,0.4887461413200931,6800
68,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,21,0.27,0.6699999999999999,0.6699999999999999,0.07000069930768539,6800
69,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,22,0.4,0.78,0.78,0.09749348145336116,6800
70,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,23,0.51,0.92,0.92,0.10124976273489245,6800
71,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,24,0.97,1.0,1.0,0.21749468026653612,6800
72,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,25,0.85,1.0,1.0,0.169999999999959,6800
73,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,26,1.0,1.0,1.0,0.2774936103993042,6800
74,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,27,0.55,0.9919999199992,0.99919999199992,0.09000089910988121,6800
75,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,28,0.12,0.87,0.87,0.043743565652830114,6800
76,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,29,0.61,1.0,1.0,0.1462452172349374,6800
77,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,30,0.77,1.0,1.0,0.1124986263599037,6800
78,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,31,1.0,1.0,1.0,0.17499675321431782,6800
79,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,32,1.0,1.0,1.0,0.1362451173338395,6800
80,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,33,0.43999999999999995,0.88,0.88,0.07249947525712401,6800
81,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,34,0.69,0.78,0.78,0.20999999999993244,6800
82,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,35,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.010000099901097913,6800
83,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,36,0.99,1.0,1.0,0.28749537957422155,6800
84,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,37,0.4,1.0,1.0,0.03999999999999999,6800
85,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,38,0.050000000000000044,0.39,0.39,0.023746490973935802,6800
86,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,39,0.43000000000000005,0.91,0.91,0.08374896300812602,6800
87,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,40,0.56,0.99,0.99,0.11124986263599038,6800
88,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,41,0.5800000000000001,0.9,0.9,0.0899999999999999,6800
89,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,42,1.0,1.0,1.0,0.29125166085575277,6800
90,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,43,0.72,0.96,0.96,0.10124976273489245,6800
91,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,44,0.84,1.0,1.0,0.10874234507837241,6800
92,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,45,0.92,1.0,1.0,0.05124926322940289,6800
93,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,46,0.49,0.9599995999959999,0.9959999599996,0.06000000000001196,6800
94,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,47,0.08999999999999997,0.33999999999999997,0.33999999999999997,0.03624411832286037,6800
95,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,48,1.0,1.0,1.0,0.32874391548141413,6800
96,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,49,0.77,0.94,0.94,0.11000000000000837,6800
97,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,50,0.6599999999999999,0.88,0.88,0.049990509395698254,6800
98,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,51,0.72,0.97,0.97,0.13000000000001258,6800
99,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,52,0.45999999999999996,0.98,0.98,0.08749338155226326,6800
100,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,53,0.29000000000000004,0.83,0.83,0.04374669077613163,6800
101,Multi Session,Open Set,Lee2019_ERP,AR+PSD+LDA,54,1.0,1.0,1.0,0.4125016233928411,6800
102,Multi Session,Open Set,Lee2019_ERP,AR+PSD+NB,21,0.9068843147447868,0.9906884314744787,0.9990688431474478,0.19000000000047146,6800
