,evaluation,eval Type,dataset,pipeline,subject,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples
0,Multi Session,Open Set,Lee2019_ERP,siamese,3,0.89,0.96,0.96,0.24000000000000013,10800
1,Multi Session,Open Set,Lee2019_ERP,siamese,7,0.53,0.86,0.91,0.10000000000000007,10800
2,Multi Session,Open Set,Lee2019_ERP,siamese,11,1.0,1.0,1.0,0.4246169377005267,10800
3,Multi Session,Open Set,Lee2019_ERP,siamese,15,0.5700000000000001,0.9299999999999999,0.96,0.1,10800
4,Multi Session,Open Set,Lee2019_ERP,siamese,19,0.6699999999999999,0.77,0.79,0.18999190801106902,10800
5,Multi Session,Open Set,Lee2019_ERP,siamese,23,0.4,0.83,0.89,0.08307775302450573,10800
6,Multi Session,Open Set,Lee2019_ERP,siamese,28,0.0,0.0,0.010000000000000009,0.0007692384539306087,10800
7,Multi Session,Open Set,Lee2019_ERP,siamese,30,0.33999999999999997,0.43999999999999995,0.47,0.04615738288238763,10800
8,Multi Session,Open Set,Lee2019_ERP,siamese,34,0.75,0.91,0.96,0.24077163608028052,10800
9,Multi Session,Open Set,Lee2019_ERP,siamese,38,0.87,0.98,0.99,0.24154087453421114,10800
10,Multi Session,Open Set,Lee2019_ERP,siamese,42,0.91,0.98,0.98,0.32,10800
11,Multi Session,Open Set,Lee2019_ERP,siamese,46,0.61,0.92,0.95,0.07692384539306087,10800
12,Multi Session,Open Set,Lee2019_ERP,siamese,50,1.0,1.0,1.0,0.3846192269653043,10800
13,Multi Session,Open Set,Lee2019_ERP,siamese,54,1.0,1.0,1.0,0.32461862755871684,10800
14,Multi Session,Open Set,Lee2019_ERP,siamese,1,0.5900000000000001,0.83,0.84,0.11077033736600765,10800
15,Multi Session,Open Set,Lee2019_ERP,siamese,2,0.9299999999999999,1.0,1.0,0.11999999999999997,10800
16,Multi Session,Open Set,Lee2019_ERP,siamese,6,0.9299999999999999,1.0,1.0,0.31999999999995077,10800
17,Multi Session,Open Set,Lee2019_ERP,siamese,10,0.12,0.91,0.92,0.026923345887571302,10800
18,Multi Session,Open Set,Lee2019_ERP,siamese,13,0.85,0.97,0.97,0.33538796591374537,10800
19,Multi Session,Open Set,Lee2019_ERP,siamese,14,1.0,1.0,1.0,0.4100000000003946,10800
20,Multi Session,Open Set,Lee2019_ERP,siamese,18,0.92,0.98,1.0,0.22461762854773773,10800
21,Multi Session,Open Set,Lee2019_ERP,siamese,22,0.6799999999999999,0.85,0.94,0.26922308069046164,10800
22,Multi Session,Open Set,Lee2019_ERP,siamese,29,0.97,1.0,1.0,0.08000000000000018,10800
23,Multi Session,Open Set,Lee2019_ERP,siamese,33,0.72,0.99,1.0,0.09999999999999994,10800
24,Multi Session,Open Set,Lee2019_ERP,siamese,37,0.8200000000000001,0.97,0.98,0.16307855223328904,10800
25,Multi Session,Open Set,Lee2019_ERP,siamese,41,0.73,0.91,0.95,0.11153957581993826,10800
26,Multi Session,Open Set,Lee2019_ERP,siamese,45,0.48,0.6799999999999999,0.71,0.16000000000000006,10800
27,Multi Session,Open Set,Lee2019_ERP,siamese,49,0.83,0.92,0.94,0.13692790532639007,10800
28,Multi Session,Open Set,Lee2019_ERP,siamese,5,0.43999999999999995,0.7,1.0,0.10749358135445909,10800
29,Multi Session,Open Set,Lee2019_ERP,siamese,9,0.85,0.9299999999999999,1.0,0.20666540125275976,10800
30,Multi Session,Open Set,Lee2019_ERP,siamese,17,0.37,0.5800000000000001,0.74,0.05416637528846442,10800
31,Multi Session,Open Set,Lee2019_ERP,siamese,21,0.74,0.91,0.92,0.14499645351102408,10800
32,Multi Session,Open Set,Lee2019_ERP,siamese,25,0.65,0.86,0.88,0.1508360903157453,10800
33,Multi Session,Open Set,Lee2019_ERP,siamese,26,1.0,1.0,1.0,0.4300000000001634,10800
34,Multi Session,Open Set,Lee2019_ERP,siamese,32,0.97,1.0,1.0,0.25,10800
35,Multi Session,Open Set,Lee2019_ERP,siamese,36,0.94,0.95,0.96,0.36999999999999994,10800
36,Multi Session,Open Set,Lee2019_ERP,siamese,40,1.0,1.0,1.0,0.35500104948575195,10800
37,Multi Session,Open Set,Lee2019_ERP,siamese,44,0.9,0.97,1.0,0.31999999999995044,10800
38,Multi Session,Open Set,Lee2019_ERP,siamese,48,1.0,1.0,1.0,0.48916572593132795,10800
39,Multi Session,Open Set,Lee2019_ERP,siamese,52,0.26,0.76,0.8,0.029163903671146327,10800
40,Multi Session,Open Set,Lee2019_ERP,siamese,53,0.08999999999999997,0.16000000000000003,0.20999999999999996,0.034995354598947044,10800
41,Multi Session,Open Set,Lee2019_ERP,siamese,4,0.95,1.0,1.0,0.19666530135166185,10800
42,Multi Session,Open Set,Lee2019_ERP,siamese,8,0.71,0.85,0.94,0.16249912586539325,10800
43,Multi Session,Open Set,Lee2019_ERP,siamese,12,0.69,0.99,0.99,0.13000129871427285,10800
44,Multi Session,Open Set,Lee2019_ERP,siamese,16,0.75,0.84,0.84,0.16000159841756662,10800
45,Multi Session,Open Set,Lee2019_ERP,siamese,20,0.99,1.0,1.0,0.32499575208148007,10800
46,Multi Session,Open Set,Lee2019_ERP,siamese,24,1.0,1.0,1.0,0.41,10800
47,Multi Session,Open Set,Lee2019_ERP,siamese,27,0.43000000000000005,0.48,0.5,0.21749468026653612,10800
48,Multi Session,Open Set,Lee2019_ERP,siamese,31,0.76,0.94,0.94,0.18083639016881728,10800
49,Multi Session,Open Set,Lee2019_ERP,siamese,35,0.47,0.7,0.81,0.15000000000000005,10800
50,Multi Session,Open Set,Lee2019_ERP,siamese,39,0.62,0.71,0.73,0.1908410673433301,10800
51,Multi Session,Open Set,Lee2019_ERP,siamese,43,1.0,1.0,1.0,0.3674961787830048,10800
