,evaluation,eval Type,dataset,pipeline,subject,session,frr_1_far,frr_0.1_far,frr_0.01_far,eer,n_samples,AR_order
0,Single Session,Open Set,Lee2019_ERP,AR+SVM,1,session_1,0.30999999999999994,0.41000000000000003,0.47000000000000003,0.07999810045588135,10800,1
1,Single Session,Open Set,Lee2019_ERP,AR+SVM,1,session_2,0.36,0.62,0.7,0.09928847076701591,10800,1
2,Single Session,Open Set,Lee2019_ERP,AR+SVM,2,session_1,0.1,0.21,0.27,0.057115892185866365,10800,1
3,Single Session,Open Set,Lee2019_ERP,AR+SVM,2,session_2,0.01999999999999999,0.13,0.19999999999999998,0.0093432041421571,10800,1
4,Single Session,Open Set,Lee2019_ERP,AR+SVM,3,session_1,0.020000000000000018,0.07000000000000003,0.11000000000000001,0.021924538110853393,10800,1
5,Single Session,Open Set,Lee2019_ERP,AR+SVM,3,session_2,0.04000000000000001,0.07999999999999999,0.10999999999999999,0.027145884987603182,10800,1
6,Single Session,Open Set,Lee2019_ERP,AR+SVM,4,session_1,0.07999999999999999,0.24,0.26,0.03535651443653523,10800,1
7,Single Session,Open Set,Lee2019_ERP,AR+SVM,4,session_2,0.24,0.4099999999999999,0.44999999999999996,0.09096276893549726,10800,1
8,Single Session,Open Set,Lee2019_ERP,AR+SVM,5,session_1,0.010000000000000009,0.030000000000000027,0.04000000000000001,0.005321223506358474,10800,1
9,Single Session,Open Set,Lee2019_ERP,AR+SVM,5,session_2,0.21,0.4,0.51,0.06296738782692154,10800,1
10,Single Session,Open Set,Lee2019_ERP,AR+SVM,6,session_1,0.27999999999999997,0.43000000000000005,0.45999999999999996,0.08038510757420532,10800,1
11,Single Session,Open Set,Lee2019_ERP,AR+SVM,6,session_2,0.26,0.6100000000000001,0.64,0.06854324962017501,10800,1
12,Single Session,Open Set,Lee2019_ERP,AR+SVM,7,session_1,0.0,0.06999999999999998,0.07999999999999999,0.004221487443013676,10800,1
13,Single Session,Open Set,Lee2019_ERP,AR+SVM,7,session_2,0.04999999999999999,0.13999999999999999,0.22999999999999998,0.04178707110293529,10800,1
14,Single Session,Open Set,Lee2019_ERP,AR+SVM,8,session_1,0.05000000000000002,0.3,0.31,0.019997700551867552,10800,1
15,Single Session,Open Set,Lee2019_ERP,AR+SVM,8,session_2,0.04000000000000001,0.07000000000000003,0.11000000000000001,0.027940694233383988,10800,1
16,Single Session,Open Set,Lee2019_ERP,AR+SVM,9,session_1,0.07,0.18,0.22999999999999998,0.02507934154156292,10800,1
17,Single Session,Open Set,Lee2019_ERP,AR+SVM,9,session_2,0.26,0.37000000000000005,0.49,0.06843337598976246,10800,1
18,Single Session,Open Set,Lee2019_ERP,AR+SVM,10,session_1,0.07999999999999999,0.16999999999999998,0.26,0.04892785731423555,10800,1
19,Single Session,Open Set,Lee2019_ERP,AR+SVM,10,session_2,0.09,0.25,0.35,0.04142965688235863,10800,1
20,Single Session,Open Set,Lee2019_ERP,AR+SVM,11,session_1,0.0,0.0,0.03,0.00037743311346556576,10800,1
21,Single Session,Open Set,Lee2019_ERP,AR+SVM,11,session_2,0.09999999999999998,0.35,0.5499999999999999,0.037100995761017365,10800,1
22,Single Session,Open Set,Lee2019_ERP,AR+SVM,12,session_1,0.43,0.66,0.8200000000000001,0.0828845077181386,10800,1
23,Single Session,Open Set,Lee2019_ERP,AR+SVM,12,session_2,0.54,0.8200000000000001,0.8600000000000001,0.1192309845637047,10800,1
24,Single Session,Open Set,Lee2019_ERP,AR+SVM,13,session_1,0.08000000000000002,0.25999999999999995,0.32999999999999996,0.04653843077661361,10800,1
25,Single Session,Open Set,Lee2019_ERP,AR+SVM,13,session_2,0.23,0.41999999999999993,0.42999999999999994,0.03365672238662721,10800,1
26,Single Session,Open Set,Lee2019_ERP,AR+SVM,14,session_1,0.07999999999999999,0.28,0.37,0.04000038240610116,10800,1
27,Single Session,Open Set,Lee2019_ERP,AR+SVM,14,session_2,0.44,0.65,0.69,0.0710178557146287,10800,1
28,Single Session,Open Set,Lee2019_ERP,AR+SVM,15,session_1,0.020000000000000018,0.04000000000000001,0.1,0.006720887586979125,10800,1
29,Single Session,Open Set,Lee2019_ERP,AR+SVM,15,session_2,0.030000000000000027,0.05000000000000002,0.07,0.01846046948732304,10800,1
